Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2024-01-11 18:04:01,https://dbas.gov.taipei/News_Content.aspx?n=5E0B7204A12DA4B2&sms=87415A8B9CE81B16&s=87E3D6CCC9FA26CC,目前臺北市是否有辦理「家庭收支調查」？其調查期間、對象、目的及內容為何？如何取得調查結果？, 一、臺北市辦理之家庭收支統計調查，計有下列2項：(一)家庭收支訪問調查：按年辦理1次，並於每年12月1日至翌年2月底間派員實地訪問。(二)家庭收支記帳調查：按月辦理，並採長期追蹤調查。二、本調查以居住於臺北市12行政區內具有中華民國國籍，並在戶籍上獨立設戶，戶內成員營共同經濟生活之一般家庭為調查對象，其中亦包含農、林、漁、牧戶及單人戶。三、該調查主要目的為蒐集本市各區各階層家庭收入支出之基本資料，其主要用途為明瞭臺北市各階層市民生活實況、生活水準之演變、各行職業及各階層家庭收支狀況，以為改善市民生活，釐訂社會政策，推行社會福利措施等主要之張本，並供改編臺北市消費者物價指數、編算國民所得、研究個人所得分配及估計民間消費支出型態之依據，調查所獲之個別資料絕對保密，除供整體統計分析用外，絕不作其他用途，請受訪民眾支持配合，提供正確詳實資料。四、其調查內容分為戶口組成、家庭設備概況、住宅概況、所得總額（即所得收入及自用住宅及其他營建物設算折舊）、經常性支出（即消費支出及非消費支出）等項。五、家庭收支訪問調查資料按年編製調查報告，上述資料除可電洽臺北市民當家熱線1999（外縣市02-27208889）轉7650~7656查詢外，亦可至臺北市政府主計處網站(https://dbas.gov.taipei/)「業務項目」項下「統計」之「統計刊物」區查閱，另可至「統計資料庫查詢系統」之「家庭收支資料庫」查閱。 ,78,112-12-04 17:37,113-01-02 15:42,臺北市政府主計處
2024-01-11 18:04:03,https://dbas.gov.taipei/News_Content.aspx?n=5E0B7204A12DA4B2&sms=87415A8B9CE81B16&s=8602030974B65F1E,目前臺北市是否有辦理「汽車貨運調查」？其調查期間、對象及目的為何？, 「汽車貨運調查」係由交通部主辦，各市縣政府負責辦理轄區內之調查業務，為定期按半年辦理之實地訪問調查。資料調查期間為112年10月16日至10月22日，以登記於臺北市之自用與營業用貨車為訪查對象。該調查主要目的係為蒐集臺灣地區自用與營業貨車之貨運流向及流量等動態資料，以供編製全國性及地區間產業關聯表及交通部研擬汽車貨運管理相關措施之參據。本調查之資料經彙總統計後，將刊載於交通部編印之「汽車貨運調查報告」內，有關重要統計結果亦將登載於交通部網站（網址：https://www.motc.gov.tw/ch/index）以供各界參用。 ,103,112-10-03 09:09,113-01-02 15:42,臺北市政府主計處
2024-01-11 18:04:05,https://dbas.gov.taipei/News_Content.aspx?n=5E0B7204A12DA4B2&sms=87415A8B9CE81B16&s=6EBFF5A1FAD90955,目前臺北市是否有辦理「職類別薪資調查」及「受僱員工薪資調查」？其調查期間、對象及目的為何？如何取得調查結果？, 一、「職類別薪資調查」及「受僱員工薪資調查」係分別由勞動部及行政院主計總處主辦，各市縣政府為協辦機關，負責辦理各該轄區之調查業務。二、「職類別薪資調查」之訪查期間為每年8月1日起至8月31日止，「受僱員工薪資調查」之訪查期間自每年8月至次年7月按月填報。凡從事礦業及土石採取業、製造業、電力及燃氣供應業、用水供應及汙染整治業、營建工程業、批發及零售業、運輸及倉儲業、住宿及餐飲業、出版、影音製作、傳播及資通訊服務業、金融及保險業、不動產業、專業、科學及技術服務業、支援服務業、醫療保健及社會工作服務業、藝術、娛樂及休閒服務業、教育業、其他服務業等之公、民營事業場所單位均為調查對象。三、「職類別薪資調查」之目的係為蒐集各行業及職類別受僱員工人數、薪資水準等資料，供為政府修訂法規、釐訂施政計畫及業者訂定員工薪資、增進員工福祉等參據。「受僱員工薪資調查」之目的係為了解臺灣地區受僱員工人數、薪資、工時及員工進退情形，供為研訂經建計畫及產業政策之參據。首揭調查所獲之個別資料絕對保密，除供整體統計分析之用外，不作其他用途，請受訪廠商支持配合，提供正確詳實資料。四、「職類別薪資調查」結果請逕至勞動部網站（https://www.mol.gov.tw/)「勞動統計查詢網/統計資料庫查詢」項下查詢。       「受僱員工薪資調查」結果請逕至行政院主計總處網站（https://www.dgbas.gov.tw/mp.asp?mp=1） 「政府統計/主計總處統計專區/薪資及生產力統計/查詢系統」項下查詢。 ,277,112-08-31 16:59,113-01-02 15:42,臺北市政府主計處
2024-01-11 18:04:07,https://dbas.gov.taipei/News_Content.aspx?n=5E0B7204A12DA4B2&sms=87415A8B9CE81B16&s=C657CDFBAE71E207,近年臺北市總預算歲入、歲出執行情形及臺北市總預算附屬單位預算執行情形如何？, 民國89年度至111年度臺北市總決算、民國90年度至111年度臺北市總決算附屬單位決算及綜計表、97年度至112年度臺北市總預算暨附屬單位預算執行情形，登載於本府主計處網頁(https://dbas.gov.taipei/)業務項目之「會計決算/總決算」、「會計決算/附屬單位決算」及「會計決算/預算執行」項下，歡迎上網查詢及下載。  ,11024,112-06-02 13:49,113-01-02 15:42,臺北市政府主計處
2024-01-11 18:04:09,https://dbas.gov.taipei/News_Content.aspx?n=5E0B7204A12DA4B2&sms=87415A8B9CE81B16&s=2D272D3CB487B065,何謂家庭所得5等分位差距倍數？, 家庭所得5等分位差距倍數係將全市家庭依每戶所得收入由小至大排序後，按戶數分為5等分，最高20%家庭所得除以最低20%家庭所得之倍數即為5等分位差距倍數，倍數愈大，表示所得分配愈不平均。  ,14417,112-03-03 14:20,113-01-02 15:42,臺北市政府主計處
2024-01-11 18:04:12,https://dbas.gov.taipei/News_Content.aspx?n=5E0B7204A12DA4B2&sms=87415A8B9CE81B16&s=BD0F8DA594572DBF,消費者物價指數查價範圍為何？是否包括房地產、工資及股票價格在內？, 一、消費者物價指數用以衡量「一般家庭購買消費性商品或服務價格水準之變化」，舉凡食、衣、住、行、育、樂等消費性商品（如手機）與服務（如電話費）均包含在內。二、至於房地產、股票、債券（具投資或儲蓄性質）、健保費、所得稅（支出與受無對等報償關係）等，非以消費性為目的商品及服務均不包括在內；另房價雖不列入查價範圍，但住宅用房租及住宅修繕費用等消費性支出，則包括在內。三、雖房地產支出不計消費者物價查價範圍，但我國目前除國泰建設、信義房屋等民間房屋仲介業者有編布相關房地產及房價指數外，內政部亦分析大量的全國不動產實價登錄交易資料，按季公布全國及六都住宅價格指數(網址：https://pip.moi.gov.tw/V3/e/scre0106.aspx)。  ,8833,112-03-03 14:47,113-01-02 15:42,臺北市政府主計處
2024-01-11 18:04:14,https://dbas.gov.taipei/News_Content.aspx?n=5E0B7204A12DA4B2&sms=87415A8B9CE81B16&s=2E39BCCF4FCA0C1F,何謂物價指數？何以現編物價指數所顯示的物價變動趨勢常與大眾的感受不同？, 一、物價指數代表各種商品或勞務之平均價格變動情況，用以衡量整體的消費物價水準。它隱含4種平均的概念，第1種為時間上的平均，意即上旬上漲幅度可能被下旬下跌幅度予以減弱；第2種為項目之間的平均，例如油價的上漲可能為通訊設備（如行動電話）跌價所抵消；第3種為通路之間的平均，諸如食用油因超市特價促銷之下跌幅度，可能為其他查價商家結束優惠活動而原價供應之上漲幅度予以綜合掉；第4種為權數的平均，亦即縱使水果(權數2.17％)與房租(權數25.68％)單項指數漲幅相同，但因所占指數權數不同，影響總指數上漲的幅度卻不盡相同；最後，經上開多重平均計算後，總指數的變動經常不如個別商品價格變動之敏感，而導致民眾親身感受略有差距。二、另外，一般大眾對於商品價格偏高與通貨膨脹觀念常有混淆，將高價位誤認為物價高漲。事實上，通貨膨脹係經濟學名詞，並無法定衡量指標，通常係指一般物價水準在某一時期內，連續性地以相當幅度上漲，因此常用消費者物價指數年增率來衡量，故其與絕對價格水準的高低無關，例如日本以物價昂貴聞名，卻也是物價平穩的國家。三、一般社會大眾常將生活成本與生活費用混淆；生活成本在經濟學定義係指一般消費者在兩個不同時期，為了維持相同滿足水準之支出變動，而生活費用之變化則包含消費數量、品質及價格的變動，即使物價不變，生活費用仍會因生活水準提升及所得增加而提高，是屬於消費支出的變動，與物價指數純粹觀察價格變動的觀念不盡相同，例如以往購買映像管電視，現在改買液晶電視；以前在國內從事休閒活動，現在轉往國外旅遊，消費內涵不同，支出雖增加，惟不能據此視為價格上漲。  ,11774,112-03-03 14:24,113-01-02 15:42,臺北市政府主計處
2024-01-11 18:04:16,https://dbas.gov.taipei/News_Content.aspx?n=5E0B7204A12DA4B2&sms=87415A8B9CE81B16&s=7EF5719D2BC73D8E,目前臺北市是否有辦理「家庭收支調查」？其調查期間、對象、目的及內容為何？如何取得調查結果？, 一、臺北市辦理之家庭收支統計調查，計有下列2項：(一)家庭收支訪問調查：按年辦理1次，並於每年12月至翌年2月間派員實地訪問。(二)家庭收支記帳調查：按月辦理，並採長期追蹤調查。二、本調查以居住於臺北市12行政區內具有中華民國國籍，並在戶籍上獨立設戶，戶內成員營共同經濟生活之一般家庭為調查對象，其中亦包含農、林、漁、牧戶及單人戶。三、該調查主要目的為蒐集本市各區各階層家庭收入支出之基本資料，其主要用途為明瞭臺北市各階層市民生活實況、生活水準之演變、各行職業及各階層家庭收支狀況，以為改善市民生活，釐訂社會政策，推行社會福利措施等主要之張本，並供改編臺北市消費者物價指數、編算國民所得、研究個人所得分配及估計民間消費支出型態之依據，調查所獲之個別資料絕對保密，除供整體統計分析用外，不作其他用途，請惠予合作，據實回答。四、其調查內容分為戶口組成、家庭設備概況、住宅概況、所得總額（即所得收入及自用住宅及其他營建物設算折舊）、經常性支出（即消費支出及非消費支出）等項。五、家庭收支訪問調查資料按年編製調查報告，上述資料除可電洽臺北市民當家熱線1999（外縣市02-27208889）轉7650~7656查詢外，亦可至臺北市政府主計處網站(https://dbas.gov.taipei/)「業務項目」項下「統計」之「統計刊物」區查閱，另可至「統計資料庫查詢系統」之「家庭收支資料庫」查閱。 ,8936,111-11-30 15:37,113-01-02 15:42,臺北市政府主計處
2024-01-11 18:04:18,https://dbas.gov.taipei/News_Content.aspx?n=5E0B7204A12DA4B2&sms=87415A8B9CE81B16&s=AA60B437B691AC08,目前臺北市編有哪些物價指數？如何取得指數資料？, 臺北市現編物價指數計有消費者物價指數和營造工程物價指數2種。上述資料處除可電洽臺北市民當家熱線1999（外縣市02-27208889）轉2054~2056、7633、7647~7656查詢外，亦可至臺北市政府主計處網站(https://dbas.gov.taipei/)「業務項目」項下「統計」之「物價統計」區查閱，另可至「統計資料庫查詢系統」之「物價統計資料庫」查閱。  ,9257,112-03-03 14:27,113-01-02 15:42,臺北市政府主計處
2024-01-11 18:04:21,https://dbas.gov.taipei/News_Content.aspx?n=5E0B7204A12DA4B2&sms=87415A8B9CE81B16&s=AAC067A1FEF5F10C,目前臺北市是否有辦理「人力資源調查」？其調查期間、對象及目的為何？如何取得調查結果？, 一、「人力資源調查」係由行政院主計總處統籌規劃設計，再委由各市縣政府為辦理所轄區域之實地調查作業，為按月辦理之常川性調查。二、資料調查時期為該月含15日當天之一個星期（星期日至星期六），即資料標準週，調查訪問期間為標準週次日起6~10日內，以普通住戶與共同事業戶，戶內年滿15歲自由從事經濟活動之本國籍民間人口為對象，但不包括武裝勞動力及監管人口。三、該調查係我國之指定統計調查，旨在按月蒐集全國家戶內15歲以上人口之就業、失業及非勞動力（如高齡、求學、料理家務等）狀況，以掌握全國及各市縣人力供應變動情形，並作為政府規劃人力政策之參考，調查所獲之個別資料絕對保密，除供整體統計分析用外，不作其他用途，請惠予合作，據實回答。四、該調查結果請逕至行政院主計總處網站（https://www.dgbas.gov.tw/）「政府統計」項下「主計總處統計專區」之「就業、失業統計」區查詢。 ,10236,112-03-03 14:44,113-01-02 15:42,臺北市政府主計處
