Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2024-01-11 15:34:47,https://www.dot.gov.taipei/News_Content.aspx?n=8AF5CCCCF7B8610A&sms=87415A8B9CE81B16&s=36C3F9DC6FFBD5A1,基北北桃都會通Q&A, 基北北桃都會通使用須知(附件1)及常見問答(附件2)，臺北大眾捷運公司已公告相關訊息於官方網站，亦可逕至捷運公司官方網站查詢(https://www.metro.taipei/cp.aspx?n=CEF54168B23F73B4&s=BB3631329CC1A297)。   ,818,113-01-10 09:17,113-01-10 09:17,臺北市政府交通局
2024-01-11 15:34:49,https://www.dot.gov.taipei/News_Content.aspx?n=8AF5CCCCF7B8610A&sms=87415A8B9CE81B16&s=447E3EBB660621FE,陽明山區下雪交通管制計畫內容為何, 一、目的：為維護陽明山區下雪預報及下雪時期交通安全與流暢，並防止發生交通事故及意外事件，確保行車安全，特訂定本計畫。二、時機：交通部中央氣象署氣象預報陽明山區有下雪機率時，各相關單位依各權責事項處理。三、內容：交通部中央氣象署已播報陽明山區下雪，依下（積）雪線（範圍），分階段啟動交通管制措施。　（一）各階段及管制點權責分工。　（二）由仰德大道欲進入陽明山區（含非假日），未管制路段民眾需憑「仰德大道通行證」通行，行至管制點往陽明山區，一律加掛雪鏈。未持「仰德大道通行證」之民眾則行駛替代道路，自管制點至賞雪點一律加掛雪鏈。　（三）公車業者基於安全考量，僅於管制點進行疏運作業及配合緊急救援。另因各公車業者路線行駛動線不盡相同，依下（積）雪狀況及交通管制點訂定折返點，並依現場員警指揮，於適當地點迴轉。臺北市公共運輸處視狀況協調第二停車場第四、五層及惇敘工商作為儲車空間，以利公車即時疏運。　（四）為利緊急救援，執行公務及大眾運輸優先運送乘客之需要，東山路25巷及紗帽路規劃為緊急安全通道。四、陽明山雪融後各單位依道路實際狀況開放管制路段通行。五、仰德大道未遇下（積）雪期間，管制方式仍依據「仰德大道連續假日管制計畫」辦理。 ,193,112-12-22 09:18,112-12-22 09:18,臺北市政府交通局交通治理科
2024-01-11 15:34:52,https://www.dot.gov.taipei/News_Content.aspx?n=8AF5CCCCF7B8610A&sms=87415A8B9CE81B16&s=C39DD566707BC8FA,共享機車久占停車格該如何處理？, 一、本市推動共享運具服務是希望透過一輛車多人使用，逐步改變市民用車習慣，降低私有運具使用。為管理共享運具業者，本局已訂定臺北市共享運具經營業管理自治條例及辦法規範業者，另依據本局與業者簽訂之行政契約規定，共享運具業者所營運之共享機車不得有久停3日、違規停放或於同一路段（指2個路口之間同一側（面對同方向））連續停放超過3輛或總數超過6輛情事，如有前述情形，業者須於接獲通知後4小時內完成移置車輛，如未於時限內完成移置，本局得依前開自治條例處罰之。二、若有發現共享機車久停情事，可電話通報業者客服專線（GoShare：02-7743-0695、iRent：0800-024-550、WeMo Scooter：0809-091-880），提供車號及路段等相關資訊，業者將依規定派員調度處理，您亦可拍照紀錄車輛停放時間、地點及車牌，通知本局查處。 ,344,112-12-20 10:11,112-12-20 10:11,臺北市政府交通局
2024-01-11 15:34:53,https://www.dot.gov.taipei/News_Content.aspx?n=8AF5CCCCF7B8610A&sms=87415A8B9CE81B16&s=D65C058B5FAF265E,oBike無樁式共享單車說明, oBike無樁式共享單車前係由台灣奧致網絡科技有限公司自行經營，非由市府提供及營運。另經查詢財政部稅籍登記資料顯示非營業中。如有違規停車等情事，亦將依道路交通管理處罰條例取締或移置，民眾使用oBike如有相關問題，可撥打1999市民熱線反映。 ,4112,112-12-20 09:55,112-12-20 09:55,臺北市政府交通局運輸管理科
2024-01-11 15:34:55,https://www.dot.gov.taipei/News_Content.aspx?n=8AF5CCCCF7B8610A&sms=87415A8B9CE81B16&s=0B30567C6CA288F5,微型電動二輪車常見問答, Q1：微型電動二輪車，要掛牌才可行駛道路，如何申請牌照，是否有詢問電話?A：請逕向交通部公路局臺北市區監理所（電話:02-27630155）詢問或逕洽各地監理所、站諮詢。Q2：微型電動二輪車111年11月30日起開始掛牌，請問111年11月30日出廠之微型電動二輪車是否就要領牌才可上路? 111年11月29日出廠之微型電動二輪車是否仍是領用合格標章?A2：是，111年11月30日出廠之微型電動二輪車要領牌才可上路，111年11月29日出廠之微型電動二輪車是領用合格標章，但2年內(111年11月30日至113年11月29日止)需完成領牌。Q3：騎乘微型電動二輪車有什麼需要特別注意的事項嗎？A3：請注意以下重點：(一) 記得戴安全帽。(二) 不得擅自增、減、變更電子控制裝置或原有規格，容易造成微型電動二輪車引火燃燒。(三) 不得載人或超速（25㎞/hr）。(四) 不可酒駕。(五) 不得騎乘未經型式審驗合格車輛。Q4：有關微型電動二輪車掛牌納保相關問題網頁要去那裏查?A4：交通部公路局已建置「微型電動二輪車專區」(https://www.mvdis.gov.tw/m3-emv-car/car/electricBicycles/eBicyclesDoc)供查閱掛牌作業規定、注意事項、懶人包及各監理所站微電車諮詢窗口連結，歡迎多加利用。Q5：微型電動二輪車臺北市是否有行駛規定？A5：臺北市政府111年11月30日府交管字第1113047438號令規定，自111年11月30日起，禁止微型電動二輪車行駛於臺北市人行道及自行車道（河濱自行車道除外），請參閱臺北市政府公報（https://gazette.gov.taipei/informationcatalog/latestgazette/dicontent/7C0F8442-F9B5-4A9E-9C2C-B830324BEB81）。 ,618,112-12-14 09:05,112-12-14 09:05,臺北市政府交通局
2024-01-11 15:34:56,https://www.dot.gov.taipei/News_Content.aspx?n=8AF5CCCCF7B8610A&sms=87415A8B9CE81B16&s=7B7FD009DFE895B1,什麼是YouBike微笑單車？租借車輛是否提供安全帽？, 一、臺北市公共自行車租賃系統係由臺北市政府與微笑單車公司攜手合作建置，品牌名稱為「YouBike 微笑單車」。YouBike微笑單車係使用無人自動化管理系統，提供24小時自行車甲租乙還之租賃服務，盼以自行車做為大眾運輸交通接駁工具。配合大眾運輸工具開發自行車接駁系統，擴大捷運和公車的服務腹地，以吸引更多民眾使用大眾運輸工具，減少汽機車使用，進而達到環保與經濟之效益。 二、YouBike 2.0係採車輛車上機結合輕樁設計，可在車上機以電子票證靠卡感應借、還車及掃碼租車，車輛全車零件採用防盜設計，需使用特殊工具才能拆卸。 前輪輪鼓驅動發電前後光感應照明設備。 前方置物籃下方內建隨車鎖，可使用於短時間臨時停車。 座椅可自由調整高低，適騎乘身高為 140 至 190 公分。 低垮點設計，安全且容易騎乘。 三段內變速，不易脫鍊。 後泥除與鏈蓋設計，安全乾淨且具防吸裙之功能。 三、基於衛生考量，YouBike無提供安全帽，須請民眾自行準備。 ,7627,112-12-13 17:11,112-12-13 17:11,臺北市政府交通局
2024-01-11 15:34:56,https://www.dot.gov.taipei/News_Content.aspx?n=8AF5CCCCF7B8610A&sms=87415A8B9CE81B16&s=1305072EEAF5F32A,我要怎麼做才能開始租YouBike微笑單車？, 您必須將您的悠遊卡或一卡通透過YouBike官方網站或YouBike2.0 APP註冊程序開卡，使您具有YouBike會員身分，即可使用該票卡租借YouBike，一組手機門號可以辦理５張票卡登記。單次租車可使用信用卡（VISA、MASTER或JCB）付費，使用方式請參考YouBike官網，網址https://www.youbike.com.tw/region/main/rent-way/single/。 ,2632,112-12-13 17:10,112-12-13 17:10,臺北市政府交通局運輸管理科
2024-01-11 15:34:58,https://www.dot.gov.taipei/News_Content.aspx?n=8AF5CCCCF7B8610A&sms=87415A8B9CE81B16&s=3D693A8078C20884,YouBike是否有使用時間上的限制？如果YouBike微笑單車會員借車後一直未歸還，系統會如何處理？, 目前系統並未設定時間上限，惟為提醒民眾租借時間及減少還車不確實所衍生費用爭議，針對租借後4小時仍未有還車紀錄者，將以手機簡訊方式通知，租借系統將於整點時間搜尋借車未還名單，並就租借逾4小時未還車者於每小時發送簡訊通知。另為減少簡訊通知於夜間發送而干擾民眾作息，簡訊通知僅在於8時至22時間發送，提醒民眾於租借4小時以上採累進費率，如無使用需求，請盡速還車。若有遭竊之虞，將視情況連絡警政單位協助查詢。 ,3704,112-12-13 17:10,112-12-13 17:10,臺北市政府交通局運輸管理科
2024-01-11 15:35:00,https://www.dot.gov.taipei/News_Content.aspx?n=8AF5CCCCF7B8610A&sms=87415A8B9CE81B16&s=0176C8B6A8B5FC53,如民眾反映於YouBike新北市場站借還車有交易異常情況應如何處理？, 本局如接獲民眾反映於新北市或其他縣市所轄公共自行車場站有異常交易情況，均需轉知由該主管機關（新北市政府或其他縣市政府）查處，惟因公文函轉時間恐延長辦理時效，致影響民眾權益未能及時處理相關問題，建議民眾可直接向新北市政府交通局（聯繫電話：02-2960-3456）或直接向其他縣市政府反映，以利您能快速得到答復。 ,393,112-12-13 17:09,112-12-13 17:09,臺北市政府交通局
2024-01-11 15:35:03,https://www.dot.gov.taipei/News_Content.aspx?n=8AF5CCCCF7B8610A&sms=87415A8B9CE81B16&s=49482C59B6D7D717,YouBike還會再增加站位嗎？," 本局自110年起辦理本市YouBike2.0建置計畫，並提前於111年10月14日達成1,200站目標，後續將再視使用情形評估增加站位。  ",4946,112-12-13 17:08,112-12-13 17:08,臺北市政府交通局
