Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2023-12-17 21:15:35,https://dop.gov.taipei/News_Content.aspx?n=3444E44099E80E18&sms=87415A8B9CE81B16&s=2F1A1F50AB02E195,臺北市政府所有機關學校的中英文名稱，要到哪裡可以查詢？, 目前本府各機關學校系統表，均刊載於人事處網站，可由首頁左側選單的業務資訊中，點選進入「機關學校系統表」，即可查詢本府各機關學校中英文列表。(首頁>業務資訊>機關學校系統表)   ,3839.0,110-09-17 17:45,112-11-27 10:45,臺北市政府人事處管理科
2023-12-17 21:15:35,https://dop.gov.taipei/News_Content.aspx?n=3444E44099E80E18&sms=87415A8B9CE81B16&s=61DD450B9726180E,想了解臺北市政府各機關組織法規、人員編制及權責劃分，該怎麼查詢？, 目前本府各機關的組織法規及編制表，均刊載於人事處網站，可由左列選單的「主題專區」中，點選進入「法規專區」，再點選進入「臺北市政府暨所屬各機關組織法規」，即可查詢。(首頁>主題專區>法規專區>臺北市政府暨所屬各機關組織法規) 另本府各機關權責劃分，亦可經由人事處網站業務資訊中的「本府分層負責明細表」，查詢各機關之分層負責明細表（甲表）。(首頁>業務資訊>本府分層負責明細表) ,6198.0,110-09-17 17:41,112-11-27 10:44,臺北市政府人事處管理科
2023-12-17 21:15:35,https://dop.gov.taipei/News_Content.aspx?n=3444E44099E80E18&sms=87415A8B9CE81B16&s=499885E9EA117A91,一般民眾想進入臺北市政府工作，除了參加國家考試外，還有什麼管道呢？,  目前本府各機關新進之年度計畫約聘僱人員與新僱之專案技工及專案工友，已委由本市就業服務處採公開甄選方式辦理，相關職缺均刊載於該處網站，詳細資訊請見該處網站。 另各機關留職停薪約聘僱人員，則係由各機關自行辦理公開甄選，相關訊息均刊載於各機關網站及本府求職徵才網(https://job.gov.taipei/)，建議民眾可上網留意相關訊息。 ,25713.0,110-04-19 17:54,112-11-22 09:50,臺北市政府人事處管理科
2023-12-17 21:15:36,https://dop.gov.taipei/News_Content.aspx?n=660BCC7EB1C1281B&sms=87415A8B9CE81B16&s=8615120C76F08761,進用專門職業及技術人員轉任公務人員有何限制？, 專門職業及技術人員轉任公務人員條例（以下簡稱專技轉任條例）業於111年12月28日修正公布，除第8條及第9條係自111年12月30日生效施行外，其餘修正條文自113年1月1日施行。有關進用專技轉任人員之相關限制如下（相關修正條文尚未施行，依修正前規定辦理）：1.進用期間限制（相關修正條文尚未施行，請依修正前規定辦理）：依修正前專技轉任條例第4條第4項規定略以，各機關職缺擬進用轉任人員，應於無適當之公務人員考試及格人員可資分發任用或遴用時，經分發機關依審核原則審核同意，並由用人機關依法辦理甄審或公開甄選後，始得進用。至修法後依第4條第3項規定略以，各機關進用專技人員之職缺及名額，應依公務人員考試辦理及錄取情形核算，並得審酌機關業務需要增核名額，於本條例施行細則定之。2.職系資格限制：（1）原則：依專技轉任條例修正條文第4條第1項、第2項及第8條規定略以，轉任公務人員，應以轉任與其考試等級相同、類科與職系相近之職務為限，或曾經銓敘部依專技轉任條例銓敘審定有案之職系為限。（2）例外：調任時如具有專技轉任條例修正條文第8條但書所列情事之一者，不在此限。①轉任人員以同一資格轉任後實際任職滿6年，且最近3年年終考績2年列甲等、1年列乙等以上者，得按其轉任職系類別，依現職公務人員調任辦法或職組暨職系名稱一覽表規定，分別調任行政類或技術類職系職務。技術類職系轉任人員得調任與其初次轉任職系視為同一職組之行政類職系職務。但不得再調任與該行政類職系同職組其他職系或視為同一職組之職系職務。②升任簡任職務或於簡任職務間之調任，適用公務人員調任職系之相關規定。3.限制轉調年限（相關修正條文尚未施行，請依修正前規定辦理）：依修正前專技轉任條例第4條第7項規定略以，各機關轉任人員於實際任職3年內，不得調任其他機關任職。至於修法後依第4條第5項規定略以，各機關轉任人員於實際任職1年內，不得擔任主管、副主管職務；於實際任職3年內，不得調任本機關及其所屬機關以外機關任職。 ,738.0,112-11-21 11:26,112-11-21 11:26,臺北市政府人事處任用科
2023-12-17 21:15:36,https://dop.gov.taipei/News_Content.aspx?n=660BCC7EB1C1281B&sms=87415A8B9CE81B16&s=4D50671450125C49,公務人員任用法第17條第6項委任晉升薦任官等所規定之最近3年年終考績，是否須為連續？,  公務人員任用法第17條第6項所稱「最近3年年終考績」，非以連續為必要，期間中斷者，得依次向前推算遞補之。惟須計算合格實授委任第五職等之年終考績，另予考績及併資考績均不得計算。 ,10278.0,111-02-23 17:15,112-11-22 13:37,臺北市政府人事處任用科
2023-12-17 21:15:36,https://dop.gov.taipei/News_Content.aspx?n=660BCC7EB1C1281B&sms=87415A8B9CE81B16&s=A9C018B62B312BA8,權理有何限制？,  依據公務人員任用法第9條規定，初任各職務人員，應具有擬任職務所列職等之任用資格；未具擬任職務職等任用資格者，在同官等高二職等範圍內得予權理。權理人員得隨時調任與其所具職等資格相當性質相近之職務。 復依公務人員任用法施行細則第10條，所稱未具擬任職務職等任用資格者，在同官等高二職等範圍內得予權理，指擬任人員所具任用資格未達擬任職務所列最低職等，而具有該職等同一官等中低一或低二職等任用資格者，始得權理。例如委任第一職等或委任第二職等具任用資格者，可權理委任第三至第五職等辦事員職務；薦任第六職等或薦任第七職等具任用資格者，可權理薦任第八職等股長職務。但職務跨列二個官等者，不得權理。例如委任第三職等具任用資格者，不得權理委任第五職等至薦任第七職等人事管理員職務。 惟於公務人員任用法修正施行前（即民國91年1月29日前）經銓敘部銓敘審定准予權理高三職等以上職務人員，得隨時調任與其所具職等資格相當性質相近之職務或繼續任原職至離職為止。   ,43404.0,111-02-23 17:18,112-11-20 14:17,臺北市政府人事處任用科
2023-12-17 21:15:36,https://dop.gov.taipei/News_Content.aspx?n=660BCC7EB1C1281B&sms=87415A8B9CE81B16&s=B20519B5EBCF5B7B,曾擔任公務機關約用人員職務，考上公務人員考試，其約用年資可否提敘？,  曾擔任公務機關約用人員職務，為各機關以契約聘僱用之專業或行政人員，此類人員不適用公務人員任用法、聘用人員聘用條例、行政院與所屬中央及地方各機關約僱人員僱用辦法及工友管理要點。因此，約用人員年資無法採計及辦理公務人員俸級提敘，亦無法依公務人員考試錄取人員訓練辦法相關規定，免除基礎訓練及縮短實務訓練。 ,17473.0,110-10-21 17:30,112-11-21 11:09,臺北市政府人事處任用科
2023-12-17 21:15:36,https://dop.gov.taipei/News_Content.aspx?n=660BCC7EB1C1281B&sms=87415A8B9CE81B16&s=AA7DD65C2C82EDC5,想到臺北市政府上班，要參加何種考試？, 如果想在本府或其他政府機關服務，可以參加公務人員高等暨普通考試、初等考試、特種考試地方政府公務人員考試、特種考試身心障礙人員考試及特種考試原住民族考試等。上述公務人員考試通常每年各舉辦1次，各類考試依學歷、年齡、考試內容對應考人的資格條件有不同要求，只要符合這些要求即可報考，一旦考試錄取，就有機會到各政府機關服務。有關各類考試應考規定，可以查閱考選部網站「應考人專區-考試資訊」選項中（https://www.moex.gov.tw/）資訊。 ,13431.0,112-11-21 11:45,112-11-21 11:45,臺北市政府人事處任用科
2023-12-17 21:15:37,https://dop.gov.taipei/News_Content.aspx?n=660BCC7EB1C1281B&sms=87415A8B9CE81B16&s=F3AF0AD8A4CD8FA1,進用身心障礙者的義務機關(構)，如果有員工因入伍、育嬰而留職停薪，進用機關(構)另請職務代理人，致使一個工作有2個人投保，是否可將員工總人數扣除1人？, 依身心障礙者權益保障法施行細則第15條第2款規定，經機關（構）依法核予留職停薪，仍繼續參加勞工保險或公教人員保險之人員，得不予計入員工總人數計算。爰不論人員留職停薪期間，機關（構）是否有僱用職務代理人，均可將員工總人數扣除留職停薪人數計算。     ,11262.0,111-02-23 17:20,112-11-22 13:38,臺北市政府人事處任用科
2023-12-17 21:15:37,https://dop.gov.taipei/News_Content.aspx?n=660BCC7EB1C1281B&sms=87415A8B9CE81B16&s=782313B829676D53,公務員兼職有何相關規定？, 公務員服務法第15條規定：公務員除法令規定外，不得兼任他項公職；其依法令兼職者，不得兼薪。公務員除法令規定外，不得兼任領證職業及其他反覆從事同種類行為之業務。但於法定工作時間以外，從事社會公益性質之活動或其他非經常性、持續性之工作，且未影響本職工作者，不在此限。公務員依法令兼任前二項公職或業務者，應經服務機關（構）同意；機關（構）首長應經上級機關（構）同意。公務員兼任教學或研究工作或非以營利為目的之事業或團體職務，應經服務機關（構）同意；機關（構）首長應經上級機關（構）同意。但兼任無報酬且未影響本職工作者，不在此限。公務員有第二項但書及前項但書規定情形，應報經服務機關（構）備查；機關（構）首長應報經上級機關（構）備查。公務員得於法定工作時間以外，依個人才藝表現，獲取適當報酬，並得就其財產之處分、智慧財產權及肖像權之授權行使，獲取合理對價。第二項、第四項及第六項之行為，對公務員名譽、政府信譽、其本職性質有妨礙或有利益衝突者，不得為之。公務員兼任第三項所定公職或業務及第四項所定工作或職務；其申請同意之條件、程序、限制及其他應遵行事項之辦法，由考試院會同行政院定之。  ,13341.0,111-11-28 10:35,112-11-20 13:46,臺北市政府人事處任用科
