Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2023-12-17 21:26:51,https://dcsd.gov.taipei/News_Content.aspx?n=C7E86F908A5572A2&sms=87415A8B9CE81B16&s=F638474042382B55,若是錄取後無法來上課或者未報到者，往後是否可以再參加相同的班期？, 目前仍可報名相同的班期，未有停權處分，然為避免訓練資源浪費，請儘量參加或最慢於開課前一工作日請貴機關人事人員逕至－公訓處實體班期人事登錄系統登錄學員異動作業。 ,10777,111-06-28 17:04,112-11-29 16:31,臺北市政府公務人員訓練處
2023-12-17 21:26:53,https://dcsd.gov.taipei/News_Content.aspx?n=C7E86F908A5572A2&sms=87415A8B9CE81B16&s=7D045ACB6AD6CECE,機關人事如何進行局處線上報名？, 請人事人員登入「公訓處實體班期人事登入系統」-「登錄貴局（處）帳號及密碼」-點選左側「28人事管理介面」-「28C報名作業（機關人事）-輸入班期代碼或班期名稱查詢後-點選該班代碼-輸入機關同仁資料-點選【確認】進行線上報名。     ,11544,111-06-28 17:05,112-11-29 16:31,臺北市政府公務人員訓練處
2023-12-17 21:26:55,https://dcsd.gov.taipei/News_Content.aspx?n=C7E86F908A5572A2&sms=87415A8B9CE81B16&s=B7D9401FF1894D16,任何人皆能線上報名平日公假班期嗎？, 並非任何人皆能進行線上報名，僅能透過北市府各機關人事人員（各機關訓練業務承辦人）線上報名。  請欲參加平日公假班之同仁（服務於臺北市政府人員）向人事人員或機關訓練業務承辦人提報參訓需求，經簽准後再統一由人事人員或訓練業務承辦人至「公訓處實體班期人事登入系統」-「人事管理介面」-「28C報名作業」進行線上報名。 ,10566,111-06-28 17:07,112-11-29 16:31,臺北市政府公務人員訓練處
2023-12-17 21:26:57,https://dcsd.gov.taipei/News_Content.aspx?n=C7E86F908A5572A2&sms=87415A8B9CE81B16&s=779381D49DB399F0,臺北e大實體班期專區相容之瀏覽器為何？, 1、臺北e大－實體班期作業專區限用chrome瀏覽器開啟。 2、臺北市政府員工亦可由「TAIPEION」-「資訊服務」-「台北e大」-「我的課程」進入實體班期專區。   ,12031,111-06-29 14:30,112-11-29 16:31,臺北市政府公務人員訓練處
2023-12-17 21:27:00,https://dcsd.gov.taipei/News_Content.aspx?n=C7E86F908A5572A2&sms=87415A8B9CE81B16&s=AD4739AD17E17784,局處訓練業務承辦人忘記密碼怎麼辦？可以自行修改嗎？, 局處訓練業務承辦人（人事人員）無法自行查詢、修改「實體班期人事登入系統」之密碼，僅能致電至公訓處客服中心協助密碼修正事宜。   ,9848,111-06-29 14:31,112-11-29 16:31,臺北市政府公務人員訓練處
2023-12-17 21:27:02,https://dcsd.gov.taipei/News_Content.aspx?n=C7E86F908A5572A2&sms=87415A8B9CE81B16&s=D5C3A2D9A3CD3B9F,機關人事如何增修機關同仁的基本資料？, 1、修改同仁資料：臺北e大實體班期專區之學員資料係介接自｢WebHR人力資源管理資訊系統｣，如貴機關同仁基本資料（姓名、生日、公務信箱、公司電話、任職機關、主管級別、職稱）有異動時，請逕至該系統更新資料。  2.新增同仁資料： 方式1：人事人員至實體班期人事登入系統-「28B學員基本資料」直接新增。 方式2：人事人員至實體班期人事登入系統-「28C報名作業」報名時輸入同仁身分證字號，如顯示【無此身分證字號，請先新增此學員資料後完成報名！】，表示該員從未至公訓處上課，系統無該同仁資料，請點按〔確定〕鍵後進行資料新增，並請確認該同仁資料是否已成功鍵入｢WebHR人力資源管理資訊系統｣，俾後續資料介接。 ,10250,111-06-29 14:31,112-11-29 16:31,臺北市政府公務人員訓練處
2023-12-17 21:27:04,https://dcsd.gov.taipei/News_Content.aspx?n=C7E86F908A5572A2&sms=87415A8B9CE81B16&s=463873502ABF74BA,學員身分證字號錯誤應如何修改？, 1、學員尚無上課紀錄：人事人員於28C報名作業新增錯誤個資時，可逕至28B學員基本資料，將錯誤資料勾選刪除，再重新建置。  2、學員已有上課紀錄：已有上課紀錄或已結訓之學員，已無法修改身分證字號，敬請電洽本處客服中心29320212#341協助辦理。 ,12402,111-06-29 14:32,112-11-29 16:31,臺北市政府公務人員訓練處
2023-12-17 21:27:06,https://dcsd.gov.taipei/News_Content.aspx?n=C7E86F908A5572A2&sms=87415A8B9CE81B16&s=FDE1C2667CA3C4D0,機關人事如何判斷是否已報名成功？, 1、班期尚在報名期間： 請人事人員登入實體班期人事人員登入系統-登錄貴局（處）帳號及密碼-點選左側「人事管理介面」-點選「28C報名作業」-查詢班期名稱後點選「班期代碼」-如尚在開放報名期間之班期，即可在頁面下方查到已報名的學員資料。  2、班期已報名結束： 請人事人員登入實體班期人事人員登入系統-登錄貴局（處）帳號及密碼-點選左側「人事管理介面」-點選「28D班期資訊及異動作業」-輸入班期名稱後點選第3個查詢按鈕「已報名尚未開辦之班期」-點選未選員名單即可查詢已報名人員。 ,10539,111-06-29 14:33,112-11-29 16:31,臺北市政府公務人員訓練處
2023-12-17 21:27:08,https://dcsd.gov.taipei/News_Content.aspx?n=C7E86F908A5572A2&sms=87415A8B9CE81B16&s=8335D3A98620B435,機關人事報名時輸入身分證字號，為何等很久才帶出學員資訊？, 可能貴單位對外的網路太慢所造成，請向上級反映，增加上網之網路頻寬。如果上其他網站很快，上實體班期專區系統很慢，請打電話至本處客服中心29320212#341協助處理。 ,9988,111-06-29 14:34,112-11-29 16:31,臺北市政府公務人員訓練處
2023-12-17 21:27:11,https://dcsd.gov.taipei/News_Content.aspx?n=C7E86F908A5572A2&sms=87415A8B9CE81B16&s=78BCAE98F3FD139E,正在報名中的課程，原本報名完後仍可取消，為何會有無法取消的現象？, 因班期承辦人端已進行該班期選員作業，但尚未寄發調訓，故報名端無法在28C報名作業中取消報名。 敬請人事人員於收到調訓通知Email後，再行辦理各項異動作業。若有特殊需求亦可電洽班期承辦人詢問。   ,9716,111-06-29 14:34,112-11-29 16:31,臺北市政府公務人員訓練處
