Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2023-12-17 21:19:08,https://bola.gov.taipei/News_Content.aspx?n=FDEDF5DCB0A26A46&sms=87415A8B9CE81B16&s=1B12624037201806,「臺北市外送平台業者管理自治條例」之適用對象，是否含括餐廳外送業者(如：必勝客、麥當勞)及餐飲外送平台業者(如：Uber Eats、Foodpanda)?, 1.臺北市外送平台業者管理自治條例(下稱本市外送自治條例)係規範設置使用電子商務技術進行網際網路交易，提供消費者購買商品，並提供外送員「選擇接受訂單」就消費者購買之商品進行外送服務之平台業者。2.凡平台業者指派外送員於本市從事外送服務，或公司、商業登記所在地位於本市，均屬外送自治條例之適用對象。(臺北市外送平台業者管理自治條例第3條)。3.外送自治條例所指之外送員，係指與平台業者間無僱傭關係之人員，因如為僱傭關係之勞工，已為勞動基準法之保障對象，本市為保障此類非典型工作者「類勞工」，爰訂定本市外送自治條例，保障外送員之工作安全。4.Uber Eats及Foodpanda等餐飲外送平台業者，適用本市外送自治條例；另餐廳業者之外送服務，如符合前揭要件，亦應適用。 ,257.0,112-12-04 11:35,112-12-04 11:35,臺北市政府勞動局職業安全衛生科
2023-12-17 21:19:10,https://bola.gov.taipei/News_Content.aspx?n=FDEDF5DCB0A26A46&sms=87415A8B9CE81B16&s=10482B95DEC2B73A,臺北市外送平台業者管理自治條例對颱風發生時，有何規範？, 外送平台業者於地方政府宣布停止上班期間，應立即通知外送員停止外送服務。(臺北市外送平台業者管理自治條例第5條) ,164.0,112-08-17 14:18,112-10-27 14:38,臺北市政府勞動局職業安全衛生科
2023-12-17 21:19:12,https://bola.gov.taipei/News_Content.aspx?n=FDEDF5DCB0A26A46&sms=87415A8B9CE81B16&s=0F0E70D56812B12E,如果有勞動相關之法律疑問，是否有提供義務律師可供諮詢？, 如果有勞動相關之法律疑問，本局提供「義務律師諮詢」服務資訊如下：1、勞動權益中心(萬華區艋舺大道101號6樓) :每週一至週五下午2時到5時現場排隊(另每週一至週五可至本局勞動即時通線上預約:https://ap.bola.taipei/)。2、北投就業服務站(北投區新市街30號5樓)：每週三下午2時到5時現場排隊。3、南港東明青銀就業服務站(南港區南港路二段60巷19號2樓)：每週三下午2時到5時現場排隊。4、信義就業服務站(信義區福德街86號8樓)：每週三及週五上午9時至12時現場排隊。5、電話諮詢可撥打總機1999(外縣市02-27208889) 轉分機7019 (每通電話限時10分鐘)：每週一至週五:下午2時至5時。(由台北律師公會、基隆律師公會及財團法人法律扶助基金會台北分會協辦） ,674.0,112-06-14 10:00,112-10-27 14:07,臺北市政府勞動局勞動基準科
2023-12-17 21:19:15,https://bola.gov.taipei/News_Content.aspx?n=FDEDF5DCB0A26A46&sms=87415A8B9CE81B16&s=859EB56847EAD774,5/1起防疫降階，「疫苗接種假」隨指揮中心解編退場，勞工有疫苗接種之需求，該如何請假？, 自112年5月1日起，防疫常態化後，受僱者如因疫苗接種有請假的需要，回歸一般性規定，依勞工請假規則規定辦理。 ,655.0,112-05-22 10:13,112-10-27 14:07,臺北市政府勞動局勞動基準科
2023-12-17 21:19:17,https://bola.gov.taipei/News_Content.aspx?n=FDEDF5DCB0A26A46&sms=87415A8B9CE81B16&s=02246B2BB309266A,原住民族歲時祭儀放假相關權益, 一、「原住民族歲時祭儀」為各該原住民族勞工之法定休假日，依內政部紀念日及節日實施辦法第4條規定，放假1日(其放假日期，每年度由行政院原住民族委員會依法公告，可至該網站「歲時祭儀專區」查詢)。具有原住民身分者，可以從自己、或父母、或配偶之族群別的歲時祭儀期間，選一天放假，1年只能放1次。非原住民身分之配偶依現行法規尚無法放歲時祭儀假。二、另依勞動基準法第37條及第39條規定，內政部所定應放假之紀念日、節日等，雇主應予休假且工資照給。故具原住民身分之勞工，得於上述人員所屬民族歲時祭儀放假日期中擇1日放假，並持原住民民族別證明文件（例如戶口名簿或戶籍謄本）向雇主提出。三、如果歲時祭儀假期間使勞工出勤則屬國定假日出勤，依勞動基準法規定，工資應加倍發給（假日當日工資照給外，再加發一日工資）。依排班出勤者，可經勞工同意將上述國定假日與其他工作日對調實施，但應確實將調移實施的休假日讓勞工知悉，並於排班表上載明例假日、休息日或國定假日之性質，以免造成勞工誤解。四、其他原住民族歲時祭儀放假日疑義，請參考原住民族委員會網站「歲時祭儀專區」常見問答集。(https://www.cip.gov.tw/zh-tw/news/data-list/0991B05985DBFF77/index.html?cumid=0991B05985DBFF77) ,492.0,112-04-20 14:30,112-10-27 14:07,臺北市政府勞動局勞動基準科
2023-12-17 21:19:19,https://bola.gov.taipei/News_Content.aspx?n=FDEDF5DCB0A26A46&sms=87415A8B9CE81B16&s=2C40D2733DDE931F,有關「陪產檢及陪產假」7日之規定，是否為陪產檢假7日及陪產假7日？, 性別平等工作法第15條第5項之新規定係將「陪產假」更名為「陪產檢及陪產假」，並由5日增為7日。受僱者為陪伴配偶產檢或生產，可在總數7日之額度內，自行決定陪產檢請假的日數及陪產請假的日數。 ,3534.0,112-08-29 18:00,112-10-27 15:03,臺北市政府勞動局就業安全科
2023-12-17 21:19:21,https://bola.gov.taipei/News_Content.aspx?n=FDEDF5DCB0A26A46&sms=87415A8B9CE81B16&s=FB1DC0964FDED5B0,颱風來襲，疫情期間居家辦公之勞工是否應出勤, 颱風等天然災害發生時，由於外出工作有所風險，勞工是否出勤，應以人身安全為首要考量。前勞動部訂頒之「天然災害發生事業單位勞工出勤管理及工資給付要點」，對勞工出勤管理及工資給付已有明確規範。至於企業因應疫情實施分流，居家工作的勞工在家工作，其勞務的履行，如不因颱風來襲而有影響，可依原約定履行勞務，雇主並應照給工資；但若仍因而受有影響致無法提供勞務，雇主仍不得予以各項不利之處分。 ,1168.0,110-07-21 09:43,112-10-27 14:07,臺北市政府勞動局勞動基準科
2023-12-17 21:19:23,https://bola.gov.taipei/News_Content.aspx?n=FDEDF5DCB0A26A46&sms=87415A8B9CE81B16&s=B31249E6744A9BFD,雇主若在正式法條通過前，給予受雇者第6、第7天的產檢假，可以領到多少補助呢？, 產檢假薪資補助要點相關問題，請聯繫勞動部勞工保險局，02-2396-1266。 ,688.0,112-10-24 13:59,112-10-27 15:03,臺北市政府勞動局就業安全科
2023-12-17 21:19:26,https://bola.gov.taipei/News_Content.aspx?n=FDEDF5DCB0A26A46&sms=87415A8B9CE81B16&s=1FF7265A7797B372,新聞上看到110年7月1日後產檢假從5天就變7天，是這樣嗎？, 《性別平等工作法》產檢假修正為7日，已於111年1月18日上路。 ,924.0,112-08-29 18:00,112-10-27 15:03,臺北市政府勞動局就業安全科
2023-12-17 21:19:28,https://bola.gov.taipei/News_Content.aspx?n=FDEDF5DCB0A26A46&sms=87415A8B9CE81B16&s=8E0870A6880361C0,請問我可以領多少的育嬰留職停薪補助呢？, 育嬰留職停薪補助津貼相關問題，請聯繫勞動部勞工保險局，02-2396-1266。 ,996.0,111-07-04 14:31,112-10-27 15:03,臺北市政府勞動局就業安全科
