Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2024-01-11 15:47:42,https://www.ipc.gov.taipei/News_Content.aspx?n=4FDBC97163E1A185&sms=87415A8B9CE81B16&s=6E5F72353FD51B0F,如本市族人有就(轉)業服務需求，該至何處詢問?, 本市族人若具有就(轉)業服務需求，歡迎可主動聯繫本會派駐本市各區公所原住民服務員，提供個人完整相關資訊，俾利本會後續進行就業媒合。※ 如有任何就業問題亦可電洽本會承辦張先生，聯絡電話：1999（外縣市02-27208889）轉2012。 ,81,113-01-10 17:13,113-01-10 17:13,臺北市政府原住民族事務委員會
2024-01-11 15:47:44,https://www.ipc.gov.taipei/News_Content.aspx?n=4FDBC97163E1A185&sms=87415A8B9CE81B16&s=F9F03DF617FCAF4E,設籍臺北市之原住民學生，可以申請何種原住民學生補助？,  教育補助項目設籍臺北市之原住民在學學生，依年級可申請下列教育補助項目：補助項目適用對象受理單位午餐補助就讀本市公私立國中或國小學校學生就讀學校代收代辦費補助就讀本市公私立國中或國小學校學生就讀學校學業助學金就讀公私立國中或國小學校學生本市為就讀學校；外縣市學校為戶籍所在區公所就讀公私立高中（職）學校學生本市為就讀學校；外縣市學校為戶籍所在區公所特殊才能助學金就讀公私立國中或國小學校學生本市為就讀學校；外縣市學校為戶籍所在區公所就讀公私立高中（職）學校學生本市為就讀學校；外縣市學校為戶籍所在區公所教育代金就讀本市私立高中（職）學校學生就讀學校就讀外縣市私立高中（職）學校學生戶籍所在區公所就讀私立大專院校學生生活津貼就讀公私立高中(職)學校學生戶籍所在區公所就讀公私立大專院校學生(不包含低收入戶及研究所)交通補助費就讀本市公私立國小至高中（職）學校學生就讀學校就讀外縣市公私立高中（職）學校或大專院校學生(不包含低收入戶及研究所)戶籍所在區公所※小小叮嚀:各項教育補助項目，於每學期開學後開始受理，如有疑問，可洽詢各就讀學校、各區公所原住民服務員或臺北市政府原住民事務委員會。※聯絡電話:1999（外縣市02-27208889）轉8339 伍先生 ,4638,113-01-10 17:15,113-01-10 17:15,臺北市政府原住民族事務委員會
2024-01-11 15:47:46,https://www.ipc.gov.taipei/News_Content.aspx?n=4FDBC97163E1A185&sms=87415A8B9CE81B16&s=8276B52E164A4DA1,原住民學生營養午餐補助，如何申請？, 補助對象：設籍臺北市且就讀臺北市公私立國中或國小學校，具原住民身分之學生。申請資格：非中低或低收入戶，且未領有其他政府機關、公營事業、私人企業行號或慈善機構相同補助者。申請時間：每學期開學後1個月內(本會官網公告為準)，欲申請之家庭，請於申請期限內向小孩所就讀的學校申請。※ 聯絡電話:1999（外縣市02-27208889）轉8339伍先生 ,2799,113-01-10 17:14,113-01-10 17:14,臺北市政府原住民族事務委員會
2024-01-11 15:47:48,https://www.ipc.gov.taipei/News_Content.aspx?n=4FDBC97163E1A185&sms=87415A8B9CE81B16&s=D023FB4AF2100A7A,原住民學生生活津貼要如何申請？有家庭收入之限制嗎？," 補助對象：設籍臺北市連續滿四個月以上，就讀國內公私立高中(職)學校或大專院校之學生，其家庭收入按全年家人口平均分配，每人每月未超過本府公告之本市最近ㄧ年度最低生活費標準二倍者（不包含低收入戶及研究所且未領有其他政府機關單位之生活津貼補助者）。補助金額：公私立高中(職)每名新台幣3,000元；公私立大專院校每名新台幣6,000元。申請時間：每年3月及9月 (本會官網公告為準)，向戶籍所在之區公所原住民服務員申請。※ 聯絡電話:1999（外縣市02-27208889）轉8339 伍先生 ",2653,113-01-10 17:13,113-01-10 17:13,臺北市政府原住民族事務委員會
2024-01-11 15:47:51,https://www.ipc.gov.taipei/News_Content.aspx?n=4FDBC97163E1A185&sms=87415A8B9CE81B16&s=1315FE817AD2E19A,請問我想上部落大學的族語課程(語言巢)，要去哪裡上課？條件及年齡？時間及地點？, 一、招生對象：不限身分、性別、年齡，歡迎對族語有興趣的在學學生及社會人士報名課程。二、本市原住民族部落大學「族語課程」（語言巢）目前有39班28位族語講師，分佈在各行政區。可密切關注本市部大網站公告的學期行事曆，並於上班時間來電報名。詳細課程內容及時間如下：部落大學（網址：https://www.tbc.cip.gov.tw/taipei/home ）。 亦可上本會「臺北市母語巢」網站（網址：https://taipei.pqwasan.org.tw/ ），了解更多本市族語學習資源及課程師資。三、您可以就想學的族語別及目前所住區域就近上課（目前多數課程採遠距教學進行），或選擇您喜歡的族語老師。課程時間大多在星期五、六、日，原則上依老師授課時段而排定（視授課老師而調整，如戶外教學、參與校內外族語比賽），歡迎來電部落大學02-2651-6365詢問，或親洽本會（臺北市信義區市府路1號台北探索館5樓）教育文化組-劉先生 電話：02-2720-6001分機28或1999轉分機2081 E-mail：8a-maitjar@gov.taipei ,1222,113-01-10 17:15,113-01-10 17:15,臺北市政府原住民族事務委員會
2024-01-11 15:47:53,https://www.ipc.gov.taipei/News_Content.aspx?n=4FDBC97163E1A185&sms=87415A8B9CE81B16&s=F53A756CFCB07D01,請問臺北市政府原民會針對原住民兒童相關托育補助有幾種？補助有何資格限制？," 一、補助類別(一) 針對學齡前（0至6歲）原住民兒童就托臺北市立案托育機構補助每學期4500元至4萬8000元不等之補助金額。(二) 針對學齡（6至12歲）原住民兒童就托私立立案兒童課後照顧服務中心提供每月3,500元至4,500元不等之補助金額。(三) 本會為保障本市原住民兒童之權益，並加強照顧本市原住民幼童，以及為使本市原住民家長可同時兼顧就業及育兒，補助平日課後留園費用補助標準，說明如下：1.公立幼兒園：每月最高補助1,000元，一學期最高補助4,500元，實際費用未達4,500元，則申請實際金額。2.私立幼兒園、非營利幼兒園、準公共幼兒園、托嬰中心及公共社區托育家園：每月最高補助1,000元，一學期最高補助6,000元，實際費用未達6,000元，則申請實際金額。二、補助對象：設籍並實際居住臺北市且就讀臺北市立案托育機構，為0-12歲具原住民身份之兒童。三、補助限制：(一) 兒童及父母其中一方設籍並實際居住本市。(二) 家庭收入每人每月平均未達本市當年度最低生活費標準2倍之限制規定，但未滿２歲者，不在此限。(三) 其他機關若與原民會辦理之補助重複者，同額補助則僅能擇一，其他則以差額補助之（如社會局及教育局辦理托育、就學補助）。小小叮嚀：臺北市政府原民會將針對該申請案件不定期實地訪視實際就托及實際居住情形。若查出未實際居住之事實，已請領該補助款者辦理追繳，尚未請領者一律駁回。聯絡電話:十二區公所原住民服務員 或1999(外縣市27208889)轉2017單位:社會福利組聯絡人:朱先生 ",3502,113-01-10 17:15,113-01-10 17:15,臺北市政府原住民族事務委員會
2024-01-11 15:47:55,https://www.ipc.gov.taipei/News_Content.aspx?n=4FDBC97163E1A185&sms=87415A8B9CE81B16&s=93B247E581D6C234,申請經濟弱勢原住民家庭建購或修繕住宅補助，受理期間為何?, 本會經濟弱勢原住民家庭建購或修繕住宅補助，原則為一整年度皆可受理(自1月1日至12月31日)。 聯絡電話:1999(外縣市02-27208889)轉分機2077單位：社會福利組聯絡人：陳先生 ,455,113-01-10 17:20,113-01-10 17:20,臺北市政府原住民族事務委員會
2024-01-11 15:47:57,https://www.ipc.gov.taipei/News_Content.aspx?n=4FDBC97163E1A185&sms=87415A8B9CE81B16&s=8968DFD0C802E3AB,經濟弱勢原住民家庭，若需進行房屋修繕，有什麼補助?補助金額為?, 本會申請經濟弱勢原住民家庭建購補助補助金額：最高新臺幣15萬元整。申請方式：向本市12區公所原住民服務臺申請或經由網路本市大平臺線上申請。檢具文件：(1)申請人戶籍資料（需註記原住民身分）。但本府原民會得經由戶政相關系統查詢或已有相關資料足以證明者除外。(2)全戶最新各類歸戶清單及全國財產稅總歸戶財產清單。(3)修繕房屋之建物登記謄本。無法提出建物登記謄本證明其房屋所有權者，得以房屋稅籍或檢附水電繳款收據。(4)修繕項目位置照片（每處一張）。(5)設施設備改善所需之工程、材料、工資等估價單。(6)最近五年未獲政府其他住宅補助切結書。(7)領據收據及申請人金融機構之活期存款帳戶封面影本。(8)申請書。 ,507,113-01-10 17:18,113-01-10 17:18,臺北市政府原住民族事務委員會
2024-01-11 15:47:59,https://www.ipc.gov.taipei/News_Content.aspx?n=4FDBC97163E1A185&sms=87415A8B9CE81B16&s=F5D37D2E13CE0C63,經濟弱勢原住民家庭，若有修繕房屋的需求，須具備什麼條件?, 申請經濟弱勢原住民家庭修繕住宅補助應注意事項如下：一、 申請人資格： (1)年滿十八歲，具有行為能力之原住民。 (2)設籍本市並實際居住四個月以上者。 (3)申請人必項是房屋所有權人或具由原住民身分之配偶申請。二、申請人條件：(1)自用住宅屋齡超過七年，且因老舊或衛生設備欠缺。但遭受火災或天然災害者不在此限。(2)本人、配偶、申請人及其配偶同戶籍內之直系親屬、申請人同一戶籍共同生活之二親等旁系血親均無其他自有住宅。(3)家庭總收入按全家人口平均分配，每人每月未超過本市當年度最低生活標準二倍者。(5)全家人口未超過一人時，存款本金及有價證券按面額計算之合計金額為新臺幣二百五十萬元以內者，每增加一人，曾增加新臺幣二十五萬元。(6)全家人口所有之土地或房屋未逾越合理之居住空間者，且不動產金額合計未超過一千二百三十七萬。(7)已獲其他重大災害重（修）建補助者，不得重複申請本要點之補助。(8)獲得補助之家庭，二年內不得將該房屋轉賣、讓渡、出租。經查確有前述情事或無居住事實者，應繳還該項補助款。(9)全家人口數應在二人以上，使得申請補助。但申請人無配偶或直系血親，且年滿五十歲之獨居個人，不在此限。聯絡電話:1999(外縣市02-27208889)轉分機2077單位：社會福利組聯絡人：陳先生 ,308,113-01-10 17:18,113-01-10 17:18,臺北市政府原住民族事務委員會
2024-01-11 15:48:02,https://www.ipc.gov.taipei/News_Content.aspx?n=4FDBC97163E1A185&sms=87415A8B9CE81B16&s=E791D57476A8C4D5,經濟弱勢原住民家庭，若購置房屋，有什麼補助?補助金額為?, 本會申請經濟弱勢原住民家庭建購補助補助金額：新臺幣30萬元整。申請方式：向本市12區公所原住民服務臺申請或經由網路本市大平臺線上申請。檢具文件：(1)申請人戶口名簿（需註記原住民身分）。但本府原民會得經由戶政相關系統查詢或已有相關資料足以證明者除外。(2)全戶最新各類歸戶清單及全國財產稅總歸戶財產清單。(3)建購房屋之建物登記謄本。(4)未獲政府其他住宅補助切結書。(5)住宅門牌及室內居住照片。(6)領據收據及申請人金融機構之活期存款帳戶封面影本。(7)申請書。聯絡電話:1999(外縣市02-27208889)轉分機2077單位：社會福利組聯絡人：陳先生 ,493,113-01-10 17:17,113-01-10 17:17,臺北市政府原住民族事務委員會
