Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2024-01-05 10:12:02,https://land.gov.taipei/News_Content.aspx?n=26F3F58329CF6BDE&sms=87415A8B9CE81B16&s=204D070EFC15904C,親人過世時，誰是繼承人？, 一、依照民法第1138條規定，遺產繼承人，除配偶外，依下列順序定之：（一）直系血親卑親屬（二）父母（三）兄弟姊妹（四）祖父母。第（一）順序之繼承人，以親等近者為先，配偶有相互繼承遺產之權，其應繼分則依同法第1144條定之。   二、「司法院釋字第七四八號解釋施行法」第23條規定，相同性別之二人，為經營共同生活之目的，成立具有親密性及排他性之永久結合關係者，雙方當事人有相互繼承之權利，互為法定繼承人，準用民法繼承編關於繼承人之規定。       ,68441,110-08-02 13:56,112-11-27 09:46,臺北市政府地政局土地登記科
2024-01-05 10:12:02,https://land.gov.taipei/News_Content.aspx?n=26F3F58329CF6BDE&sms=87415A8B9CE81B16&s=A3235049244AD858,未辦繼承登記不動產列冊管理之目的為何？期限多長？何時會移請國有財產署標售？標售所得價款之處理方式為何？, 一、列冊管理之目的，依土地法第73條之1之立法意旨乃是為督促繼承人儘速辦理繼承登記，以使地籍資料與實際相合，兼以保障繼承人法定取得之權益。逾期未辦理繼承登記而執行列冊管理，甚或移送國有財產署標售只是一種手段，係基於維護土地資源使地籍資料完整並促進土地合理利用及有關土地政策之推展。    二、列冊管理之期限，依土地法第73條之1第2項規定為15年，逾期仍未聲請登記者，由地政機關書面通知繼承人及將該土地或建築改良物清冊移請國有財產署公開標售。繼承人占有或第三人占有無合法使用權者，於標售後喪失其占有之權利；土地或建築改良物租賃期間超過5年者，於標售後以5年為限。    三、標售所得價款之處理方式，依土地法第73條之1第4項規定，標售所得之價款應於國庫設立專戶儲存，繼承人得依其法定應繼分領取。逾10年無繼承人申請提領該價款者，歸屬國庫。       ,60659,111-09-20 14:43,112-11-17 17:44,臺北市政府地政局土地登記科
2024-01-05 10:12:02,https://land.gov.taipei/News_Content.aspx?n=26F3F58329CF6BDE&sms=87415A8B9CE81B16&s=D3037B25B62944AC,被繼承人所遺之不動產，多久沒辦理繼承登記，才會被地政機關列冊管理？又被列冊管理是不是需要繳交費用？, 依土地法第73條之1規定，土地或建築改良物，自繼承開始之日起逾1年未辦理繼承登記者，經該管直轄市或縣市地政機關查明後，應即公告繼承人於3個月內聲請登記，並以書面通知繼承人；逾期仍未聲請者，得由地政機關予以列冊管理，但有不可歸責於聲請人之事由，其期間應予扣除。以前土地法規定，被政府代管的不動產，是要繳交代管費的，但是土地法第73條之1於民國89年1月26日修正公布後，由原來「代管」修正為「列冊管理」，而且不再收取列冊管理費用。又位於本市的不動產在土地法89年修正前已經被代管者，已執行代管之期間併入列冊管理期間計算，而且到現在還沒有辦理繼承登記者，也不用再繳交代管費用。  ,59763,111-09-20 14:48,112-11-17 17:44,臺北市政府地政局土地登記科
2024-01-05 10:12:03,https://land.gov.taipei/News_Content.aspx?n=26F3F58329CF6BDE&sms=87415A8B9CE81B16&s=4AC55209842AA155,地政機關列冊管理的不動產，會事先通知繼承人或公告週知嗎？公告期限為何？繼承人在法定期間內已申報遺產稅，因國稅局遲未核定，而地政事務所已通知催辦繼承登記及要列冊管理，該怎麼辦？已經被列冊管理的不動產還可申辦繼承登記嗎？, 一、 地政事務所接獲稅捐稽徵機關函送逾繼承原因發生日期1年之未辦繼承登記不動產歸戶資料（於每年12月底前送土地建物所在地之地政事務所）或地政機關因管理地籍、規定地價、補償地價等作業所發現或人民提供之土地權利人死亡資料，經核對地籍資料並使用戶役政系統查詢或函請戶政事務所協助查明，經查實後，於每年4月1日辦理公告，並通知繼承人於3個月內聲請繼承登記，逾期未聲請者，則予列冊管理，公告期間為3個月；已知繼承人及其住址者，同時以書面雙掛號通知繼承人。 二、 如繼承人已於法定期間內申報遺產稅，惟國稅局遲未核定，繼承人可檢附已向國稅局申報遺產稅的證明文件，並以書面敘明因不可歸責於繼承人之事由向地政事務所申請暫緩列冊管理。 三、 未辦繼承登記之不動產，在列冊管理15年期間內仍可隨時向地政事務所申辦繼承登記。  ,52537,110-02-05 10:00,112-11-17 17:47,臺北市政府地政局土地登記科
2024-01-05 10:12:03,https://land.gov.taipei/News_Content.aspx?n=26F3F58329CF6BDE&sms=87415A8B9CE81B16&s=C2FA10201DAC5E88,繼承登記如何辦理？應檢附那些文件?要到哪裡辦？可以郵寄申請嗎？或是一定要找地政士（代書）辦理？最遲應何時辦理？逾期辦理有無處罰規定？,    一、 辦理繼承登記時，應先向被繼承人戶籍所在地的國稅局申報遺產稅，繳清稅款後取得遺產稅繳納（免稅）或同意移轉證明書，並至不動產所在稅捐稽徵機關加蓋無欠繳稅費章戳後，檢附登記申請書、登記清冊、繼承系統表、載有被繼承人死亡記事之戶籍謄本、繼承人現在的戶籍謄本(但地政事務所能以電腦處理達成查詢者免附)、土地、建物所有權狀、遺產稅繳清（免稅）證明書或同意移轉證明書及其他相關證明文件，向不動產所在之地政事務所申辦(臺北市轄區之不動產繼承登記可向臺北市任一地政事務所申辦)；如有拋棄繼承者，並應加附拋棄書及印鑑證明(繼承開始在74.6.5以後，拋棄繼承應檢附法院准予備查之文件，免附印鑑證明)；如有協議分割繼承者，並應加附協議書正副本（正本需按不動產權利價值千分之一貼印花）及全部繼承人印鑑證明。申請人可以親自或委託他人辦理，但是不受理以郵寄方式申辦。   二、 上述登記申請書及登記清冊書表，可向本市各地政事務所服務台免費索取，或上市民服務大平臺下載，本市各地政事務所並印製繼承登記申請須知供民眾免費索取。   三、 地政士法已於90年10月24日公布並於91年4月24日起施行，以前所稱的「代書」，現在已改稱為「地政士」，但是必須要領有開業執照而且有加入地政士公會的地政士才可以執業。所以，如果因無法親自辦理繼承登記而需委託地政士辦理的話，一定要找有開業執照且有加入公會的地政士。想知道地政士是否領有開業執照及是否加入公會，可上本局網站服務園地中查詢服務項下的合法不動產服務業者查詢。   四、 繼承登記應於被繼承人死亡之日起6個月內辦理，但如有不可歸責於聲請人之事由者，其期間可予扣除（例如：向國稅局申報遺產稅，國稅局受理之期間）。聲請逾期者，每逾1個月得處應納登記費額1倍之罰鍰，最高可罰至登記費之20倍。       ,94484,110-08-02 14:03,112-11-17 17:47,臺北市政府地政局土地登記科
2024-01-05 10:12:03,https://land.gov.taipei/News_Content.aspx?n=26F3F58329CF6BDE&sms=87415A8B9CE81B16&s=A96A217CDF7B991B,已經被地政機關列冊管理的不動產，如果一直沒有辦理繼承登記的話，會怎麼樣？, 未辦繼承登記之不動產經地政機關列冊管理滿15年仍未辦理繼承登記者，則移送財政部國有財產署公開標售，標售所得價款儲存於專戶，繼承人得依法定應繼分領取，逾10年無繼承人申領該價款者，歸屬國庫。  ,50496,110-08-02 14:03,112-11-17 17:47,臺北市政府地政局土地登記科
2024-01-05 10:12:03,https://land.gov.taipei/News_Content.aspx?n=26F3F58329CF6BDE&sms=87415A8B9CE81B16&s=4DF804F29A383D24,未辦繼承登記不動產列冊管理之依據為何？有無被列冊管理要到哪裡查？是不是繳清遺產稅就不會被列冊管理？, 一、未辦繼承登記不動產辦理列冊管理作業係依據土地法第73條之1規定，土地或建物所有權人死亡後，繼承人超過1年沒有辦理繼承登記，經地政機關查明後，應公告繼承人於3個月內聲請登記，並以書面通知繼承人；逾期未聲請繼承登記者，得由地政機關予以列冊管理。但有不可歸責於聲請人之事由，其期間應予扣除。 二、本市各地政事務所於每年4月1日公告未辦繼承登記不動產資訊，請繼承人依限申請登記時，除通知繼承人外，公告期間都會將該年度之資料上網，所以每年4月1日至6月30日，都可以上本局及本市各地政事務所網站查詢。另外，在土地所在地登記機關布告欄、土地所在地鄉（鎮、市、區）公所布告欄、被繼承人原戶籍所在地鄉（鎮、市、區）公所布告欄及被繼承人原戶籍所在地村、里辦公處布告欄皆可查看該公告內容。至於非公告期間或非當年度之資料，可以上本局網站「未辦繼承土地及建物列冊管理情形查詢」系統查詢。 三、縱使已經繳清遺產稅，如果自繼承開始之日起逾1年仍未向地政事務所辦理繼承登記的話，還是會被列冊管理。  ,54568,111-09-20 14:46,112-11-17 17:47,臺北市政府地政局土地登記科
2024-01-05 10:12:03,https://land.gov.taipei/News_Content.aspx?n=26F3F58329CF6BDE&sms=87415A8B9CE81B16&s=58FD44070293254A,被繼承人生前所遺未辦理第一次登記之建物是不是也會被地政機關列冊管理？, 房屋如果沒有辦理建物所有權第一次登記（俗稱保存登記），或依法不得辦理登記的違章建築，由於地政機關無該標的物之登記，自無須辦理繼承登記，因此無從列冊管理。  ,48577,106-07-31 11:45,112-11-17 17:47,臺北市政府地政局土地登記科
2024-01-05 10:12:03,https://land.gov.taipei/News_Content.aspx?n=26F3F58329CF6BDE&sms=87415A8B9CE81B16&s=33D4280BE00B9A8F,如果繼承人因遺產分配始終無法達成協議或被繼承人之權狀尋覓不著或其他原因無法檢附，致擔憂該遺產可能被地政機關列冊管理，有無解決辦法？, 如果繼承人對於遺產分配一直無法達成協議或無法檢附被繼承人權狀，致遲未聲請繼承登記，擔憂被地政機關列冊管理或將來辦理繼承登記時需繳罰鍰，可先依土地登記規則第120條規定，由部分繼承人檢附辦理繼承登記應備文件及切結無法檢附被繼承人之所有權狀之事由，向地政事務所申請繼承登記為全體繼承人公同共有。該被繼承人之權狀，登記機關於登記完畢時將公告註銷，俟全體繼承人達成協議後，再向地政事務所申辦遺產分割登記事宜。繼承登記應檢附的文件您可以逕上市民服務大平臺查詢。  ,57769,108-11-14 17:13,112-11-17 17:47,臺北市政府地政局土地登記科
2024-01-05 10:12:04,https://land.gov.taipei/News_Content.aspx?n=8BF117349E1FE052&sms=87415A8B9CE81B16&s=FE187E26477F4A85,櫃員機可申領哪些種類之謄本？, 櫃員機可申領種類有土地與建物登記謄本(第一類謄本及第二類謄本)、地籍圖及建物測量成果圖。 ,1461,112-11-29 11:29,112-11-29 11:29,臺北市政府地政局土地登記科
