Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2024-01-11 15:43:06,https://hac.gov.taipei/News_Content.aspx?n=C30790AAB6E0D67D&sms=87415A8B9CE81B16&s=ED8F761814AE56D5,如何成為客委會的值班志工?申請資格是什麼?, 一、申請資格：需對客家文化充滿熱誠，願意學習客語，俾利於櫃檯服務期間能以客語回答來電或來賓之查詢問題。二、申請方式：須具備已完成志願服務基礎訓練（6小時）課程（於報名時檢附），並至客家會館向志工督導索取加入志工服務申請書，填妥個人資料並提供 1 吋照片(含電子檔)，待審核通過後，由本會製發志工服務證，即為本會正式志工夥伴。如有任何疑問，可洽詢研究發展組，聯絡電話：(02)2702-6141轉216。 ,3220,113-01-02 17:27,113-01-02 17:27,臺北市政府客家事務委員會
2024-01-11 15:43:08,https://hac.gov.taipei/News_Content.aspx?n=C30790AAB6E0D67D&sms=87415A8B9CE81B16&s=51A1F583D8283509,客委會志工的工作性質、內容及服務時間為何？, 一、志工的工作性質及內容：(一)經常性櫃檯執勤服務及至社區推廣客家文化體驗活動。(二)參與志工大會等活動，增進彼此情感與經驗分享。(三)參與志工教育訓練，加強提升客家志工專業能力，對客家文化與志願服務業務有更深入的了解，進而提供市民更優質的服務。(四)本會舉辦相關文化活動時，協助活動之進行。二、服務時間：周一至周五：9至12時、12至15時、15至18時共分三班。周六至周日：9至12時、12至15時共分二班。 如有任何疑問，可洽詢研究發展組，連絡電話：(02)27026141轉216。 ,3810,113-01-02 17:27,113-01-02 17:27,臺北市政府客家事務委員會
2024-01-11 15:43:10,https://hac.gov.taipei/News_Content.aspx?n=C30790AAB6E0D67D&sms=87415A8B9CE81B16&s=AD980E9CFFCBF976,客家各會館的地址及開放時間?, 客家文化會館地　　址：10658 臺北市大安區信義路三段 157 巷 11 號電　　話：02-27026141傳　　真：02-27026154開放時間：週一至週五 -- 每日早上 9 時至晚上 9 時。　　　　　週六至週日 -- 早上 9 時至下午 5時。　　　　　政府公告之放假日為休館日，不對外開放。  客家藝文活動中心地　　址：106 臺北市大安區新生南路一段 157 巷 19 號 3 樓電　　話：02-27093234傳       真：02-27094443開放時間：週一至週五 -- 每日早上 9 時至晚上 9 時。　　　　　週六至週日 -- 早上 9 時至下午 5時。　　　　   政府公告之放假日為休館日，不對外開放。  (臺北市客家文化題公園)臺北市客家文化中心地　　址：10087 臺北市中正區汀州路三段 2 號電　　話：02-23691198傳　　真：02-23697660開放時間：週一至週五 -- 每日早上 9 時至晚上 9 時。　　　　　週六至週日 -- 早上 9 時至下午 6時。　　　　　週一休館，適逢國定假日照常開放。  (臺北市客家文化題公園)臺北市客家音樂戲劇中心地　　址：10087 臺北市中正區汀州路三段 2 號電　　話：02-23691198傳　　真：02-23697660開放時間：週一至週五 -- 每日早上 9 時至晚上 9 時。　　　　　週六至週日 -- 早上 9 時至下午 6時。　　　　　週一休館，適逢國定假日照常開放。 臺北市客家圖書影音中心 (委託營運單位：財團法人台北市客家文化基金會)地　　址：10093 臺北市中正區羅斯福路一段 95 巷1 號電　　話：02-23973733傳　　真：02-23973755開放時間：週二-週六1000-2100　　　　　週一、日及政府公告之放假日為休館日，不對外開放。 ,3910,113-01-02 17:26,113-01-02 17:26,臺北市政府客家事務委員會
2024-01-11 15:43:12,https://hac.gov.taipei/News_Content.aspx?n=C30790AAB6E0D67D&sms=87415A8B9CE81B16&s=1F987025A735D400,如何申請「補助臺北市幼兒園辦理客語教學實施計畫」？, 壹、申請資格：本市經主管機關登記有案之公、私立幼兒園，且願意配合本府客家語言推廣政策，開辦客家語言、文化相關課程、活動者。貳、申請時間：每年年初於本會網站公告相關實施計畫。參、申請方式：一、網路申辦：各申請單位符合資格者請登入「 市民服務大平臺」進行線上申請->選擇申辦案件「客委會」->點選【補助臺北市幼兒園辦理客語教學實施計畫】->依步驟網路申辦。二、紙本申辦：各申請單位應於申請期限內可採掛號郵寄、親自、委託免備文逕送本會申辦；申辦須檢具申請書、園所基本資料（私立園所請檢附立案證明）、授課內容時程表、師資證明、學員名冊及計畫書。三、計畫書內容應包含計畫名稱、目標、教案設計、課程時間表、預期效益，計畫書請用A4紙張直式橫書繕打。四、各單位申請計畫書內應詳列全部經費內容及向本會申請經費之項目及金額，同時間若有申請其他政府機關補助或委託類似計畫者，應列明申請各該機關補助或委託項目及金額。五、表件不全者，本會得請申請單位限期補正一次，未於規定期限內補正者，本會得不予受理。肆、其他補助內容及規定詳見「補助臺北市幼兒園辦理客語教學實施計畫」；如有任何疑問，可洽詢文教推廣組，聯絡電話：(02)2702-6141轉228。 ,5742,112-12-28 14:43,112-12-28 14:43,臺北市政府客家事務委員會
2024-01-11 15:43:15,https://hac.gov.taipei/News_Content.aspx?n=C30790AAB6E0D67D&sms=87415A8B9CE81B16&s=C78D63C974A582A2,如何申請「本市優異客家藝文團體推廣客家文化計畫」補助？, 一、申請資格：於本市立案之非營利法人或非法人團體，或立案地址在本市之全國性組織。二、申請時間：每年年初於本會網站公告相關實施計畫。三、申請方式：(一)各申請單位應於申請期限內於市民服務大平臺以線上申辦方式申請。(二)計畫書應明確陳述申請案之計畫特色，須含計畫名稱、目的、計畫日期（起迄時間）、計畫辦理地點、經費來源及明細、計畫內容（包含節目或活動流程）、實施方法、其他(如過去辦理活動照片、成果說明等)。計畫書請用A4紙張直式橫書繕打。(三)各單位申請計畫書內應詳列全部經費內容及向本會申請經費之項目及金額，團體自籌經費須符合所提計畫經費50%(含)以上，若有申請其他政府機關補助或委託類似計畫者，應列明申請各該機關補助或委託項目及金額。(四)表件不全者，本會得請申請單位限期補正一次，未於規定期限內補正者，本會得不予受理。四、其他補助內容及規定詳見「補助優異客家藝文團體推廣客家文化計畫」；如有任何疑問，可洽詢文教推廣組，聯絡電話：(02)2702-6141轉225。  ,4775,112-12-28 14:35,112-12-28 14:35,臺北市政府客家事務委員會
2024-01-11 15:43:17,https://hac.gov.taipei/News_Content.aspx?n=C30790AAB6E0D67D&sms=87415A8B9CE81B16&s=EEFCB797015F8FD0,何謂「臺北客家義民嘉年華」？, 本會融合「傳統」與「創新」，每年邀請全臺各地義民爺集結臺北，以慶典形式辦理「臺北客家義民嘉年華」活動，希望鼓勵客家鄉親積極投入，活化民間參與，並以移民節慶觀點導入，提高多元族群參與，開創都會型客家慶典典範。活動主要透過「祭典」、「遊行」、「展演」及「市集」四大核心活動下，型塑都會客家慶典新樣貌呈現客家文化價值，並強化下列4項重點：1.擴大並活化民間參與，強化民間辦理的主體。以公私協力與異業結盟方式，增進鄰里互動。2.增進臺北客家文化的活力與創意，吸引跨世代及跨族群的參與。3.透過「在地化」、「產業化」、「國際化」以及「年輕化」等多角化籌劃，深刻呈現客家多元面貌。4.塑造本活動成為臺北市重要移民節慶，提高客家文化的能見度，探觸下一個客家，打造深具客家特色的城市藝術節。 ,885,112-12-26 11:27,112-12-26 11:27,臺北市政府客家事務委員會
2024-01-11 15:43:19,https://hac.gov.taipei/News_Content.aspx?n=C30790AAB6E0D67D&sms=87415A8B9CE81B16&s=5EE5EFD447B23717,如何申請「本市國中、小學推行客家語傳承及文化推廣活動」補助？, 一、申請資格：本市各公私立國中、小學，且願意配合本府客家語言推廣政策，開辦客家語言、文化相關課程、活動者。二、申請時間：每年年初於本會網站公告相關實施計畫，也會發函檢送計畫內容至本市各國中、小學，歡迎各校提出申請。三、申請方式：採網路申辦，請於申請期限內上「市民服務大平臺」提出線上申請。「臺北市民服務大平臺」補助臺北市國中小學推行客家語傳承及文化推廣計畫： 請點選：申請連結。四、其他補助內容及規定詳見「補助本市國中小學推行客家語傳承及文化推廣活動計畫」；如有任何疑問，可洽詢文教推廣組，聯絡電話：(02)2702-6141轉222。 ,5840,112-12-26 11:17,112-12-26 11:17,臺北市政府客家事務委員會
2024-01-11 15:43:22,https://hac.gov.taipei/News_Content.aspx?n=C30790AAB6E0D67D&sms=87415A8B9CE81B16&s=99B107480D6C702B,如何閱覽客家文化季刊？, 配合本府無紙化政策，本會出版之客家文化季刊改以電子化形式發行，預計於每年4月、7月、9月及12月出版。民眾可於本會網站「客家文化季刊」項目下，下載閱覽當期季刊。如有任何疑問，可洽詢文教推廣組，聯絡電話：(02)2702-6141轉222。 ,670,112-12-26 11:16,112-12-26 11:16,臺北市政府客家事務委員會
2024-01-11 15:43:24,https://hac.gov.taipei/News_Content.aspx?n=C30790AAB6E0D67D&sms=87415A8B9CE81B16&s=1441BFFD484ACAC3,如何申請「臺北市市民或立案臺北市客家團體辦理客家文化語言相關研習計畫」補助？, 壹、申請資格：一、個人：年滿20歲，具行為能力且設籍於本市之市民。二、團體：於本市立案之非營利法人或非法人客家團體，或立案地址在本市之全國性客家組織。貳、申請時間：每年年初於本會網站公告相關計畫。參、申請方式：一、網路申辦：各申請單位請至「市民服務大平臺」->點選「補助臺北市市民或立案臺北市客家團體辦理客家文化語言相關研習計畫」->依照申請步驟完成申請。二、紙本申辦：(一)符合資格之個人請檢附身分證、申請書、師資聘書、研習課程計畫書及其他申請資料各一份（電子檔請一併送交本會），於本會規定期限內提出申請，逾期不予受理。(二)申請者如係客家團體，除應檢附團體立案或登記證明、負責人當選證書或相關證明文件、組織章程及社團基本資料外，其他申請表件及程序同前項個人之規定（電子檔請一併送交本會）。三、計畫書內容應包括計畫名稱、目的、日期、地點、研習內容、實施方法、時程表、課程一覽表（需註明內、外聘師資授課日期）、學員名冊、經費來源、經費明細表、預期效益等。計畫書請用A4紙張直式橫書繕打。四、應詳列全部經費內容及向本會申請經費之項目及金額，若有申請其他政府機關補助或委託類似計畫者，應列明申請各該機關補助或委託項目及金額。五、表件不全者，本會得請申請者限期補正一次，未於規定期限內補正者，本會得不予受理。肆、其他補助內容及規定詳見「補助臺北市市民或立案臺北市客家團體辦理客家文化語言相關研習計畫」；如有任何疑問，可洽詢文教推廣組，聯絡電話：(02)2702-6141轉221。 ,5874,112-12-26 10:57,112-12-26 10:57,臺北市政府客家事務委員會
2024-01-11 15:43:26,https://hac.gov.taipei/News_Content.aspx?n=C30790AAB6E0D67D&sms=87415A8B9CE81B16&s=983EC144C58C50FD,臺北市客家圖書影音中心開放借閱時間？, 週二-週六1000-2100週一、日及政府公告之休假日為休館日，不對外開放。申請借閱證及借還書在閉館前1小時停止受理。地　　址：臺北市中正區羅斯福路一段95巷1號電　　話： 02-23973733分機10、11除了館藏及場地租借外，如有其他問題，可洽詢臺北市政府客家事務委員會研究發展組，聯絡電話：(02)2702-6141轉217。 ,3070,112-12-26 10:10,112-12-26 10:10,臺北市政府客家事務委員會
