Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2023-12-15 18:00:09,https://pwd.gov.taipei/News_Content.aspx?n=A5517D0D050295AE&sms=87415A8B9CE81B16&s=20F35971F1DC5323,申請人如何得知獎勵案受理事宜？獎勵金如何核發？, A：每年度由臺北市政府工務局張貼公告受理申請時間、受理申請機關及適用範圍，並於工務局或其所屬工程處網站公告。獎勵金核發基準如下：景觀作物成活率達百分之五十以上者，按核定種植面積每一公頃核發新臺幣12萬元獎勵金。景觀作物成活率未達百分之五十者，按核定種植面積每一公頃核發十萬五千元獎勵金。核定種植面積未達一公頃部分，按前二款規定依比例核發。 ,174,111-10-07 08:04,112-12-01 15:54,臺北市政府工務局公園科
2023-12-15 18:00:10,https://pwd.gov.taipei/News_Content.aspx?n=A5517D0D050295AE&sms=87415A8B9CE81B16&s=ADF80DBA483935EF,如何申請「市區道路架空管線設置許可」?, A： 1.經由網路申辦：進入臺北市道路挖掘管理系統（https://dig.taipei/Tpdig/）輸入相關資料。 2.備妥下列申請書表，並上傳至系統，完成申請： （1）申請書 （2）設計圖說。 （3）非管線機關（構）者，應檢附相關目的事業主管機關同意設置文件。 （4）管線機關（構）為有線電視業者或設置公眾電信網路者，應檢附國家通訊傳播委員會核發之籌設許可、經營許可或設置核准證明文件。 （5）申請附掛於既設豎桿或設施物者，應檢附該既設豎桿或設施物之所有權人（或管理人）之同意使用證明文件。  ＜備註＞如無法由網路申辦時，或需更詳細資料，請洽臺北市政府工務局道路挖掘管理中心，電話：02-89788900轉8217。 ,155,111-03-03 11:24,112-12-01 15:55,臺北市政府工務局道路挖掘管理中心
2023-12-15 18:00:10,https://pwd.gov.taipei/News_Content.aspx?n=A5517D0D050295AE&sms=87415A8B9CE81B16&s=155DC2366D703ABE,「臺北市舉辦公共工程拆遷補償自治條例」對於限期將建築物騰空點交有何獎勵？, A：依「臺北市舉辦公共工程拆遷補償自治條例」第11條第1項：「建築物所有權人於限期內將建築物騰空點交予主管機關者，發給拆遷補償費或拆遷處理費60％之獎勵金。逾期騰空點交者，不發給獎勵金。」。 ,177,110-09-07 07:39,112-12-01 15:54,臺北市政府工務局公園科
2023-12-15 18:00:10,https://pwd.gov.taipei/News_Content.aspx?n=A5517D0D050295AE&sms=87415A8B9CE81B16&s=299CF8FC04B0CD2B,臺北市政府土壤液化諮詢專線服務, A：1. 工務局服務電話：若您有土壤液化或圖資使用等相關問題，則可洽詢工務局土木建築科 (1999轉6792或6791)。2. 建管處服務電話：若您有危老重建或建築管理相關問題，則可洽詢建管處使用科 (1999轉8399、8363) 及建照科(1999轉8372)。3. 都更整維服務電話：若您有都更整維相關問題，則可洽詢都市更新處更新工程科 (2781-5696轉3159)及更新企劃科(2781-5696轉3041)。 ,180,112-07-05 15:30,112-12-01 15:52,臺北市政府工務局土木建築科
2023-12-15 18:00:10,https://pwd.gov.taipei/News_Content.aspx?n=A5517D0D050295AE&sms=87415A8B9CE81B16&s=D4713235878D149E,送發包中心代辦的速度會較慢?, 發包中心採事前防範、源頭管制之作法，於採購前先行辦理招標文件重點監督審查，確保招、審、決標程序之適法，並落實執行本府重大採購政策及採購稽核重點，以減少過去分散式採購常見之共通性缺失，避免採購過程爭議，且審查作業期程皆能符合發包中心內控時效管制原則，效率與品質兼顧，營造本府更為公開、公正、公平之三公採購環境。 ,159,110-12-17 10:01,112-12-01 15:56,臺北市政府工務局聯合採購發包中心
2023-12-15 18:00:10,https://pwd.gov.taipei/News_Content.aspx?n=A5517D0D050295AE&sms=87415A8B9CE81B16&s=0D5E0C476870537E,查詢臺北市道路挖掘施工相關資訊, A：進入臺北市道路挖掘管理系統（https://dig.taipei/Tpdig/）--- 臺北市道路即時施工資訊，或洽臺北市政府工務局道路挖掘管理中心各項業務承辦人員： 即時施工資訊： 02 89788900 轉 8015 、 8016 、 8017 。 其他綜合項目： 02 89788900 轉 8201 。 ,1174,111-08-04 10:00,112-12-01 15:55,臺北市政府工務局道路挖掘管理中心
2023-12-15 18:00:10,https://pwd.gov.taipei/News_Content.aspx?n=A5517D0D050295AE&sms=87415A8B9CE81B16&s=6BC07A3BECEF7401,道路挖掘管理系統操作問題, A：請洽臺北市政府工務局道路挖掘管理中心各項業務承辦人員：收費相關：02-89788900轉8203孔蓋相關：02-89788900轉8219圖資相關：02-89788900轉8210人員證照相關：02-89788900轉8206其他綜合項目：02-89788900轉8205、8227 ,160,112-04-11 07:48,112-12-01 15:55,臺北市政府工務局道路挖掘管理中心
2023-12-15 18:00:11,https://pwd.gov.taipei/News_Content.aspx?n=A5517D0D050295AE&sms=87415A8B9CE81B16&s=C5A2C56C0D789688,道路挖掘案件處理情形, A：進入臺北市道路挖掘管理系統（https://dig.taipei/Tpdig/）--- 申挖案件查詢。詢問轄區承辦員：士林： 02-89788900轉8232信義： 02-89788900轉8220文山： 02-89788900轉8235南港： 02-89788900轉8230松山： 02-89788900轉8250中正： 02-89788900轉8236中山： 02-89788900轉8237大安： 02-89788900轉8238北投： 02-89788900轉8256萬華： 02-89788900轉8262內湖： 02-89788900轉8257大同： 02-89788900轉8231其他綜合項目：02 89788900 轉 8253 、 8240 ,177,112-11-10 13:45,112-12-01 15:55,臺北市政府工務局道路挖掘管理中心
2023-12-15 18:00:11,https://pwd.gov.taipei/News_Content.aspx?n=A5517D0D050295AE&sms=87415A8B9CE81B16&s=C76EE6B076EF56A7,如何申請「管線申挖證明」?, A：請至臺北市道路挖掘管理系統（https://dig.taipei/Tpdig/）申請建築公設專用帳號及密碼，並提出線上申請：新建房屋用戶管線申請書、切結書各1份(須蓋印起造人印章)建築執照影印本1份。無需挖埋之管線除瓦斯之外需檢附該管線之免挖證明1份。＜備註＞如需更詳細資料，請洽臺北市政府工務局道路挖掘管理中心各轄區承辦員：士林： 02-89788900轉8232信義： 02-89788900轉8220文山： 02-89788900轉8235南港： 02-89788900轉8230松山： 02-89788900轉8250中正： 02-89788900轉8236中山： 02-89788900轉8237大安： 02-89788900轉8238北投： 02-89788900轉8256萬華： 02-89788900轉8262內湖： 02-89788900轉8257大同： 02-89788900轉8231其他綜合項目：02 89788900 轉 8253 、 8240 ,190,112-11-10 13:45,112-12-01 15:55,臺北市政府工務局道路挖掘管理中心
2023-12-15 18:00:11,https://pwd.gov.taipei/News_Content.aspx?n=A5517D0D050295AE&sms=87415A8B9CE81B16&s=5FA18C24A02C59FB,如何申請「道路挖掘許可」?, A：1.經由網路申辦：進入臺北市道路挖掘管理系統（https://dig.taipei/Tpdig/）輸入相關資料。2.備妥下列申請書表，並上傳至系統，完成申請：(1)申請書（蓋印公司大、小章）(2)管線埋設橫斷面圖(3)1/1000平面位置圖(4)施工計畫書（蓋印公司大、小章）(5)設計圖(6)施工前照片（45天內，含挖掘地點背景之前、後二個方向的照片，並於照片上以紅線標示挖掘路徑）(7)營建空污費繳款書或環保局核備函證明文件（介接環保局系統驗證）(8)環保局審查通過使用焚化再生粒料之證明文件（介接環保局系統驗證）(9)會勘核准函（設置斜坡道者須檢附1份）(10)經交通主管機關核備之交通維持計畫（挖掘主、次要幹道及橫越道路挖掘者須檢附1份）(11)夜間施工噪音防制設施說明書（申請時段為夜間、日夜間施工者須檢附1份） ＜備註＞如無法由網路申辦或需更詳細資料，請洽臺北市政府工務局道路挖掘管理中心各轄區承辦員：士林： 02-89788900轉8232信義： 02-89788900轉8220文山： 02-89788900轉8235南港： 02-89788900轉8230松山： 02-89788900轉8250中正： 02-89788900轉8236中山： 02-89788900轉8237大安： 02-89788900轉8238北投： 02-89788900轉8256萬華： 02-89788900轉8262內湖： 02-89788900轉8257大同： 02-89788900轉8231其他綜合項目：02 89788900 轉 8253 、 8240 ,327,112-12-07 14:24,112-12-07 14:24,臺北市政府工務局道路挖掘管理中心
