Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2023-12-17 21:24:56,https://www.metro.taipei/News_Content.aspx?n=566DA580861CEE77&sms=87415A8B9CE81B16&s=64026F3DEFE508F8,持悠遊卡通過驗票閘門，產生之提示音及燈號代表意義為何？, 捷運及貓空纜車驗票閘門：普通卡、學生卡、優待卡：「噹」1聲的鋼琴聲，無燈號顯示。敬老卡：「噹」1聲的鋼琴聲，閘門上方燈號顯示橘燈、下方指示燈號閃橘燈。愛心卡、愛心陪伴卡(須跟隨於愛心卡後方接續刷票使用)：「噹」1聲的鋼琴聲，閘門下方指示燈號閃橘燈。臺北市國小數位學生證、臺北市兒童優惠卡、新北兒童卡：「噹」1聲的鋼琴聲，閘門上方燈號顯示橘燈、下方指示燈號閃橘燈。電子票卡異常：「叮叮」2聲高音的鋼琴聲，閘門上方燈號顯示紅燈。餘額低於100元：「噹啷～噹噹」滑音+2聲的鋼琴聲，提醒旅客加值，無燈號顯示。 ,30864,112-12-11 10:04,112-12-11 10:04,臺北大眾捷運股份有限公司
2023-12-17 21:24:59,https://www.metro.taipei/News_Content.aspx?n=566DA580861CEE77&sms=87415A8B9CE81B16&s=0E0797EDFE366DA7,捷運公司所管轄之捷運地下街位置及店鋪營運時間？, 本公司轄管二地下街，中山地下街及東區地下街。中山地下街:位於捷運淡水線上，自臺北車站經中山站至雙連站，長約815公尺，店鋪營業時間上午11:00至晚間22:00（書街：上午11:00至晚間21:30）。東區地下街:位於捷運板南線上，忠孝復興站與忠孝敦化站間，長約725公尺，店鋪營業時間上午11:00至晚間22:00（書店：上午11:00至晚間21:30） 。西門地下街:位於捷運板南線上，與板南線、松山新店線轉乘之西門站聯通，長約215公尺，店鋪營業時間上午7:00至晚上22:00。  ,22535,112-12-08 17:53,112-12-08 17:53,臺北大眾捷運股份有限公司
2023-12-17 21:24:59,https://www.metro.taipei/News_Content.aspx?n=566DA580861CEE77&sms=87415A8B9CE81B16&s=4878D2C91C044C0A,旅客攜帶隨身物品及行李限制規定為何？, 旅客隨身攜帶行李及物品，除本公司另有公告外，應符合下列規定： （一）不得妨礙其他旅客，並應自行保管及照料。（二）任一件最長邊不得超過165公分，且長、寬、高之和不得超過220公分。但輪椅、代步車、嬰兒車、自行車、衝浪板、寵物車、低音提琴及其他經本公司公告物品，不在此限。（三）旅客隨身攜帶氣球者，其數量不得超過5個，且任一個最長邊不得超過50公分。（四）不得攜帶或乘坐車輛、代步車、電動車及其他類似動力機具。但領有身心障礙證明（手冊）或其他經本公司許可之旅客，可使用坐乘式輪椅或代步車等行動輔具於車站內緩速通行。（五）旅客攜帶自行車者，僅可牽行不可騎乘或滑乘，並依「臺北捷運公司開放旅客攜帶自行車搭乘捷運應行注意事項」辦理。另經摺疊或拆卸完成且妥善包裝可攜帶進站。（六）非捷運系統之人員於車站、車廂內不得攜帶、使用手推車或其他類似器具。但符合一般旅客隨身攜帶行李及物品尺寸規範，並經本公司許可者，不在此限。（七）旅客隨身攜帶衝浪板者，其最長邊不得超過180公分，尾舵、腳繩等附掛物，應自行拆卸、收好。衝浪板最長邊165公分以上180公分以下者，僅限假日時段攜帶進入車站，搭乘列車第一節或最後一節車廂，不得使用電扶梯。（八）旅客攜帶低音提琴者，需妥善包裝，並依「臺北捷運公司開放旅客攜帶低音提琴搭乘捷運應行注意事項」辦理。（九）旅客攜帶寵物車應依「臺北捷運公司開放旅客攜帶寵物車搭乘捷運應行注意事項」辦理。 ,5092,112-11-28 10:47,112-11-28 10:47,臺北大眾捷運股份有限公司
2023-12-17 21:25:01,https://www.metro.taipei/News_Content.aspx?n=566DA580861CEE77&sms=87415A8B9CE81B16&s=852BC9743818C50D,旅客攜帶小動物限制規定為何？, 一、攜帶動物進入車站或車輛內，除本公司另有公告外，應將動物裝於寵物箱、小籠或小容器內，且包裝完固，無糞便、液體漏出之虞，動物之頭、尾及四肢均不得露出，每1位購票旅客以攜帶1件為限，並依「臺北捷運公司開放旅客攜帶寵物車搭乘捷運應行注意事項」辦理。但警察人員攜帶之警犬，視覺、聽覺、肢體功能障礙者由合格導盲犬、導聾犬、肢體輔助犬陪同或導盲犬、導聾犬、肢體輔助犬專業訓練人員於執行訓練時帶同幼犬，不在此限。前項允許攜帶之動物，本公司得因應營運需要，另行公告調整之。二、禁止旅客攜帶鳥禽（如經濟動物雞、鴨、鵝、鵪鶉及鴕鳥等），惟小型寵物鳥不在此限。三、旅客攜帶寵物車應依「臺北捷運公司開放旅客攜帶寵物車搭乘捷運應行注意事項」辦理：（一）中、小型寵物車（本體尺寸長、寬、高之和 175 公分以下）：平、假日營運時段，旅客得經由全系統各車站進出站及搭乘捷運，不需另行購買。（二）大型寵物車（本體尺寸長、寬、高之和介於 176 公分至 220 公 分）：假日全日，以及平日10:00~16:00，22:00至營運結束，除下列車站外，其他車站均開放大型寵物車進出及轉乘：文湖線各車站、台北車站、忠孝新生站、忠孝復興站、南京復興站、大安站，進站時須至車站詢問處購買「攜帶寵物車單程票」（人車合一、不限里程，每張新臺幣 80 元），依服務人員引導經由公務門進出付費區。 ,1966,112-11-28 10:43,112-11-28 10:43,臺北大眾捷運股份有限公司
2023-12-17 21:25:01,https://www.metro.taipei/News_Content.aspx?n=566DA580861CEE77&sms=87415A8B9CE81B16&s=69B77838D3916DFE,捷運車站是否有置物櫃？, 本公司目前於捷運淡水站外、西門站、中山站、劍潭站及臺北101/世貿站等27個車站、中山及東區地下街，共計32處設有置物櫃，詳細設置位置、收費標準及數量等資訊，請至本公司官網(旅客服務>置物櫃服務)下查看。   ,272036,112-11-13 11:23,112-11-13 11:23,臺北大眾捷運股份有限公司
2023-12-17 21:25:01,https://www.metro.taipei/News_Content.aspx?n=566DA580861CEE77&sms=87415A8B9CE81B16&s=5AD005EAAA446E94,板橋站自助桌球場民眾常見問答, 營運模式及場地介紹：Q1：板橋站自助桌球場營運時間？A1：每日上午8時至晚上22時。 Q2:現場有幾張球桌?A2:目前提供10張球桌供民眾租借使用。 Q3：板橋站自助桌球場設置地點？A3：位於捷運板橋站B1通道層，鄰近板橋站1、2號出口。 Q4: 前往板橋站自助桌球場的交通方式?A4: 1.搭乘捷運：-板南線板橋站出站約2分鐘至B1通道層。-環狀線板橋站步行約8~10分鐘至板南線板橋站B1通道層。2.搭乘臺鐵/高鐵：出站後沿板南線指標5~7分鐘至Ｂ1通道層。3.自行開車：新北市板橋區站前路5號B1。 Q5: 板橋站自助桌球場有哪些設備?A5: 現場附設飲水機、簡易更衣室、AED(自動體外心臟電擊去顫器)，置物架、長條椅、中運量車廂座椅。詢問處另有提供簡易醫療用品、通道層靠近3A出口處有付費置物櫃。 Q6: 板橋自助桌球場可以飲食嗎?A6: 該場地位於捷運板橋站B1通道層，已在捷運大廳層劃設的禁食區之外，為維護場地內環境，請勿在圍布架區域內飲食，如有飲食需求者建議於飲水機附近休息區域食用，並請共同保持環境清潔衛生。 收費方式及使用說明：Q1：板橋站自助桌球場收費標準？A1：1.「現場購票」：每桌每小時200元。2.「線上預約」：優惠每桌每小時100元。.3.憑身心障礙手冊正本現場購票可享1小時免費，單日上限1小時。4.年滿65歲以上之長者，現場購票可享優惠1小時100元，單日上限1小時。 Q2: 板橋站自助桌球場申請使用方式？Q2：一般顧客可透過「北投會館」官網或「台北捷運GO」APP線上預約次日起算14日內時段。並可至捷運板橋站簡易詢問處付費使用當日時段。2.持愛心票顧客可持身心障礙手冊，至捷運板橋站簡易詢問處現場購票或預約次日起算14日內時段，單日享1桌1小時免費優惠。 Q3: 我已經預約場地，但臨時有事情想取消可以嗎?A3: 線上預約者，如欲取消場地，應於使用當日之「前2日之前」在線上取消場地預約，預計7-14天將於原付款之信用卡內刷退款(依照銀行作業時程)，如有逾期可於上班時間週一至週五（國定假日及勞動節除外）上午9點至下午5點，電洽02-28930105#8317確認。Q4: 我預約了場地，現場需要到櫃檯報到嗎?A4: 本場館採自助場地，預約民眾抵達球場後，依現場球桌編號找到預約的桌次，使用前請將桌上宣導立牌妥善放置球桌下方，另每桌的獨立照明開關位於圓柱牆上，使用完畢請協助將設備復歸，感謝您的配合。 Q5: 有球具租借服務嗎?A5: 無租借服務，民眾需自行準備球具。 Q6: 是否可在板橋桌球場進行私人教學訓練?A6: 未經本公司核准，禁止進行教學或訓練等行為。 Q7: 其他使用注意事項?A7: 1.於公共場所請注意可疑陌生人，並顧好隨身物品以避免遺失或遭竊。2.桌下備有桌面清理專用抹布，請自行取用以保持桌面乾燥。3.另有擦拭地板專用抹布，請小心地面濕滑，如有水滴請擦拭乾淨，以避免滑倒。 長租及活動申請Q1：請問如何長期租借板橋桌球場地？A1：有關長期租用的方案說明如下:1.條件:需租借三個月(含)以上，每週至少一次，且需為固定時段及桌次。2.優惠:享72折優惠。3.申請方式:請於上班時間週一至週五（國定假日及勞動節除外）上午9點至下午5點，電洽02-28924426或02-28930105分機8317由專人服務。 Q2: 可否在桌球場辦理比賽或包場活動?A2: 本場館歡迎民眾舉辦桌球比賽及包場活動，申請方式請於上班時間週一至週五（國定假日及勞動節除外）上午9點至下午5點，電洽02-28924426或02-28930105分機8317由專人為您服務。 Q3: 如果想在板橋桌球場辦理比賽或包場活動，現場有提供輔助設備嗎?A3: 本場館提供桌球活動相關道具，例如:裁判椅、計分牌、白板、摺疊桌、輕便椅、擴音設備、液晶顯示器(需自備筆電)等…請於申請活動場地時提出借用需求及數量，俾利本公司準備作業。 其他：Q1: 是否有完整的自助球場使用規定?A1: 現場已有公告桌球場使用須知之外，於北投會館官網亦有刊載https://btresort.metro.taipei/cp.aspx?n=3D48D9F6101386D1 Q2: 有關板橋站自助桌球場相關問題，是否有諮詢電話?A2: 捷運板橋站自助桌球場諮詢專線1. 02-28924426或02-28930105分機8317。2.服務時間為週一至週五（國定假日及勞動節除外）上午9點至下午5點。 Q3: 忘記帶走的遺失物，如何協尋?A3: 現場工作人員如發現遺留物品，將循遺失物處理程序送交板橋車站詢問處登記，後續若無人認領，將送至位於中山地下街的遺失物中心集中處理。屆時可至https://chatweb.metro.taipei/ 智能客服系統進行登錄與協尋。 Q4: 桌球不小心卡在天花板，有何方式處理返還?A4: 如發生前述狀況，請洽車站詢問處登記發生時間、桌次、位置、球的特徵(顏色、廠牌或記號..)並留下聯絡方式，工作人員將不定期協助尋找，並聯繫民眾於二週內回到車站領取，逾期則由現場逕為處理。 ,1482,112-10-30 17:08,112-11-03 11:16,臺北大眾捷運股份有限公司
2023-12-17 21:25:04,https://www.metro.taipei/News_Content.aspx?n=566DA580861CEE77&sms=87415A8B9CE81B16&s=4711C40F872B6CF0,北投會館常見問答, Q1：請問如何能夠使用北投會館的運動設施？A1：民眾自由選擇加入北投會館會員後，使用運動設施可依會員優惠身分享有購票優惠；未加入會員者，可以原價購票使用運動設施。 Q2：請問加入會員享有什麼優惠？A2：本會館會員使用本會館運動設施，可享66折至8折優惠。 Q3：請問如何加入會員？A3：1.配合市府「臺北市政府單一識別服務作業要點」規定，需先開通臺北市政府『單一識別系統』並申請台北捷運GO APP才能申請加入北投會館會員。2.民眾應填妥「臺北市政府台北通服務申請表(內含「臺北市政府單一識別服務個人資料蒐集、處理及利用同意書」及「北投會館會員證申請表」)，相關表單可至北投會館官網下載或現場索取。3.申請時應填妥上述表單，透過臺北市政府「市民服務大平臺」或親至本會館健身房櫃臺辦理；首次使用時請配合現場拍攝半身照留存並攜帶個人身分證明文件，如符合優待票、特惠票、職工票會員身分者，應再檢附符合前述身分之證明。  Q4： 請問如何長期租借運動設施？A4：1.本會館籃球場、羽球場可長期租借，租借期以「季」為單位，場地租用以每週1面1時段(2小時)為原則。2.每年第4季(以北投會館官網公告為準)辦理翌年「長期租用抽籤」作業，確認翌年長租團體，取得第1季租用權利者，享有該年度接續租用第2季至第4季優先租用權(限當年度有效，中間任一季停租則取消優先租用權)。3.洽詢場地使用狀況，請於上班時間週一至週五（國定假日及勞動節除外）上午9點至下午5點，電洽02-28924426，確認使用時間及場地後，填具「北投會館籃羽球場長期租用申請表」，透過臺北市政府〔市民服務大平臺〕向本公司提出申請。  Q5：請問如何租借教室或捷之旅？A5：1.一般顧客可透過捷之旅訂房網站https://btresort.ezhotel.com.tw/。2.團體洽詢場地使用狀況、租用訓練教室及捷之旅，請於上班時間週一至週五（國定假日及勞動節除外）上午9點至下午5點，電洽02-28930105轉8342，確認使用時間及場地後，填具「北投會館場地租用申請表」，透過臺北市政府〔市民服務大平臺〕向本公司提出申請。  Q6：請問北投會館是否可以停車？A6：1.本會館位於捷運北投機廠，附設有收費停車場，汽、機車均採車牌辨識入場，汽車及紅黃牌重型機車於離場前可至自動繳費機採現金或悠遊卡繳費，另持悠遊卡顧客亦可直接至出場柵欄前感應扣款，一般機車則暫不收費。2.汽車及紅黃牌重型機車停車費以次計費，每次40元，隔日另計；夜間00時至05時以小時計費，每小時20元/時。 ,1136,112-10-30 14:45,112-11-03 11:16,臺北大眾捷運股份有限公司
2023-12-17 21:25:04,https://www.metro.taipei/News_Content.aspx?n=566DA580861CEE77&sms=87415A8B9CE81B16&s=41B78C4788395C41,臺北市及新北市之敬老卡、愛心卡、愛心陪伴卡搭乘臺北捷運、新北輕軌(淡海輕軌及安坑輕軌)及臺北地區聯營公車等運具之扣點/扣款方式為何？, 1.設籍臺北市：(1)敬老卡及具敬老身分之愛心卡：每月享有480點(每點折算1元)，點數可使用於臺北捷運、新北捷運(輕軌及環狀線)、貓空纜車、臺北地區聯營公車及於臺北市境內租借YouBike(並於雙北市還車)，依1點1元方式扣款。(2)愛心卡：每月享有480點(每點折算1元)，點數僅能使用於臺北捷運、新北捷運(輕軌及環狀線)、貓空纜車、臺北地區聯營公車及於臺北市境內租借YouBike(並於雙北市還車)，依1點1元方式扣款。2.設籍新北市：敬老卡及愛心卡：每月享有480點(每點折算1元)，點數可於臺北捷運、新北捷運(輕軌及環狀線)及臺北地區聯營公車使用(無法使用於貓空纜車及租借YouBike)，依1點1元方式扣款。3.以上所提供之點數不能累計至次月，每月均重新自動計算，不必至固定地點申請，如點數用完或點數無法於限定運具使用時，請將悠遊卡加值，搭乘臺北捷運及新北捷運(輕軌及環狀線)享有單程票車資4折優惠(不限次數)、搭乘公車享有半價優待(不限次數)。4.持臺北市敬老卡、愛心卡及新北市敬老卡、具敬老身分之愛心卡，搭乘臺北捷運及新北捷運環狀線可優先以點數扣抵車資(不含逾時費用)，若持卡人於捷運系統內超過停留時間限制，將由電子錢包扣逾時費用20元，無法以點數扣抵。5.點數使用以1點1元方式扣款，若剩餘點數不足夠支付當趟車資，則該車資全額會改以扣票卡電子錢包之方式處理。6.愛心陪伴卡無提供點數，使用時須緊接愛心卡之後感應始可享有相同優惠，若單獨使用則以普通卡票價計。7.另外，新北市具有敬老身分之愛心卡，於持卡人生日當月，持卡到任何一個新北市區公所或捷運各站的票卡查詢機、詢問處靠卡感應註記，就可以使用點數搭乘臺北捷運及新北捷運(輕軌及環狀線)。 ,35775,112-10-12 16:31,112-11-03 11:17,臺北大眾捷運股份有限公司
2023-12-17 21:25:04,https://www.metro.taipei/News_Content.aspx?n=566DA580861CEE77&sms=87415A8B9CE81B16&s=15FD084CDDD4E6BF,如何申請於各捷運站詢問處旁之布告欄張貼海報?, 本公司為服務社會大眾、免費提供政令宣導、優良活動資訊及維護捷運車站景觀一致，特訂定「文宣品上刊申請須知」，請透過臺北市政府網路申辦單一窗口網站-「臺北市政府市民服務大平臺」，申請或下載申請文件。網址：https://service.gov.taipei/Case/ApplyWay/201906280005。 ※ 申請資格有無限制？學生可以申請嗎？是否需要付費呢？ 凡政府機關、政府機關立案通過之公私立團體(非以營利為目的者)自行申請或出具委託書委託之申請單位均可申請，學生申請，請以所屬學校系所之名義提出申請，本公司均不收取費用。 ※ 文宣內容有無限制呢？  內容須為公私立團體所主辦之非商業性、非政治性、非宗教宣教為目的之活動或資訊刊載。 ※ 文宣品的刊登有無期限呢？ 同一文宣品可申請檔期為15天(不可跨月或重複申請)，檔期分別是每月的1日至15日、16日至當月最後一日，請擇一申請。 ※ 尺寸有特殊規定嗎？海報為直式、A1菊全開（長度84.1±0.5公分、寬度59.4±0.5公分） ※ 要填寫委託書嗎？ 若另外委託公關公司等其他非符合申請資格單位代為申請時，才需要填寫委託書，若是自行申請則不需要填寫委託書。 ※ 每月1日起受理次月檔期的意思？ 舉例來說，5月份上刊(含1日至15日、16日至當月最後一日2個)的檔期，自4月1日起始開放申請。 ※ 怎麼確定核准的站數？ 當您的申請通過後，我們會將『文宣品核准通知』 e-mail給您，並於通知內容列出核准通過之站別，送文宣品至車站時請列印出來隨身攜帶，便於提供站務人員查驗。 ※ 多久可以知道結果？ 文宣品使用申請審核的時間約7日，核准通過後會以電子郵件發送方式通知。 ※ 如何將文宣品送至車站？ 請於准予張貼前2日，攜帶『文宣品核准通知』及核定數量之文宣品，自行派員配送至所核准車站。 ,25110,112-08-25 17:03,112-11-03 11:18,臺北大眾捷運股份有限公司
2023-12-17 21:25:04,https://www.metro.taipei/News_Content.aspx?n=566DA580861CEE77&sms=87415A8B9CE81B16&s=00695D3417F06354,臺北市/新北市6 歲以上未滿 12 歲兒童搭乘臺北捷運如何享有票價優惠?, 本公司配合臺北市政府社會局及新北市政府交通局之公告政策，年滿6歲以上未滿12歲之兒童持「數位學生證」、「兒童優惠卡」或「新北兒童卡」搭乘臺北捷運可享有兒童優惠票價，說明如下：一、 臺北市(憑卡搭乘臺北捷運每趟車資可享單程票價 6 折之優惠)：(一)學籍為臺北市者於就學期間由就讀學校發放具有悠遊卡功能之「數位學生證」。(二)設籍臺北市但無法申請「數位學生證」（例如學籍在外縣市、就讀臺北市無數位學生證之國小或尚未就學）可向區公所申請辦理「兒童優惠卡」。(三)持設籍在臺北市之「戶口名簿」、「戶籍謄本」或「身分證」等其中一種證明文件之正本、影本或照片，即可臨櫃購買6 折之優惠單程票。二、 新北市(憑卡搭乘臺北捷運每趟車資可享單程票價 4 折之優惠)：(一)學籍為新北市者，於就學期間由就讀國小發放「新北兒童卡」給新北市兒童使用。(二)若戶籍在新北市，但不在新北市就學，或尚未就學的兒童，則可向各新北市任一區公所申請辦理「新北兒童卡」。(三)目前並未開放新北市兒童持身分證明文件購買兒童優惠票。註：1.目前未針對其餘縣市6歲以上未滿12歲兒童提供優惠。2.其餘縣市6歲以上未滿12歲兒童搭乘臺北捷運購票票價與一般成人票價相同。 ,107712,112-07-06 14:09,112-11-03 11:17,臺北大眾捷運股份有限公司
