Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2024-01-05 17:21:20,, C1D1大樓工程進行期間民眾是否需要改道?,本工程為維持既有民眾通行動線，租用交六、交八廣場空地作為道路空間，民眾不用特別改道，但仍須配合現場施工牌面及工區速限行駛。,,113-01-02 13:48,113-01-02 13:48,第一區工程處
2024-01-05 17:21:20,, C1D1大樓施工期間YOUBIKE 租賃站會不會受影響?,配合工區圍籬設置，延平北平路口站及機場捷運台北車站(6 號出口)站，於施工期間暫停營運，可於捷運北門站(3 號出口)租還。,,113-01-02 13:46,113-01-02 13:46,第一區工程處
2024-01-05 17:21:20,, C1D1大樓施工期間周邊停車格是否有取消?,基地周邊道路未取消周邊停車格。,,113-01-02 13:47,113-01-02 13:47,第一區工程處
2024-01-05 17:21:20,, C1D1大樓施工期間周邊停車場出入會受影響嗎? ,施工期間未影響基地周邊停車場。,,113-01-02 13:48,113-01-02 13:48,第一區工程處
2024-01-05 17:21:20,,C1D1大樓工程為什麼會占用北平西路及延平北路車道空間? ,本工程於既有機場捷運 A1 站繼續往上興建，經建築主管機關認定借用道路施工有其必要性及安全性，爰借用北平西路及延平北路部分車道，但仍維持既有民眾車輛行駛動線，降低交通影響。,,113-01-02 13:49,113-01-02 13:49,第一區工程處
2024-01-05 17:21:20,,C1D1大樓施工本階段有影響行人通行嗎?,1.施工期間地下街 Y18、Y22 出口管制通行，民眾可改利用 Y12、Y26 出口至地面。 2.施工期間基地北側鄭州路人行道為工區範圍，無法通行，白天可改行走機捷地面層內部空間，但夜間機捷收班後地面層不開放，因此需改走鄭州路北側人行道。 3.施工期間亦管制市民大道南側及延平北路東側人行道，但在工區四周仍有提供人行安全走廊可供民眾通行，在四周路口亦有規劃人行導引牌面，可維持行人通行。,,113-01-02 13:47,113-01-02 13:47,第一區工程處
2024-01-05 17:21:20,,C1D1大樓施工期間公車站位會不會受影響?,施工期間公車站位不受影響。,,113-01-02 13:46,113-01-02 13:46,第一區工程處
2024-01-05 17:21:20,,C1D1大樓施工期間若有施工疑問，現場詢問管道為何?,1.施工期間若有相關問題詢問，可撥打下列電話。 C1 工地主任/郭哲綸/0988970315 D1 工地主任/王舜民/0972776071 2.另可透過台北市政府、臺北市政府捷運工程局、台北雙星股份有限公司及中正區公所網址首頁了解資工資訊。,,113-01-02 13:45,113-01-02 13:45,第一區工程處
2024-01-05 17:21:20,,C1D1大樓施工期間機場捷運出入口會受影響嗎?,1.C1 工區管制機場捷運 2 號、4 號及台北地下街 Y18 等 3 處出口，民眾可改由機場捷運 1 號、3 號及台北地下街Y12 等 3 處出口進出。 2.D1 工區管制機場捷運 7 號及台北地下街 Y22 等 2 處出口，民眾可改由機場捷運 5 號、6 號及台北地下街 Y26等 2 處出口進出。,,113-01-02 13:51,113-01-02 13:51,第一區工程處
2024-01-05 17:21:20,,士林區至善路2段故宮博物院附近路樹有綁抗議布條，後續這些樹木會是如何處理?,有關士林區至善路2段故宮博物院附近之路樹原規劃於先期植栽標進行移除，因有民眾反映應妥善規劃保護避免用移除方式處理，經本處與當地民眾及里長協調後，本區域之樹木將由移除改為移植方式處理，並將該區需移植之樹木納入Y28故宮站主體工程內辦理，於主體工程開工後再行辦理移植作業。,,113-01-02 13:55,113-01-02 13:55,第一區工程處
