Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2023-12-22 10:48:03,https://www.doe.gov.taipei/https://kids.gov.taipei,【疫情期間】教育局有發文說有關幼兒教育要做遠距教學，是要如何做？,[],,112-11-29 10:59,112-11-29 10:59,臺北市政府教育局教育視導與品質科
2023-12-22 10:48:03,https://www.doe.gov.taipei/News_Content.aspx?n=8E7F7CCC42F9F31E&sms=87415A8B9CE81B16&s=1432F008FF300FAB,【非營利幼兒園招生】臺北市非營利幼兒園招生辦理階段報名期間，每位幼兒可報名登記幾間幼兒園？倘同時錄取本市公立幼兒園及非營利幼兒園，是否可以同時辦理報到？, 一、每位幼兒於招生辦理階段報名期間，登記非營利幼兒園暨教保服務中心以1間為限。二、幼兒倘同時錄取本市公立幼兒園及非營利幼兒園暨教保服務中心，僅限於1園（中心）報到。 ,670.0,112-12-01 18:29,112-12-01 18:29,臺北市政府教育局學前教育科
2023-12-22 10:48:03,https://www.doe.gov.taipei/News_Content.aspx?n=8E7F7CCC42F9F31E&sms=87415A8B9CE81B16&s=6023737D2D45B1D2,【公幼招生】參加「線上備取登記階段」的資格為何？是否有限制登記園數？, 除須符合本簡章「三、招生對象」規定外，如果幼兒已經具有「本市公立幼兒園正取（含直升）、備取資格」，則必須先放棄該資格，始得申請本階段登記；且每位幼兒於本階段登記公立幼兒園以1園為限。如欲參加本階段登記，而須放棄已具有之「正取（含直升）、備取資格」者，請於【112年6月13日(星期二)上午9時至6月14日(星期三)下午4時止】採網路線上方式辦理。 ,516.0,112-10-02 16:48,112-10-02 16:48,臺北市政府教育局學前教育科
2023-12-22 10:48:03,https://www.doe.gov.taipei/News_Content.aspx?n=8E7F7CCC42F9F31E&sms=87415A8B9CE81B16&s=BF2D43924A5F86FE,【公幼招生】幼兒抽到的備取序號非常後面，還有機會就讀公立幼兒園嗎？, 可改登記他園之備取或剩餘缺額。本市自110學年度起新增「線上備取登記階段」，於上述招生階段辦理完竣後，將再次於【112年6月13日(二)上午9時至6月14日(三)下午4時止】開放線上備取登記（倘部分幼兒園仍有剩餘缺額，亦併入本階段辦理）。  ,1058.0,112-10-02 14:20,112-10-02 14:20,臺北市政府教育局學前教育科
2023-12-22 10:48:03,https://www.doe.gov.taipei/News_Content.aspx?n=8E7F7CCC42F9F31E&sms=87415A8B9CE81B16&s=9C159C9366A7F472,【非營利幼兒園招生】已經在本市非營利暨教保服務中心或公立幼兒園就讀了，是否可以再報名本市其他非營利暨教保服務中心或公立幼兒園？, 不可以。已在本市非營利幼兒園暨教保服務中心或公立幼兒園就讀之幼兒，須先向原就讀幼兒園（中心）簽具切結書（放棄直升），始可報名其他非營利幼兒園暨教保服務中心或公立幼兒園之招生登記。 ,736.0,112-12-01 18:30,112-12-01 18:30,臺北市政府教育局學前教育科
2023-12-22 10:48:03,https://www.doe.gov.taipei/News_Content.aspx?n=8E7F7CCC42F9F31E&sms=87415A8B9CE81B16&s=14B5DE678C5EC2DE,【公幼招生】抽籤後確定錄取者，需依規定時間辦理報到，其報到規定為何？是否需要攜同幼兒至幼兒園辦理報到？, 錄取生採網路線上報到，不需攜同幼兒，如未於規定時間內報到，視同放棄錄取資格。 ,306.0,112-10-02 14:20,112-10-02 14:20,臺北市政府教育局學前教育科
2023-12-22 10:48:04,https://www.doe.gov.taipei/News_Content.aspx?n=8E7F7CCC42F9F31E&sms=87415A8B9CE81B16&s=567CB8ED6BB97D6D,【公幼招生】法定需要協助幼兒未於招生辦理階段登記報名，於備取辦理階段是否仍可享有優先入園資格？, 否。法定需要協助幼兒應依招生簡章之規定於招生辦理階段登記報名，於備取辦理階段以一般生資格辦理。 ,205.0,112-12-07 14:22,112-12-07 14:22,臺北市政府教育局學前教育科
2023-12-22 10:48:04,https://www.doe.gov.taipei/News_Content.aspx?n=8E7F7CCC42F9F31E&sms=87415A8B9CE81B16&s=0C3AB066749EDF55,【公幼招生】臺北市郊區地區學校之幼兒園招生，辦理方式為何？, 郊區地區學校係指文山區-指南實幼、士林區-平等附幼、溪山實幼、雙溪附幼及陽明山附幼、北投區-湖山附幼、大屯附幼、泉源實幼及湖田附幼，共計9所。其學區內3-5歲幼兒錄取順序優先於學區外之幼兒，惟其錄取原則仍依法定優先資格及5、4、3歲順序辦理。  ,320.0,112-10-02 14:21,112-10-02 14:21,臺北市政府教育局學前教育科
2023-12-22 10:48:04,https://www.doe.gov.taipei/News_Content.aspx?n=8E7F7CCC42F9F31E&sms=87415A8B9CE81B16&s=4594B5D1C052B575,【公幼招生】臺北市公立幼兒園招生順序為何？, 本市公幼招生採分齡分階段辦理，係以法定需要協助幼兒為最優先錄取之資格，招生資格及錄取順序，請詳閱招生簡章表2。 ,340.0,112-10-02 14:22,112-10-02 14:22,臺北市政府教育局學前教育科
2023-12-22 10:48:04,https://www.doe.gov.taipei/News_Content.aspx?n=8E7F7CCC42F9F31E&sms=87415A8B9CE81B16&s=74E6A10861CC8EFA,【公幼招生】目前已在本市公立或非營利幼兒園暨教保服務中心登記，可否保留原幼兒園（中心）直升資格？, 否。已在本市公立或非營利幼兒園暨教保服務中心就讀之幼兒，須向原就讀幼兒園（中心）簽具切結書（放棄直升），始能參加其他公立或非營利幼兒園暨教保服務中心之招生登記。  ,643.0,112-10-02 14:22,112-10-02 14:22,臺北市政府教育局學前教育科
2023-12-22 10:48:04,https://www.doe.gov.taipei/News_Content.aspx?n=8E7F7CCC42F9F31E&sms=87415A8B9CE81B16&s=C1F148078A5BB8A8,【公幼招生】幼兒持有身心障礙證明或是發展遲緩證明，但未經由本市特殊教育學生鑑定及就學輔導會之鑑定安置，是否可以優先入園？, 否。身心障礙幼兒欲優先入園，須依本市特殊教育學生鑑定及就學輔導會之鑑定安置規定辦理。詳情請洽臺北市南區特教資源中心02-8661-5183轉706、708、721。 ,295.0,112-12-07 14:19,112-12-07 14:19,臺北市政府教育局學前教育科
