Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2023-12-29 09:31:00,https://culture.gov.taipei/News_Content.aspx?n=0EF5CBADD488A29A&sms=87415A8B9CE81B16&s=086B7747D2CAF5A1,臺北市政府辦理文化創意產業發展法第10條之1 （藝文票券加價轉售黃牛防治作業）常見問題, Q1：我想問文化創意產業發展法(黃牛檢舉)相關法規問題?A1：本法中央主管機關文化部業設立檢舉黃牛專區及專責人員，歡迎善用相關網路資源或請洽文化部檢舉黃牛專區服務專線02-85211850。Q2：我要查詢案件進度。A2：請上文化部檢舉黃牛專區https://noscalper.moc.gov.tw/default.aspx進度查詢＞輸入電子信箱、檢舉案件編號、驗證碼＞可查詢案件現況。Q3：系統進度查詢看到分案至臺北市政府，我想洽承辦人了解調查作業。A3：本府文化局辦理檢舉黃牛案件，將依檢舉系統之檢舉案佐證資料向相關對應業者或單位調閱被檢舉人資料（如售票平台、電信業者、銀行業者、戶政單位、警政單位等），然因檢舉人、被檢舉人個人資料均受保護，調查過程恕無法個案討論，前述民間業者亦得選擇是否配合相關調查。Q4：請問案件要調查多久？A4：本府自檢舉黃牛專區收受案件日起，原則上2個月內將於系統辦理更新調查結果，各案本府文化局亦積極檢視佐證資料，倘查有資料不足案件致造成調查困難，通知檢舉人補件。Q5：我收到逾期未補件的結案通知，請問我還能補件嗎？A5：依據文化創意產業發展法第十條之一檢舉案件處理及獎勵辦法第3條第4項定有明文: 「檢舉案件不符前二項規定，依其性質能補正者，得通知限期補正；不能補正或屆期補正未完全者，不予受理。」 ,63.0,112-12-07 10:43,112-12-07 10:43,臺北市政府文化局
2023-12-29 09:31:02,https://culture.gov.taipei/News_Content.aspx?n=0EF5CBADD488A29A&sms=87415A8B9CE81B16&s=1587BEB1701A476F,臺北市文化藝術基金會的設立基金門檻為？有無相關法規或申請表格可參考？," Q1：臺北市文化藝術基金會的設立基金門檻為？A1：臺北市政府文化局所主管財團法人之設立捐助財產最低總額為新臺幣1,000萬元，現金總額比率為百分之百。Q2：有無相關法規或申請表格可參考？A2：請至下方連結，載下0–3 附件填畢用印後，送局申請。※ 申請設立應檢附文件（相關表件範本請參考下方檔案載下附件）0.臺北市文化藝術財團法人申請設立申請書（捐助財產總額新臺幣1000萬元且現金比率為百分之百，申請書1份，其他文件1式3份，相關表件範例請參考下方檔案載下附件）。1.捐助人會議紀錄及簽到表（捐助人2人以上者），或捐助人遴聘董事、訂定捐助章程之相關證明文件（捐助人為1人者，逕由捐助人訂立捐助程，依捐助章程所訂遴聘第一屆董事與董事長，並提出證明文件，毋庸召開會議）。1-(1)財產移轉承諾書：捐助人、繼承人或遺囑執行人同意於文化法人獲准登記時，將捐助財產移轉為文化法人所有之承諾書。1-(2)捐助人名冊。1-(3)捐助財產清冊及其證明文件。1-(4)捐助章程或遺囑影本（以遺囑捐助設立者）。1-(5)董事名冊暨印鑑清冊、監察人名冊暨印鑑清冊（無設置監察者免附）。1-(5)-A.身分證明文件影本。1-(5)-B.願任董事同意書、願任監察人同意書（無設置監察者免附）。1-(5)-C.董事具文化藝術經驗之證明文件（須達全體董事五分之一）。1-(5)-D.所有董事切結書（切結董事相互間有配偶或三等親內親屬關係者未超過董事總人數三分之一）、所有監察人切結書（切結監察人相互間、監察人與董事間不得有配偶或三親等內親屬關係，無設置監察者免附）。1-(5)-E.董事與監察人（無設置監察人者免附）為現職公務人員或教育人員者之服務機關或上級主管機關同意書。1-(6)基金會會址所在證明文件（所有權狀、土地使用分區證明文件、租約或借用人同意書等）。2.董事籌備會會議紀錄及簽到表。2-(1)年度業務計畫及預算書。3.申請代理人委任書（無委託他人代為申請者免附）。 ",5647.0,112-11-20 15:59,112-11-20 15:59,臺北市政府文化局
2023-12-29 09:31:04,https://culture.gov.taipei/News_Content.aspx?n=0EF5CBADD488A29A&sms=87415A8B9CE81B16&s=DE1A8A085DAC7F3A,如何查詢台北市立案的文化藝術基金會的資料, 請至下方連結「台北市文化藝術財團法人資訊網」及「法人與夫妻財產登記公告」進行查詢。 ,4435.0,112-10-13 11:38,112-10-13 11:38,臺北市政府文化局
2023-12-29 09:31:06,https://culture.gov.taipei/News_Content.aspx?n=0EF5CBADD488A29A&sms=87415A8B9CE81B16&s=25D95DB80CB5F953,文化藝術財團法人(基金會)的變更案該如何辦理？, Q：文化藝術財團法人（基金會）的變更案該如何辦理？A：請依據下方事項，分別準備對應資料（申請書1份，其他文件1式3份，相關表件範例請參考下方檔案載下附件）），並用印後送局即可。1.、變更董事（無設置監察人者免附監察人申請資料）：申請書、改補選董事／監察人會議紀錄及簽到表、董監事名冊暨印鑑清冊、董監事身分證明文件影本、願任董監事同意書、董事具文化藝術經驗之證明文件（須達全體董事五分之一）、所有董監事切結書（切結董監事相互間有配偶或三等親內親屬關係者未超過董事總人數三分之一）、董監事為現職公務人員或教育人員者之服務機關或上級主管機關同意書、董監事辭任書（辦理任期中補選需檢附）、申請代理人委任書（無委託他人代為申請者免附）。2、變更捐助章程：申請書、捐助章程變更董事會會議紀錄及簽到表、原捐助章程、新捐助章程、捐助章程對照表、變更事務所會址、設立分事務所會址證明文件（如所有權狀、土地使用分區證明文件、租約或借用人同意書等，非變更事務所會址、設立分事務所會址免附）、申請代理人委任書（無委託他人代為申請者免附）。 3、變更財產：申請書、登記財產變更董事會會議紀錄及簽到表、財產總清冊與財產證明文件、申請代理人委任書（無委託他人代為申請者免附）。  ,4854.0,112-11-20 16:00,112-11-20 16:00,臺北市政府文化局
2023-12-29 09:31:06,https://culture.gov.taipei/https://culture.gov.taipei/News_Content.aspx?n=C45F87D8C1BDB838&sms=4BFE13EF31785926&s=7F4852F37000D731,如何辦理文化藝術財團法人(基金會)解散？,[],,112-11-20 16:00,112-11-20 16:00,臺北市政府文化局
2023-12-29 09:31:09,https://culture.gov.taipei/News_Content.aspx?n=0EF5CBADD488A29A&sms=87415A8B9CE81B16&s=7B072200E68A8286,文化局設置的文化海報框如何申請?海報要送到哪張貼?審查機制為何?海報貼在哪?, 一、 申請資格：(申請須知及表格請上臺北市政府文化局網站https://www.culture.gov.taipei/「補助/申請案件」→「各項申辦」→「捷運文化海報框」參閱及下載)1. 經政府立案之國內藝文團體(係指藝文團體、藝文相關法人組織及文博館所)。2. 主辦或與民間合作辦理藝文活動之政府機關。3. 發行國產電影片之電影發行公司。二、 海報送達地點及審查機制：1.申請張貼之海報請送至以下單位好視音活動整合有限公司 王恆傑先生 地址：新北市新莊區中正路649-9號7樓 AA111電話：02-2689-0101（王先生）。2.審查機制:審查機制除依照上開之申請資格規範外，該表演地應於本市進行演出，並應符合相關尺寸等規定，詳細請參考「申請須知」。三、 張貼地點數量：文化海報張貼目前提供捷運板南線上龍山寺站（33個）、西門站（134個）、忠孝復興站（48個）、忠孝敦化站（51個）、國父紀念館站（37個）、市政府站（40個）共6站343個海報框提供申請使用。  ,12926.0,112-09-27 09:48,112-09-27 09:48,臺北市政府文化局
2023-12-29 09:31:12,https://culture.gov.taipei/News_Content.aspx?n=0EF5CBADD488A29A&sms=87415A8B9CE81B16&s=11C70DAF73E1A6C8,信義、西門徒步區街頭藝人假日展演相關諮詢電話, 例假日下午一時至晚上九時，請撥打02-27208889/1999分機59321。 ,284.0,112-09-27 16:03,112-09-27 16:03,臺北市政府文化局
2023-12-29 09:31:15,https://culture.gov.taipei/News_Content.aspx?n=0EF5CBADD488A29A&sms=87415A8B9CE81B16&s=668E6A64987A52C4,文化局經管特定路段受理申請範圍, 文化局經管特定路係信義計畫區及西門町行人徒步區經本府公告之路段，範圍如下：  信義計畫區部分包括（如附圖1）： 一般1: 新光三越香堤大道北段（A8與A10間徒步區） 一般2: 新光三越香堤大道南段（A9與A11間徒步區） 特殊1: 新光三越香堤大道廣場 特殊2: 信義威秀中庭徒步區  西門町部分包括（如附圖2）： 一般1: 昆明街至康定路段之武昌街（電影街） 一般2: 峨眉街與漢中街口廣場 特殊1: 漢中街與武昌街口廣場（屈臣氏前） 特殊2: 西寧南路至昆明街間之武昌街段（武昌誠品店前） ,175.0,112-10-13 11:38,112-10-13 11:38,臺北市政府文化局
2023-12-29 09:31:17,https://culture.gov.taipei/News_Content.aspx?n=0EF5CBADD488A29A&sms=87415A8B9CE81B16&s=9B826DACD1BF3E3C,文化局經管特定路段舉辦臨時活動申請活動性質、時段使用之限制, 適用本局經管特定路之臨時活動，以下列活動為限：  （一）藝文展演活動。 （二）文化創意產業相關活動。 （三）公益活動。 （四）其他經本局核准之活動。  活動使用期間以三日為限，同一申請使用者，同一路段每月核准以2場次為限，總時間不得超過六日。 ,81.0,112-10-13 11:39,112-10-13 11:39,臺北市政府文化局
2023-12-29 09:31:20,https://culture.gov.taipei/News_Content.aspx?n=0EF5CBADD488A29A&sms=87415A8B9CE81B16&s=8090DEDEE43C91D9,文化局經管特定路段舉辦臨時活動申請時間及方式, 每年雙數月1日至10日（10日遇假日則順延至上班日），受理申請次月1日起至6個月內辦理之活動。例如：2月1-10日受理申請3月1日至8月31日辦理之活動。送件方式：1.紙本送件：掛號郵寄（限郵遞、郵局便利包、ｉ郵箱）：臺北市信義區市府路1號4樓西北區臺北市政府文化局收。以中華郵政臨櫃寄送者以郵戳時間為憑。專人送達（含快遞）：於上班時間（上午9時至下午5時），送至臺北市市府路一號四樓西北區，臺北市政府文化局秘書室簽收。不得因快遞或人員延誤而提出異議。2.線上申請：經由本府市民服務大平台（網址: https://service.gov.taipei/）填寫相關資料並上傳申請書表及附件，於受理收件期間成功上傳申請資料，不得因傳送延誤而提出異議。 ,142.0,112-10-13 11:39,112-10-13 11:39,臺北市政府文化局
