Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2023-12-17 21:13:33,https://ca.gov.taipei/News_Content.aspx?n=59F2E04A34FDA3E8&sms=87415A8B9CE81B16&s=E82E94AA74D116C6,外國人如果結婚來臺灣或在臺灣長期工作，想要辦理中華民國身分證，要準備哪些文件才能辦理？, 外國人如果想要辦理中華民國身分證，一定要合法居留連續3年或5年，每年居住183日以上。其申辦流程為：一、先依國籍法規定向國內住所地戶政事務所申請歸化中華民國國籍，須備妥下列資料：(一)有效之外僑居留證或外僑永久居留證。(二)原屬國政府核發之警察紀錄證明或其他相關證明文件（申請歸化國籍者，係我國國民之配偶，外僑居留證居留事由為「依親」者，免附）；（申請人曾為我國人配偶，其婚姻關係消滅後無出境紀錄者，免附）。(三)相當之財產或專業技能，足以自立，或生活保障無虞之證明（為中華民國國民配偶身分或已取得外僑永久居留證者，免附）。(四)歸化取得我國國籍者基本語言能力及國民權利義務基本常識認定標準第3條所定之證明文件。(五)相片1張（符合新式國民身分證相片規格）。(六) 證書費規費新臺幣1200元（以郵政匯票繳交，受款人：內政部）；亦可使用電腦透過網際網路進入財金公司「e-Bill全國繳費網」或在具有「行動金融卡」之行動裝置下載「e-Bill全國繳費網APP」完成繳費。二、經許可歸化取得中華民國國籍證明後，再向內政部移民署申請「臺灣地區居留證」，且於內政部許可歸化之日起，1年內提出喪失原有國籍證明，屆期未提出者，除經外交部查證因原屬國法律或行政程序限制屬實，致使不能於期限內提出喪失國籍證明者，得申請展延時限外，應撤銷其歸化許可。三、居留滿一定期間後(已提出喪失原有國籍證明)，續向內政部移民署申請「臺灣地區定居證」，俟取得定居證後即可向設籍地戶政事務所申請初設戶籍登記及初領國民身分證。◎如欲了解申辦歸化國籍應繳證件，可連結內政部戶政司全球資訊網參閱，首頁-法規與申辦須知-國籍申辦須知-國籍變更申請書暨提憑證件一覽表。  ,156887,112-12-01 18:05,112-12-01 18:05,臺北市政府民政局人口政策科
2023-12-17 21:13:33,https://ca.gov.taipei/News_Content.aspx?n=59F2E04A34FDA3E8&sms=87415A8B9CE81B16&s=4A45DC2169919056,外國人士(不含港澳及大陸地區人士)請領身分證流程？有居留證後要多久才可取得身分證？辦理方式？, 一、請先依歸化國籍規定向國內住所地戶政事務所提出申請，戶政事務所將會層轉各直轄市、縣（市）政府轉內政部許可。二、內政部許可歸化中華民國國籍。三、向內政部移民署各地服務站申辦「臺灣地區居留證」，並應於內政部許可歸化之日起1年內提出喪失原有國籍證明。屆期未提出者，除經外交部查證因原屬國法律或行政程序限制屬實，致使不能於期限內提出喪失國籍證明者，得申請展延時限外，應撤銷其歸化許可。四、已提出喪失原屬國籍證明後，再按入出國及移民法之規定，居留滿一定期間後【自核准居留之日起，連續居住1年；或居留滿2年且每年居住270日以上；或居留滿5年且每年居住183日以上】，再向內政部移民署各地服務站申請「臺灣地區定居證」。五、取得臺灣地區定居證後，即可向設籍地戶政事務所申辦初設戶籍登記及初領國民身分證。◎應繳證件係在國外作成者，應經我國駐外館處驗證及外交部複驗；其在國內由外國駐我國使領館或授權機構製作者，應經外交部驗證。文件為外文者，應檢附經駐外館處驗證及外交部複驗或國內公證人認證之中文譯本。  ,54408,112-12-01 18:06,112-12-01 18:06,臺北市政府民政局人口政策科
2023-12-17 21:13:34,https://ca.gov.taipei/News_Content.aspx?n=59F2E04A34FDA3E8&sms=87415A8B9CE81B16&s=2516AF8BD7728BE4,新移民（外國人或無國籍人）如何申請中華民國國籍？及申辦中華民國身分證之資格？, 一、有關歸化中華民國國籍之規定，依國籍法第3條或第4條規定，應具備下列各項要件，向國內住所地戶政事務所申請歸化中華民國國籍：（一）外國人或無國籍人，現於中華民國領域內有住所，每年合計有183日以上合法居留之事實繼續3年或5年以上。依中華民國法律及其本國法均有行為能力（二）依中華民國法律及其本國法均有行為能力 。（三）無不良素行，且無警察刑事紀錄證明之刑事案件紀錄。（四）有相當之財產或專業技能，足以自立，或生活保障無虞。(若為中華民國國民配偶身分或已取得外僑永久居留證者，免附。)（五）具備我國基本語言能力及國民權利義務基本常識。二、歸化中華民國國籍許可後，再向內政部移民署申請「臺灣地區居留證」，且於內政部許可歸化之日起，1年內提出喪失原有國籍證明，屆期未提出者，除經外交部查證因原屬國法律或行政程序限制屬實，致使不能於期限內提出喪失國籍證明者，得申請展延時限外，應撤銷其歸化許可。三、居留滿一定期間後(已提出喪失原有國籍證明)，向內政部移民署申請「臺灣地區定居證」，俟取得定居證後即可向設籍地戶政所申請初設戶籍登記及申領國民身分證。◎應繳證件係在國外作成者，應經我國駐外館處驗證及外交部複驗；其在國內由外國駐我國使領館或授權機構製作者，應經外交部驗證。文件為外文者，應檢附經駐外館處驗證及外交部複驗或國內公證人認證之中文譯本。  ,47304,112-12-01 18:06,112-12-01 18:06,臺北市政府民政局人口政策科
2023-12-17 21:13:34,https://ca.gov.taipei/News_Content.aspx?n=59F2E04A34FDA3E8&sms=87415A8B9CE81B16&s=5E6015A58EBE68B2,外籍配偶離婚後，要如何取得身分證？," 外籍配偶離婚後，因喪失依親的居留事由，原則上無法在臺灣繼續居留，也無法歸化我國取得身分證，但如有特殊情形，例如：對無行為能力或限制行為能力之中華民國國籍子女，有扶養事實、行使負擔權利義務、會面交往或為中華民國國民之監護人或輔助人等情事，則可以新事由向內政部移民署申請在臺灣繼續居留。舉例來說，外籍配偶離婚後，對無行為能力或限制行為能力之中華民國國籍子女有扶養事實、有監護權或會面交往者，如要申請取得國民身分證，要先依國籍法規定向國內住所地戶政事務所申請國籍歸化，並應於內政部許可歸化之日起，1年內提出喪失原有國籍證明。屆期未提出者，除經外交部查證因原屬國法律或行政程序限制屬實，致使不能於期限內提出喪失國籍證明者，得申請展延時限外，應撤銷其歸化許可。一、欲申請歸化中華民國國籍應具備下列各款要件：(一)在中華民國領域內，每年合計有183日以上合法居留之事實繼續3年以上。(二)依中華民國法律及其本國法均有行為能力。(三)無不良素行，且無警察刑事紀錄證明之刑事案件紀錄。(四)有相當之財產或專業技能，足以自立，或生活保障無虞。(五)具備我國基本語言能力及國民權利義務基本常識。二、申請歸化國籍需填具申請書並檢附下列文件：(一)有相當之財產或專業技能，足以自立，或生活保障無虞之證明文件。(二)具備我國基本語言能力及國民權利義務基本常識之證明文件。(三)有效之外僑居留證或外僑永久居留證。(四)原屬國警察紀錄證明書。（外籍配偶如原以國人配偶身分申請「依親」居留，已繳驗原屬國警察紀錄證明文件，離婚後迄申請時，無出境紀錄，得准予免繳附原屬國警察紀錄證明書。）(五)最近 2 年內所拍攝正面彩色脫帽相片1張（同國民身分證相片規格，背面書寫姓名）。(六)證書規費新臺幣 1,200 元。(請以郵政匯票繳交，受款人：內政部)。三、歸化我國國籍經許可後，應向內政部移民署申請「臺灣地區居留證」，於1年內提出喪失原有國籍證明後，並在臺灣居留滿一定期間後，始能續向內政部移民署申請「臺灣地區定居證」，俟取得定居證後，方可在欲設籍地戶政事務所申請初設戶籍登記及初領國民身分證。四、初設戶籍登記所需文件為：(一)戶口名簿(單獨立戶者免附，但須提憑遷入單獨立戶之房屋所有權證明等相關文件)。(二)最近2年內所拍攝正面彩色脫帽相片1張或數位相片(規格請詳見內政部戶政司網站。(三)初領戶口名簿規費新臺幣30元；初領國民身分證，規費新臺幣50元。◎如欲了解申辦歸化國籍應繳證件，可連結內政部戶政司網站參閱，首頁-法規與申辦須知-國籍申辦須知-國籍變更申請書暨提憑證件一覽表。◎應繳證件係在國外作成者，應經我國駐外館處驗證及外交部複驗；其在國內由外國駐我國使領館或授權機構製作者，應經外交部驗證。文件為外文者，應檢附經駐外館處驗證及外交部複驗或國內公證人認證之中文譯本。◎申請臺灣地區居留證及臺灣地區定居證所需文件請洽內政部移民署各地服務站https://www.immigration.gov.tw/5385/5388/7181/7184/7193/洽辦。 ",50012,112-12-01 18:06,112-12-01 18:06,臺北市政府民政局人口政策科
2023-12-17 21:13:34,https://ca.gov.taipei/News_Content.aspx?n=59F2E04A34FDA3E8&sms=87415A8B9CE81B16&s=B79BD52EC0629188,【新移民】新移民（外籍配偶）持有居留證後，至取得身分證之辦理程序？應備文件為何？," 一、依國籍法規定向國內住所地戶政事務所申請國籍歸化（自申請日起往前推算，須合法居留繼續3年以上，且每年有183日以上之居留事實），應備妥下列文件：（一）歸化國籍申請書。（二）合法有效之外僑居留證或外僑永久居留證。（三）辦妥結婚登記之戶籍謄本（申請人免附，由戶政機關代查）。（四）歸化取得我國國籍者基本語言能力及國民權利義務基本常識認定標準第3條所定之證明文件。（五）相片1張（符合新式國民身分證相片規格）。（六）證書規費新臺幣 1,200元。（請以郵政匯票繳交，受款人：內政部）二、經許可歸化取得中華民國國籍證明後，再向內政部移民署申請「臺灣地區居留證」，且於內政部許可歸化之日起，1年內提出喪失原有國籍證明，屆期未提出者，除經外交部查證因原屬國法律或行政程序限制屬實，致使不能於期限內提出喪失國籍證明者，得申請展延時限外，應撤銷其歸化許可。三、已提出喪失原有國籍證明並在臺灣居留滿一定期間後，向內政部移民署申請「臺灣地區定居證」，再向欲設籍地戶政事務所申請初設戶籍登記及初領國民身分證。四、申請初設戶籍登記及請領國民身分證所需文件為：（一）戶口名簿（單獨立戶者免附，但須提憑遷入單獨立戶之房屋所有權證明等相關文件）。（二）彩色相片1張或數位照片（最近2年內所拍攝符合身分證相片規格，可至內政部戶政司全球資訊網 http://www.ris.gov.tw/查詢）。（三）初（換）領戶口名簿規費新臺幣30元；初領國民身分證，規費新臺幣50元。◎應繳證件係在國外作成者，應經我國駐外館處驗證及外交部複驗；其在國內由外國駐我國使領館或授權機構製作者，應經外交部驗證。文件為外文者，應檢附經駐外館處驗證及外交部複驗或國內公證人認證之中文譯本。◎申請臺灣地區居留證及臺灣地區定居證所需文件請向內政部移民署各地服務站洽辦https://www.immigration.gov.tw/np.asp?ctNode=29679) ◎如欲了解申辦歸化國籍應繳證件，可連結內政部戶政司全球資訊網( http://www.ris.gov.tw/)參閱，首頁-法規與申辦須知-國籍申辦須知-國籍變更申請書暨提憑證件一覽表。  ",147673,112-12-01 18:07,112-12-01 18:07,臺北市政府民政局人口政策科
2023-12-17 21:13:34,https://ca.gov.taipei/News_Content.aspx?n=59F2E04A34FDA3E8&sms=87415A8B9CE81B16&s=65CEED6C2E87EE30,我已經喪失中華民國國籍了，可是我想再回臺灣長期居住，我要準備什麼資料才能拿到中華民國身分證呢？, 一、有效之外僑居留證或外僑永久居留證。二、原屬國政府核發之警察紀錄證明或其他相關證明文件（申請回復國籍者，係我國國民之配偶，外僑居留證居留事由為「依親」者，免附）。三、喪失國籍後在我國居住期間之警察刑事紀錄證明（可由戶政機關代為線上查詢，未滿十四歲者，免附）。四、相當之財產或專業技能，足以自立，或生活保障無虞之證明（申請隨同回復之未成年子女，免附）。五、法定代理人同意證明。（未婚未成年子女欲申請回復者，應一併提出申請）。六、其他相關戶籍或身分證明文件（如辦妥喪失國籍註銷戶籍之戶籍謄本【可由戶政機關代查】或喪失國籍許可證明書影本）。七、相片1張（新式身分證相片規格）。八、證書規費（請以新臺幣1200元郵政匯票繳交，受款人：內政部）；亦可使用電腦透過網際網路進入財金公司「e-Bill全國繳費網」或在具有「行動金融卡」之行動裝置下載「e-Bill全國繳費網APP」完成繳費。◎如欲了解申辦回復國籍應繳證件，可連結內政部戶政司全球資訊網參閱，首頁-法規與申辦須知-國籍申辦須知-國籍變更申請書暨提憑證件一覽表。 ,21825,112-12-01 18:07,112-12-01 18:07,臺北市政府民政局人口政策科
2023-12-17 21:13:35,https://ca.gov.taipei/News_Content.aspx?n=59F2E04A34FDA3E8&sms=87415A8B9CE81B16&s=5D8A7D937F7B1832,如何報名參加歸化國籍測試？臺北市測試時間為何？, 臺北市「歸化取得我國國籍者基本語言能力及國民權利義務基本常識測試」自104年2月起改採隨到隨辦方式舉行，報名時間為本市各區戶政事務所辦公時間(週一至週五，8：30至17：30)，請攜帶下列證件向本市各區任一戶政事務所報名：1.持有效之外僑居留證或外僑永久居留證正本2.最近2年內所攝正面半身彩色相片1張（比照國民身分證相片規格）3.測試規費新臺幣500元整 ,13273,112-12-01 18:08,112-12-01 18:08,臺北市政府民政局人口政策科
2023-12-17 21:13:35,https://ca.gov.taipei/News_Content.aspx?n=59F2E04A34FDA3E8&sms=87415A8B9CE81B16&s=DF5CE67EA92183BC,【助您好孕】臺北市生育獎勵金112年加倍送政策，每名新生兒發放多少金額？," 112年7月28日修改規定後，111年12月25日(含當日)後出生之新生兒且符合申請資格，第1名新生兒核發4萬元，第2名新生兒核發4萬5,000元，第3名以後新生兒每一名核發5萬元。有關本市生育獎勵金申請資格，請至助您好孕網站查詢。 ",558,112-08-02 08:52,112-12-01 12:07,臺北市政府民政局人口政策科
2023-12-17 21:13:35,https://ca.gov.taipei/News_Content.aspx?n=59F2E04A34FDA3E8&sms=87415A8B9CE81B16&s=B48A280E9EB5F920,【助您好孕】臺北市生育獎勵金的設籍時間怎麼算？, 新生兒之父或母其中一方，自新生兒出生之日起10個月前至提出申請時，應連續設籍於臺北市(併計新北市、基隆市設籍期間)。符合上述設籍期間之新生兒父或母，申請生育獎勵金時須設籍於臺北市，並於出生後60日內在臺北市戶政事務所辦理出生登記或初設戶籍登記，逾期視為放棄權利。 ,454,112-07-07 10:10,112-12-01 12:07,臺北市政府民政局人口政策科
2023-12-17 21:13:36,https://ca.gov.taipei/News_Content.aspx?n=59F2E04A34FDA3E8&sms=87415A8B9CE81B16&s=B7D80B6FAD97DA2A,【助您好孕】生育獎勵金的第2名或第3名以後之新生兒如何認定？, 第2名或第3名以後之新生兒，指戶籍登記為同一母親或父親所從出，且依出生年月日排序計算之第2名或第3名以上子女。 ,247,111-03-16 16:34,112-12-01 12:07,臺北市政府民政局人口政策科
