Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2023-12-16 23:55:28,https://legalaffairs.gov.taipei/News_Content.aspx?n=DEF40458BDBBF08D&sms=87415A8B9CE81B16&s=B1BFB97BFDE50CF9,什麼是「設置或管理」有欠缺？, 一、所謂設置有欠缺，是指公共設施的設計或建造有瑕疵存在。例如由於防洪設備設計不完備、材料粗糙、偷工減料、設計或建造錯誤，以致洪水決堤等。所謂管理有欠缺，是指公共設施建造後沒有妥善保管，以致發生瑕疵而言。例如，因水利主管機關不當許可建築商在河川行水區內採取砂石，以致堤防遭洪水沖毀。二、又此所謂欠缺，是指公共設施欠缺本來應具備的安全性的狀態，亦即不具備能防止通常可以預料發生的外力事故的安全性而言，故對於超出通常可以預料的外力，例如颱風、豪雨、地震、海水倒灌等所引起的災害，即使該公共設施未具備防止此等災害的安全性，亦不屬於這裡所謂的欠缺。例如，關於海岸計劃堤防高度的決定以及堤防的設計均為妥當，築堤之後也勤於補修管理，但因發生修築當時所難預料的大浪潮而造成決堤，此時不能認為是堤防的設置或管理有欠缺。（參考條文：本法第3條） ,4014,106-07-27 16:58,112-10-02 09:30,臺北市政府法務局
2023-12-16 23:55:30,https://legalaffairs.gov.taipei/News_Content.aspx?n=DEF40458BDBBF08D&sms=87415A8B9CE81B16&s=BE2DFAC46CD297CD,公共設施侵害責任是不是以故意或過失為要件？, 依本法第3條第1項規定，公共設施的設置或管理有欠缺而致人民受損害，國家即應負賠償責任，不問國家對此是不是有過失，而國家也不能主張對於防止損害的發生，已經善盡注意的義務而免除責任，也就是不以故意或過失為要件，這是屬於一種無過失責任。 （參考條文：本法第3條） ,3714,111-04-08 17:02,112-10-02 09:30,臺北市政府法務局
2023-12-16 23:55:32,https://legalaffairs.gov.taipei/News_Content.aspx?n=DEF40458BDBBF08D&sms=87415A8B9CE81B16&s=A99CD4F92648FD05,被害人死亡，請求權人可以請求什麼賠償？, 被害人因公務員執行職務行使公權力的不法侵害，或因公共設施的設置或管理有欠缺，而造成死亡時，所能請求的項目，依據本法第5條規定，國家賠償，除依該法規定外，適用民法規定，這又可分為以下兩種情形： 一、被害人因傷送醫後死亡，其死亡與所受之傷害有相當因果關係： （一）財產上的損害： 1、生前的醫療費用及增加生活上需要之費用或殯葬費之人（民法第192條第1項）：應參酌死者的年齡、身分，依社會一般觀念，客觀上認為相當者為限。 2、扶養費（民法第192條第2項）：被害人對於第三人負有法定扶養義務者，加害人對於該第三人亦負損害賠償責任。至於賠償數額的計算，應依據被害人原來所可推知的生存期間及扶養權利人能享受扶養的期間，並以被害人現在或將來的扶養能力為準。 （二）非財產上的損害（民法第194條）：不法侵害他人致死者，被害人之父母、子女及配偶，雖然不是財產上的損害，也可以請求賠償相當的金額。 （三）過失相抵（民法第217條）：關於損害的發生或擴大，被害人如與有過失，也就是說，假若被害人的過失也是造成損害或擴大損害的原因時，那麼法院可以減輕或免除賠償金額。 二、被害人立即死亡：如果被害人沒有送醫急救就已經確定死亡，自不發生支出醫療費用的問題。除此以外，其餘所能請求的項目，與被害人因傷送醫後死亡的情形相同。 （參考條文：國家賠償法第5條、民法第192條、第194條、第217條） ,5168,109-02-26 17:47,112-10-02 09:30,臺北市政府法務局
2023-12-16 23:55:34,https://legalaffairs.gov.taipei/News_Content.aspx?n=DEF40458BDBBF08D&sms=87415A8B9CE81B16&s=3150E9B6F31F5270,被害人受傷，請求權人可以請求什麼賠償？, 被害人因公務員執行職務行使公權力的不法侵害，或公共設施的設置或管理有欠缺，而造成身體或健康受侵害時，所能請求的項目，適用以下規定： 一、財產上的損害： （一）醫療費用（民法第184條第1項）。 （二）喪失或減少勞動能力：這是指被害人因為受傷，失去全部或一部分的工作能力，其所受的損害換算成相當金額而言，換算時，應當依被害人原來的健康狀況，推定尚能勞動的年數，並按被害人的能力在通常情形下每年可以獲得的收入，客觀的加以估計。（民法第193條） （三）增加生活上的負擔：即被害人以前並沒有此項需要，因為受傷以後才有支付該項費用的必要。例如受傷後必須裝上義肢，或作物理治療的情形。（民法第193條） 二、非財產上的損害（民法第195條第1項）：身體健康受到不法的侵害，被害人雖然不是財產上之損害，也可以請求賠償相當之金額。 三、過失相抵（請參考前一問題的說明，在此不重複）。 （參考修文：本法第5條、民法第184條、第193條、第195條、第217條） ,4592,111-04-08 17:03,112-10-02 09:30,臺北市政府法務局
2023-12-16 23:55:37,https://legalaffairs.gov.taipei/News_Content.aspx?n=DEF40458BDBBF08D&sms=87415A8B9CE81B16&s=59B19D6FD1195D31,被害人受有財產上的損害，請求權人可以請求什麼賠償？, 依本法第7條第1項規定：「國家負損害賠償責任者，應以金錢為之。但以回復原狀為適當者，得依請求，回復損害發生前原狀。」並應注意下列二問題：一、依民法第196 條規定：「不法毀損他人之物者，應向被害人賠償其物因毀損所減少價值。」故物受毀損，被害人原則上只能請求金錢賠償。二、過失相抵（請參考前開問題的說明，在此不重複）。（參考條文：本法第5條、第7條、民法第196條、第217條） ,3950,106-07-27 16:57,112-10-02 09:30,臺北市政府法務局
2023-12-16 23:55:39,https://legalaffairs.gov.taipei/News_Content.aspx?n=DEF40458BDBBF08D&sms=87415A8B9CE81B16&s=95DC1566E94E87A3,國家賠償案件有無協議金額計算基準？, 臺北市政府為所屬各機關學校辦理國家賠償事件，進行損害賠償協議金額之計算有所依循，以確保客觀公平，維護人民權益，訂有「臺北市政府國家賠償事件賠償計算基準」，以作為本府各機關處理國家賠償事件之損害賠償計算基準參考。 （參考資料：臺北市政府國家賠償事件賠償計算基準） ,4665,111-04-08 17:04,112-10-02 09:30,臺北市政府法務局
2023-12-16 23:55:41,https://legalaffairs.gov.taipei/News_Content.aspx?n=DEF40458BDBBF08D&sms=87415A8B9CE81B16&s=5D34DC31A046455F,什麼是「求償權」？, 求償權是指執行職務行使公權力的公務員或受委託行使公權力的團體或個人，其執行職務之人，因故意或重大過失不法侵害人民自由或權利，及公共設施因設置或管理有欠缺，致人民受損害，就損害原因有應負責任的人時，賠償義務機關於賠償人民的損害後，可以要求那些應負責任的人，償還賠償的金額。因為損害既是他們的行為所造成，國家於被害人之損害賠償後，可以向這些責任真正的歸屬者求償，如此才符合公平正義的原則。 （參考條文：本法第8條） ,6558,110-07-20 10:01,112-10-02 09:30,臺北市政府法務局
2023-12-16 23:55:44,https://legalaffairs.gov.taipei/News_Content.aspx?n=DEF40458BDBBF08D&sms=87415A8B9CE81B16&s=EC304D371985A86B,求償權行使的對象是誰？, 求償權之行使，可視發生原因的不同，而有如下三種情形： 一、依本法第2條第3項規定，必須該公務員執行職務行使公權力，有故意或重大過失時，才能以該公務員為求償行使的對象。 二、依本法第3條第5項規定，必須就公共設施造成損害的原因有應負責任之人時，才能以該應負責任之人為求償對象。所謂就損害原因應負責任的人，是指造成公共設施的設置或管理有欠缺，對於被害人應負一般侵權行為責任的第三人。其次，就損害原因應負責任的人，如果是公共設施設置或管理機關的公務員時，固也可作為賠償義務機關行使求償的對象，但解釋上應當以該公務員有故意或重大過失者為限。 三、依本法第4條第2項規定，必須受委託行使公權力之團體或個人，其執行職務之人於行使公權力時，有故意或重大過失時，才能以該受託之團體或個人為求償對象。 （參考條文：本法第2條第3項、第3條第5項、第4條第2項） ,4259,110-07-19 16:35,112-10-02 09:30,臺北市政府法務局
2023-12-16 23:55:46,https://legalaffairs.gov.taipei/News_Content.aspx?n=DEF40458BDBBF08D&sms=87415A8B9CE81B16&s=B13765CE1AEC3701,求償權的請求時效期間如何計算？, 賠償義務機關的求償權，必須從支付被害人賠償金或回復原狀之日起2年內行使，否則此項權利將因2年期間的經過而消滅。（參考條文：本法第8條第2項） ,3998,106-07-27 16:55,112-10-02 09:30,臺北市政府法務局
2023-12-16 23:55:48,https://legalaffairs.gov.taipei/News_Content.aspx?n=DEF40458BDBBF08D&sms=87415A8B9CE81B16&s=55F4D3ABBD16CDEA,國家賠償的方法是什麼？, 國家如須負損害賠償責任，應當以金錢賠償為原則，但被害人如認為其情形以回復原狀為適當者，可以請求回復損害發生前的原狀，所謂以回復原狀為適當，例如名譽受侵害的情形，可以請求採取使名譽回復的適當措施，例如採取登報公開道歉等方式。（參考條文：本法第7條第1項） ,3844,106-07-27 16:55,112-10-02 09:30,臺北市政府法務局
2023-12-16 23:55:50,https://legalaffairs.gov.taipei/News_Content.aspx?n=DEF40458BDBBF08D&sms=87415A8B9CE81B16&s=C006D997EFEAC8E7,國家賠償的經費來源如何？, 國家賠償所需經費，應由各級政府編列預算支應。因此，臺北市政府每年均編列國家賠償預算以支應國家賠償所需經費。（參考條文：國家賠償法第7條第2項） ,4760,106-07-27 16:55,112-10-02 09:30,臺北市政府法務局
2023-12-16 23:55:52,https://legalaffairs.gov.taipei/News_Content.aspx?n=DEF40458BDBBF08D&sms=87415A8B9CE81B16&s=5E3C633D70279421,請求權人可否不經先行協議，直接向法院提起訴訟？, 本法第10條第1項規定：「依本法請求損害賠償時，應先以書面向賠償義務機關請求之。」依此規定，被害人民就其所受損害，向國家請求損害賠償時，不能逕向法院提起損害賠償之訴，而應先向賠償義務機關以書面提出請求。這是國家賠償法關於損害賠償請求權之行使，在程序上所設的特別規定，目的在於便利人民，並使賠償義務機關有機會先作處理，簡化賠償程序，避免訟累，而疏減訟源。倘請求權人未先進行此一程序，逕向法院提起損害賠償訴訟，那麼法院將會依民事訴訟法第249條第1項規定，以其訴為不合法，予以裁定駁回。（參考條文：本法第10條、民事訴訟法第249條） ,4048,106-07-27 16:55,112-10-02 09:30,臺北市政府法務局
2023-12-16 23:55:55,https://legalaffairs.gov.taipei/News_Content.aspx?n=DEF40458BDBBF08D&sms=87415A8B9CE81B16&s=73B9B636A9AFA1A3,請求權人請求協議時，須提出那些文件？, 一、被害人就其所受損害，向國家請求賠償時，應先向賠償義務機關以書面提出請求。此項書面應載明左列事項，由請求權人或代理人簽名或蓋章。（一）請求權人的姓名、性別、出生年月日、出生地、身分證統一編號、職業、住所或居所。請求權人為法人或其他團體者，則應載明其名稱及主事務所或主營業所及代表人之姓名、性別、住所或居所。（二）有代理人者，其姓名、性別、出生年月日、出生地、身分證統一編號、職業、住所或居所。（三）請求賠償的事實、理由及證據。（四）請求損害賠償的金額或回復原狀的內容。（五）賠償義務機關。（六）年、月、日。二、另外，請求權人如委任代理人與賠償義務機關進行協議，代理人應當在開始從事協議行為時，提出委任書。又如請求權人是無行為能力人或限制行為能力人時，前述協議必須由其法定代理人代為進行，該法定代理人並應於開始從事協議行為時，提出法定代理權的證明。至於什麼人有法定代理權，則應依民法（例如民法第1086 條規定，父母為未成年子女的法定代理人）。（參考條文：本法施行細則第7條、第13條、第17條、民法第1086條） ,3997,106-08-03 14:38,112-10-02 09:30,臺北市政府法務局
2023-12-16 23:55:57,https://legalaffairs.gov.taipei/News_Content.aspx?n=DEF40458BDBBF08D&sms=87415A8B9CE81B16&s=182C2E7B1800B704,請求權人能否委託代理人請求協議？又代理人有無人數上的限制？, 一、請求權人如因忙碌或其他原因，不能親自與賠償義務機關進行協議時，可以委任代理人與賠償義務機關進行協議。二、至於請求權人可以委任多少代理人，法律上並沒有限制，但如果所委任的代理人在二人以上，那麼各個代理人均可單獨代理請求權人，請求權人委任代理人如有違反此項規定，對於賠償義務機關不生效力。（參考條文：本法施行細則第7條、第9條。） ,3242,106-07-27 16:54,112-10-02 09:30,臺北市政府法務局
2023-12-16 23:55:59,https://legalaffairs.gov.taipei/News_Content.aspx?n=DEF40458BDBBF08D&sms=87415A8B9CE81B16&s=B36D8D3C35A7FDBB,協議期日、協議處所由誰指定？可否更改？, 一、所謂協議期日，是指賠償義務機關會同協議關係人開始協議或繼續協議的時間，依規定應由賠償義務機關指定。協議期日一旦確定，原則上不宜輕易變更或延展；但如有正當理由，例如因災變、道路發生障礙等，預計協議關係人不能在原定期日到達，非變更期日不可；或因案情繁雜，非延展原定期日，不能達成協議時，賠償義務機關可以依職權或依申請變更原定協議期日。二、協議處所是指賠償義務機關會同協議關係人在協議期日從事協議行為的處所，此處所原則上是賠償義務機關辦公的處所。但若賠償義務機關認為以在其他處所進行協議為適當時，也可在其他處所進行。（參考條文：本法施行細則第29條、第32條） ,3356,106-07-27 16:54,112-10-02 09:30,臺北市政府法務局
2023-12-16 23:56:01,https://legalaffairs.gov.taipei/News_Content.aspx?n=DEF40458BDBBF08D&sms=87415A8B9CE81B16&s=3F3AC56751248180,倘若賠償義務機關對於請求權人的請求置之不理，請求權人應如何處理？, 賠償義務機關收到請求權人的請求書以後，必須馬上加以處理，並決定究竟應拒絕賠償或開始協議，以通知請求權人。倘若賠償義務機關自請求權人提出請求之日起逾30日仍不開始協議，請求權人即可直接向法院提起損害賠償訴訟。（參考條文：本法第11條） ,3025,106-07-27 16:53,112-10-02 09:30,臺北市政府法務局
2023-12-16 23:56:04,https://legalaffairs.gov.taipei/News_Content.aspx?n=DEF40458BDBBF08D&sms=87415A8B9CE81B16&s=00AFDF71E41ECE45,臺北市政府各機關處理國家賠償事件之依據為何？, 臺北市政府為處理本府及所屬各機關學校國家賠償事件，特訂定「臺北市政府國家賠償事件處理要點」以茲遵循。故本府各機關處理國家賠償事件，除依據國家賠償法、國家賠償法施行細則等法令之規定外，係依本要點之規定辦理。針對應予賠償之案件，亦訂有「臺北市政府國家賠償事件賠償計算基準」，俾利損害賠償協議金額之計算有所依循。 （參考資料：臺北市政府國家賠償事件處理要點、臺北市政府國家賠償事件賠償計算基準） ,4169,112-09-06 16:32,112-10-02 09:30,臺北市政府法務局
