NO,Administrative district,Riverside Park,Location,Type,Remark,Latitude,Longitude,Lat_TWD97,Long_TWD97
N1,士林區,雙溪左岸河濱公園,復興橋旁,一般型,,25.099698,121.536668,2776927.92,304127.99
N2,士林區,雙溪左岸河濱公園,士林橋捷運橋上游約10公尺處,無障礙,,25.099139,121.524111,2776861.03,302861.72
N3,士林區,雙溪右岸河濱公園,福林橋下,無障礙,,25.100833,121.52675,2777049.7,303127.16
N4,士林區,雙溪右岸河濱公園,文昌橋下游籃球場旁,一般型,,25.098806,121.521667,2776823.19,302615.35
N5,士林區,百齡左岸河濱公園,承德橋下,一般型,,25.077306,121.521056,2774441.48,302562.91
N6,士林區,百齡左岸河濱公園,大龍抽水站出水口,一般型,,25.078774,121.516781,2774602.43,302131.0287
N7,士林區,百齡左岸河濱公園,體健設施區,一般型,,25.08175,121.513889,2774930.96,301838.04
N8,士林區,百齡左岸河濱公園,溜冰場,一般型,,25.085583,121.512722,2775355.08,301718.7
N9,士林區,百齡左岸河濱公園,溜冰場,一般型,,25.085565,121.512725,2775353.08,301719.01
N10,士林區,百齡左岸河濱公園,百齡橋下,無障礙,,25.088411,121.512198,2775668.12,301664.66
N11,士林區,百齡左岸河濱公園,百齡橋下,一般型,,25.088338,121.512219,2775660.04,301666.81
N12,士林區,百齡左岸河濱公園,百齡橋下,一般型,,25.087972,121.512278,2775619.53,301672.91
N13,士林區,百齡左岸河濱公園,百齡橋下游籃球場區,一般型,,25.08996,121.512176,2775839.69,301661.789
N14,士林區,百齡左岸河濱公園,百齡橋下游籃球場區,一般型,,25.091417,121.511917,2776000.98,301635.05
N15,士林區,百齡左岸河濱公園,社子棒球場,一般型,,25.093569,121.505854,2776237.042,301022.5988
N16,士林區,百齡左岸河濱公園,社子棒球場,一般型,,25.093339,121.507451,2776212.17,301183.7774
N17,士林區,百齡左岸河濱公園,星光廣場（三角公園）,一般型,,25.09425,121.502889,2776311.36,300723.25
N18,士林區,百齡左岸河濱公園,星光廣場（三角公園）,無障礙,,25.094252,121.50283,2776311.56,300717.3
N19,士林區,百齡右岸河濱公園,承德橋下,無障礙,,25.078532,121.521093,2774577.29,302566.12
N20,士林區,百齡右岸河濱公園,體育局球場,一般型,,25.082306,121.516639,2774993.6,302115.21
N21,士林區,百齡右岸河濱公園,體育局球場,一般型,,25.084,121.515972,2775180.98,302047.21
N22,士林區,百齡右岸河濱公園,體育局球場,無障礙,,25.084,121.515972,2775203.13,302047.12
N23,士林區,百齡右岸河濱公園,洲美一抽水站旁,無障礙,,25.085944,121.515583,2775396.27,302007.15
N24,士林區,百齡右岸河濱公園,體育局球場,一般型,,25.085944,121.515583,2775396.16,302007.15
N25,士林區,百齡右岸河濱公園,體育局球場,無障礙,,25.087167,121.515417,2775531.56,301989.89
N26,士林區,百齡右岸河濱公園,體育局球場,一般型,,25.089333,121.515111,2775771.37,301958.1
N27,士林區,百齡右岸河濱公園,百齡橋下,一般型,,25.090072,121.514938,2775853.15,301940.34
N28,士林區,百齡右岸河濱公園,體育局球場,一般型,,25.093,121.513778,2776177.03,301822.1
N29,士林區,百齡右岸河濱公園,體育局球場,無障礙,,25.092964,121.513812,2776173.06,301825.55
N30,士林區,百齡右岸河濱公園,體育局球場,一般型,,25.093972,121.513,2776284.4,301743.22
N31,士林區,百齡右岸河濱公園,體育局球場,一般型,,25.094722,121.512306,2776367.21,301672.9
N32,北投區,河雙21號河濱公園,自行車租借站,一般型,,25.097417,121.509028,2776664.47,301341.14
N33,北投區,河雙21號河濱公園,自行車租借站,無障礙,,25.097419,121.50898,2776664.68,301336.3
N34,北投區,洲美共構段,洲美大橋下,一般型,,25.101444,121.498944,2777106.73,300322.39
N35,北投區,洲美共構段,五分港木棧橋入口,一般型,,25.109767,121.498462,2778028.459,300270.376
N36,北投區,洲美共構段,自行車越野場地,一般型,,25.113889,121.499028,2778485.25,300325.77
N37,北投區,洲美共構段,自行車越野場地,無障礙,,25.113881,121.499019,2778484.36,300324.87
N38,北投區,關渡防潮堤,貴子坑溪口,一般型,,25.115222,121.485389,2778627.88,298949.76
N39,士林區,關渡自然公園,西南側賞鳥廣場,一般型,,25.11525,121.468556,2778624.99,297252.17
N40,大同區,延平河濱公園,廣澤宮,一般型,,25.062222,121.508417,2772765.84,301294.18
N41,士林區,延平河濱公園,國順疏散門旁,一般型,,25.068923,121.509,2773508.299,301350.2039
N42,大同區,延平河濱公園,淡6敦煌水門,一般型,,25.076861,121.508222,2774387.26,301268.41
N43,大同區,延平河濱公園,淡6敦煌水門,無障礙,,25.076817,121.508253,2774382.4,301271.55
N44,士林區,延平河濱公園,重陽橋下,一般型,,25.085806,121.505139,2775376.9,300953.69
