Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2024-01-11 15:57:51,https://www.119.gov.taipei/News_Content.aspx?n=6EEFD6ACA51B8E33&sms=87415A8B9CE81B16&s=16AA1F1E6E0BEE62,有關住宅用火災警報器補助資格相關資訊?, 一、本局現階段針對5樓以下未設置火警自動警報設備之住宅辦理補助安裝住警器，其中符合以下條件者優先補助：(一)住戶1.低收入戶2.獨居長者3.身心障礙者4.65歲以上長者5.蝸居6.孕婦7.社工評估經濟弱勢需協助者8.12歲以下兒童(二)住宅類型1.提供居家事托育服務住宅2.鐵皮屋住宅3.30年以上住宅4.木造式建築5.狹窄巷弄地區6.住宅式宮廟7.資源回收用途8.裝設鐵窗住宅9.曾發生火災事故10.搶救困難地區11.搶救不意地區之居住處所12.其他屬消防法第六條第五項規定之住宅二、更多住警器訊息可參考下述網站：(一)本局住警器資訊網(https://www.rfd119.119.gov.taipei/)(二)本局網站(https://www.119.gov.taipei/)路徑: 首頁 > 下載專區 > 下載專區 > 各類消防安檢制度(防火管理、檢修申報、防焰制度、容留人數等)資訊 >臺北市政府消防局推廣設置住宅用火災警報器細部執行計畫。 ,167,112-11-03 18:30,112-11-03 18:30,臺北市政府消防局
2024-01-11 15:57:53,https://www.119.gov.taipei/News_Content.aspx?n=6EEFD6ACA51B8E33&sms=87415A8B9CE81B16&s=BCA2A30373BB4164,受困於電梯時，可否撥打119請求協助？, 您可以直接撥打119請求協助，主動告知受困地址、樓層及人數，並保持冷靜等候救援。 ,235,112-11-28 16:33,112-11-28 16:33,臺北市政府消防局
2024-01-11 15:57:55,https://www.119.gov.taipei/News_Content.aspx?n=6EEFD6ACA51B8E33&sms=87415A8B9CE81B16&s=C6C7D4F94EC1423D,店家瓦斯桶大量置於室內通風不良處或不當使用(如倒置地上、搖晃)時怎麼辦？, 可直撥119電話檢舉，俾便即刻派員到場處理。 ,175,112-11-03 18:30,112-11-03 18:30,臺北市政府消防局
2024-01-11 15:57:58,https://www.119.gov.taipei/News_Content.aspx?n=6EEFD6ACA51B8E33&sms=87415A8B9CE81B16&s=36F05E761F7E8036,本市若遇火山噴發情形，相關應變措施為何？, 一、鑑於「大屯火山群」經學者證實為活火山，並存在有岩漿庫，本府消防局業於101年委由臺灣大學研擬「臺北市火山災害防救應變機制之研究」研究案，訂有「火山預警訊號分級表」、「火山災害疏散撤離流程」等緊急應變處理機制。二、本府消防局復於106年9月4日邀請中央行政院災防辦公室、消防署、國家災害防救科技中心(NCDR)、中央氣象局、經濟部地質調查所、大屯火山觀測站林正洪主任等相關單位開會研商火山災害之緊急應變機制。三、在火山災害經立法院於106年11月7日三讀通過，將火山災害納入災害防救法之天然災害中，並由內政部擔任災害防救業務主管機關。本府消防局亦著手撰寫「大屯火山災害防救應變計畫」，並於107年辦理火山災害之相關演練及兵棋推演，邀請中央相關等單位參與演練，以檢視本府因應火山災害各種應變作為、避難疏散及收容安置等措施，每年均定期年更新相關資料。四、依國外實務經驗及研究指出，火山活動係有潛伏期，其應變時間相對較長，本府因應火山災害之緊急應變處置作為如下：(一)當火山災害發生或有發生之虞時，本府消防局將依訂定之「大屯火山災害防救應變計畫」有關災害規模、狀況及救災需要，向市長報告後成立市級與區級災害應變中心，以統籌指揮調度各項救災資源。(二)本府將進行公告劃定管制區域，限制或禁止民眾、車輛進入或通行，迅速採取正確之緊急警戒管制作業，視災況疏散居民，引導至安全避難處所，透過各種措施與協助，妥善收容安置受災居民，以保障市民生命安全。(三)若災情規模過大，本府無法因應時，本市災害應變中心得依相關規定向中央或外縣市或國軍申請支援協助，必要時得實施跨縣市之疏散與避難收容安置措施。(四)持續處理火山灰引發之空污停班停課及設定飛機航班起降標準，水質改善及供水機制，影響健康的改善措施以及淤泥的清除。(五)在災後復原階段中，將辦理災民中長期收容及補助機制。五、本局已於109年7月26日、110年11月4日、111年9月7、8日及112年9月12日辦理教育訓練課程，對象包括士林、北投潛勢區域內或鄰近之里鄰長、里幹事、防災士及警消單位、學校及幼兒園、醫療院所及護理之家，老人及身心障礙機構等相關人員，後續將依每年排程安排訓練對象。六、每年與大屯火山觀測站合作於本局辦理之「119防災宣導活動」與「國家防災日防災教育宣導活動」中，設置攤位，以生動活發，簡明易懂的方式，向民眾宣導火山災害的影響。 ,252,113-01-08 09:50,113-01-08 09:50,臺北市政府消防局
2024-01-11 15:58:01,https://www.119.gov.taipei/News_Content.aspx?n=6EEFD6ACA51B8E33&sms=87415A8B9CE81B16&s=AB7E7FCD40A24F68,防災科學教育館參觀注意事項, 1.民眾入館得免戴口罩，惟有發燒或呼吸道症狀、 年長者或免疫低下者(或與其密切接觸者)建議要戴口罩。2.每日參觀人數上、下午上限恢復至原250人，參觀時間與開館時間同步，維持樓層分流參觀以保持社交距離。3.部分展區人數限制如下：o  風雨體驗室：每日上、下午各開放20名體驗（15歲以上）。o  地震VR密室逃脫：每日上、下午各開放10名體驗 （15歲以上，團體預約優先）。o  小小消防衣著裝體驗區：供學齡前幼童使用。4.其他例行性事項：o  逢星期一、春節連假(除夕、初一及初二)固定休館，如遇突發狀況需休館，則於本館網站內公告。o  入館參觀時間為AM：09：00~12：00(最晚入場時間為11:00)、PM：14：00~17：00(最晚入場時間為16:00)。o  為維持良好參觀品質，建議您提前預約，可預約3~90天內之日期；其他時間請致電本館由專人為 您服務。o  本館得依現場狀況安排併團參觀，造成不便請見諒。o  為維護設施設備完善及您的安全，參觀本館應遵守服務人員指引，本館禁止飲食及吸菸，參觀期間請勿喧嘩與奔跑。o  本館不提供停車服務，如果您有任何預約相關問題，歡迎洽詢預約專線：(02)2791-9786。 ,917,112-10-06 13:44,112-10-06 13:44,臺北市政府消防局
2024-01-11 15:58:03,https://www.119.gov.taipei/News_Content.aspx?n=6EEFD6ACA51B8E33&sms=87415A8B9CE81B16&s=ED9CE043E986D896,可以選擇拒收「災防告警細胞廣播服務訊息」(簡稱CBS或PWS)嗎？, 除國家級警報外，其餘告警訊息用戶端皆可經由手機介面設定開啟或關閉。參考資料來源:台灣電信產業發展協會-災防告警系統問答集http://www.emfsite.org.tw/PWS/p2.html ,146,113-01-05 11:33,113-01-05 11:33,臺北市政府消防局
2024-01-11 15:58:05,https://www.119.gov.taipei/News_Content.aspx?n=6EEFD6ACA51B8E33&sms=87415A8B9CE81B16&s=E3141DA89D9F78E3,如何分辨收到的是「災防告警細胞廣播服務訊息」(簡稱CBS或PWS)而不是惡作劇簡訊？, 目前行動寬頻業者提供的訊息傳遞服務，計有一般簡訊服務(SMS)及細胞廣播服務(CBS)二類。手機於第一時間收到災防告警訊息時，會發出特殊聲響及震動(依使用者設定)，但收到一般簡訊不會有此提醒方式。惡作劇簡訊係以一般簡訊進行傳遞，各用戶可以清楚識別。參考資料來源:台灣電信產業發展協會-災防告警系統問答集http://www.emfsite.org.tw/PWS/p2.html ,189,113-01-05 11:39,113-01-05 11:39,臺北市政府消防局
2024-01-11 15:58:07,https://www.119.gov.taipei/News_Content.aspx?n=6EEFD6ACA51B8E33&sms=87415A8B9CE81B16&s=53CB5BED6BDB670A,聽、視障人士是否可以清楚瞭解「災防告警細胞廣播服務訊息」(簡稱CBS或PWS)內容?, 手機接獲災防告警訊息時，除訊息內容外，尚有特殊可資識別之特殊聲響、振動，可供聽、視障人士辨識。另視障人士亦可透過手機內建的Talkback(適用Android手機)或voiceover(適用iOS手機)功能朗讀災防告警訊息，俾及早掌握離災、避災等因應作為。（參考資料來源:國家通訊傳播委員會災防告警服務專區-告警訊息解惑篇https://www.ncc.gov.tw/chinese/news.aspx?site_content_sn=3736&is_history=0） ,147,113-01-05 11:36,113-01-05 11:36,臺北市政府消防局
2024-01-11 15:58:09,https://www.119.gov.taipei/News_Content.aspx?n=6EEFD6ACA51B8E33&sms=87415A8B9CE81B16&s=3D7459CA95474214,新興傳染性疾病注意事項?, 有關新興傳染性疾病(如：嚴重特殊傳染性肺炎)相關問題，請撥打1922或臺北市防疫專線（02-2375-3782）洽詢。 ,198,112-11-27 14:28,112-11-27 14:28,臺北市政府消防局
2024-01-11 15:58:12,https://www.119.gov.taipei/News_Content.aspx?n=6EEFD6ACA51B8E33&sms=87415A8B9CE81B16&s=3CE3A27BECF2A0AA,手機在什麼情形下，會收不到災防告警訊息？, 用戶手機無法收到告警訊息的原因推估如下：一、訊息發送時，您正在語音通話中。二、訊息發送時，正在使用3G異質網路上網。三、手機是否開啟飛航模式或未插入SIM卡。四、手機經設定拒收「警訊通知」、「緊急警報」或「測試用訊息」。五、手機未更新韌體，不具接收全部災防告警訊息功能。六、手機所在位置無基地臺訊號涵蓋。七、訊息發送時，手機所在位置非災防機關所指定之區域。(資料來源: 國家災害防救科技中心災防告警細胞廣播訊息網站－常見問題，網址: https://cbs.tw/faq) ,360,113-01-05 11:38,113-01-05 11:38,臺北市政府消防局
