Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2023-12-17 12:45:23,https://www.dep.gov.taipei/News_Content.aspx?n=ACEFA960B5A4ACD7&sms=87415A8B9CE81B16&s=5C30737B8CEEDCC7,國內是否有臭蟲案件統計資料？, 臭蟲屬滋擾性害蟲，臭蟲叮咬奇癢無比，無證據會傳播人類疾病，透過清理檢查環境，可達防治效果，因此並無相關統計資料，至於是否因臭蟲叮咬就醫診治紀錄，建議向衛生單位洽詢。 ,37.0,112-12-04 17:25,112-12-04 17:25,臺北市政府環境保護局水質病媒管制科
2023-12-17 12:45:25,https://www.dep.gov.taipei/News_Content.aspx?n=ACEFA960B5A4ACD7&sms=87415A8B9CE81B16&s=24080D2338DC0A49,國外報導臭蟲肆虐且對藥劑產生抗藥性，是否屬實？, 1.媒體報導歐美國家的臭蟲對除蟲菊精類藥劑產生抗藥性，經洽詢本署環境用藥管理專家諮詢會委員臺灣大學徐爾烈名譽教授，臭蟲係易隨旅運行李等攜帶移動之滋擾性昆蟲，國外帶入國內臭蟲是否有抗藥性尚待證實。2.國內核准登記用於防治臭蟲之一般環境用藥係經藥效試驗有效產品，包含除蟲菊精類（第滅寧、治滅寧、必列寧、百滅寧、畢芬寧…等）成分藥劑外，尚有含新菸鹼類（益達胺）成分藥劑，民眾可依需求選用。 ,35.0,112-12-04 17:23,112-12-04 17:23,臺北市政府環境保護局水質病媒管制科
2023-12-17 12:45:27,https://www.dep.gov.taipei/News_Content.aspx?n=ACEFA960B5A4ACD7&sms=87415A8B9CE81B16&s=4173B0EF8A368DED,居家發現臭蟲，如何處理？, 家中發現臭蟲，可以下列方式處理：曝曬：草蓆或箱子發現臭蟲，可裝入塑膠袋中並綁緊進行曝曬，袋中溫度超過65℃可防治臭蟲。清洗：懷疑有臭蟲的衣物，則可集中裝入塑膠袋中綁緊，避免臭蟲逃逸，然後拿到洗衣機清洗。熱蒸：可使用熱蒸汽熨斗進行蒸汽防治。勤捉：善用吸塵器勤捉，有效防治臭蟲。5.選用合法環境用藥：如果民眾要使用化學防治，可購買環境部核准登記用於防治臭蟲之一般環境用藥，目前核准臭蟲的環境用藥許可證共有6張、2張特殊環境用藥許可證，相關資訊可至化學署環境用藥許可證及病媒防治業網路查詢系統查詢(網址https://mdc.moenv.gov.tw/PublicInfo)，防蟲也要注意自身安全，當臭蟲存在範圍較廣、情形嚴重時，可請合格的病媒防治除蟲公司代為處理。 ,47.0,112-12-04 17:24,112-12-04 17:24,臺北市政府環境保護局水質病媒管制科
2023-12-17 12:45:28,https://www.dep.gov.taipei/News_Content.aspx?n=ACEFA960B5A4ACD7&sms=87415A8B9CE81B16&s=C7230D04B86C799D,如何避免將臭蟲帶回家？, 1.國外旅遊回來(1)在國外旅行時，應檢查居住地的床舖、被褥是否有臭蟲或臭蟲排遺（血液斑）。(2)國外旅行回來後，立即清洗衣服和檢查行李，避免攜帶臭蟲回家。2.居家環境檢查及管理(1)環境檢查a.床罩、床單、枕頭套、地毯、床墊下、床架下、壁紙的接縫處、床沿等處，看看是否發現有臭蟲或臭蟲排遺（血液斑）。b.二手傢俱搬回家前，檢查有沒有臭蟲的蹤跡。(2)環境管理a.床罩、床單、枕頭套應經常清洗。b.地毯應時常以吸塵器清理。c.壁紙接縫處應黏著好。d.牆壁隙縫應填補。e.減少雜物堆積。 ,22.0,112-12-04 17:20,112-12-04 17:20,臺北市政府環境保護局水質病媒管制科
2023-12-17 12:45:28,https://www.dep.gov.taipei/News_Content.aspx?n=ACEFA960B5A4ACD7&sms=87415A8B9CE81B16&s=0D160EDD3E4B1870,臭蟲從哪裏來？躲藏在哪裏？, 由於國際旅遊往返頻繁，民眾自國外回來後，如果不注意，就可能自國外將臭蟲帶回家。臭蟲常藏身在牆壁、地板的裂痕或裂縫中，也可能藏在床墊下或是老舊家具中。臭蟲通常在黎明前吸血，每次吸血約5~10分鐘，白天躲藏在掩蔽處慢慢消化吸食的血液。臭蟲叮咬奇癢無比，且會持續1-2週，被咬後如為一般紅腫，可用外用止癢藥，但如果情況嚴重者，則應就醫診治。 ,37.0,112-12-04 16:45,112-12-04 16:45,臺北市政府環境保護局水質病媒管制科
2023-12-17 12:45:30,https://www.dep.gov.taipei/News_Content.aspx?n=ACEFA960B5A4ACD7&sms=87415A8B9CE81B16&s=4437B02415917E97,臭蟲是什麼？, 臭蟲又稱床蝨(bedbug) ，與人類生活相關的臭蟲有二種，一為溫帶臭蟲(Cimex lectularius)，另一為熱帶臭蟲(C. hemipterus)。臭蟲的生命週期，一般可存活一年，依食物充足否及溫度不同，雌性臭蟲可產卵200至400顆。 ,38.0,112-12-04 16:51,112-12-04 16:51,臺北市政府環境保護局水質病媒管制科
2023-12-17 12:45:32,https://www.dep.gov.taipei/News_Content.aspx?n=ACEFA960B5A4ACD7&sms=87415A8B9CE81B16&s=3AD811CAE820CA23,可以現金繳納木柵垃圾焚化廠垃圾代焚化處理費嗎?, 代清除機構受託清除廢棄物經本局同意進廠者，應依本局調度進廠，並採每半個月以金融機構匯款方式繳納本廠垃圾代焚化處理費。不定時產出廢棄物(臺北市境內產出為限)，經本廠同意自行清運進廠者，則請以悠遊卡支付，進廠前請將悠遊卡加值至足額，若需以現金付費者，本廠僅於週三開放臨櫃現金支付，請申請於該時段進廠。若您尚有繳費上問題請撥服務專線(02)2230-0800分機321由專人為您解說。 ,113.0,112-10-26 13:16,112-11-17 15:02,臺北市政府環境保護局木柵垃圾焚化廠
2023-12-17 12:45:35,https://www.dep.gov.taipei/News_Content.aspx?n=ACEFA960B5A4ACD7&sms=87415A8B9CE81B16&s=41CF9278DCE0DDB8,申請臺北市112年度住宅社區創能儲能及節能補助E方案(補助低收入戶汰換電冰箱)，須準備哪些文件？, 住宅社區創能儲能及節能補助E方案，請準備下列文件： 申請表。申請者身分證明文件：國民身分證或中華民國居留證正反面影本。低收入戶證明文件影本。補助黏貼地址證明文件：最近半年內其中一期臺灣電力股份有限公司「非營業」類用戶電費單影本（須包含：電號、用電地址、用電類型）。載明產品型號之購買證明文件(統一發票收執聯或收據)影本（購買證明文件未載明產品型號時，應加附產品保證書或出貨單等相關單據）。產品1級能效證明影本。廢四機回收聯單正本或影本（請向販售業者索取）。申請人金融機構存摺影本(戶名應與申請人一致，含戶名及帳號)。注意事項：1. 購置的發票或收據日期須在112年9月18日(含)以後。2. 申請者可以於「臺北市政府智慧節電網」（網址:http://energy.gov.taipei）最新消息下載申請書（方案E）。3.申辦方式有臨櫃、郵寄等2種-郵寄申請：請寄至地址【110204臺北市信義區市府路1號7樓北區，環保局氣候變遷管理科】。臨櫃申請：請於上班日上午9時至中午12時、下午2時至5時止，親送至【市府路1號1樓東區環保局專櫃收件】。 ,199.0,112-10-24 10:58,112-11-21 14:22,臺北市政府環境保護局
2023-12-17 12:45:37,https://www.dep.gov.taipei/News_Content.aspx?n=ACEFA960B5A4ACD7&sms=87415A8B9CE81B16&s=92091817536462C1,申請臺北市112年度住宅社區創能儲能及節能補助D方案(補助住宅安裝玻璃隔熱膜)，須準備哪些文件？, 住宅社區創能儲能及節能補助D方案，請準備下列文件：申請表。申請者身分證明文件：國民身分證或中華民國居留證正反面影本。補助黏貼地址證明文件：最近半年內其中一期臺灣電力股份有限公司「非營業」類用戶電費單影本（須包含：電號、用電地址、用電類型）。載明產品型號之購買證明文件（統一發票收執聯或收據等，日期應於當年度公告受理日期以後），購買證明文件未載明產品型號時，應加附產品保證書或出貨單等相關單據。檢附施工黏貼前、後照片。申請玻璃隔熱膜補助條件文件（請於購買施作前先行確認黏貼之玻璃隔熱膜條件是否符合本計畫要求）。申請人金融機構存摺影本（須有帳號及戶名）佐證資料影本。注意事項：購置的發票或收據日期須在112年9月18日(含)以後。如已確定欲購置品牌型號，購置前，檢測報告部分如不確定，可先來電詢問該型號製造廠商是否已有提供符合本計畫之檢測報告予本局，以避免貼錯致無法申請補助。申請者請於「臺北市政府智慧節電網」（網址:http://energy.gov.taipei）最新消息下載申請書（方案D）。申辦方式有臨櫃、郵寄等2種-郵寄申請：請寄至地址【110204臺北市信義區市府路1號7樓北區，環保局氣候變遷管理科】。臨櫃申請：請於上班日上午9時至中午12時、下午2時至5時止，親送至【市府路1號1樓東區環保局專櫃收件】。 ,226.0,112-10-24 11:02,112-11-21 14:22,臺北市政府環境保護局
2023-12-17 12:45:37,https://www.dep.gov.taipei/News_Content.aspx?n=ACEFA960B5A4ACD7&sms=87415A8B9CE81B16&s=32A05FEA8517A51A,有關廢土如何丟棄?, 有關家戶廢棄或盆栽土壤，請與資源回收物分開裝妥攜出後，交付線上資源回收車清潔人員處理。 ,598.0,112-11-15 18:10,112-11-15 18:10,臺北市政府環境保護局資源循環管理科
