Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2023-12-17 18:54:11,https://www.doed.gov.taipei/News_Content.aspx?n=246C24A9734A9FCD&sms=87415A8B9CE81B16&s=77F017612329BF82,【臺北市產業發展獎勵補助計畫】百貨公司設櫃位是否能申請場地租金費用補貼?, 場地租金費用補貼適用於計畫舉辦之各項廣宣活動，但不適用於常設性展櫃。 ,80.0,112-10-06 14:34,112-12-12 16:17,臺北市政府產業發展局工商服務科
2023-12-17 18:54:13,https://www.doed.gov.taipei/News_Content.aspx?n=246C24A9734A9FCD&sms=87415A8B9CE81B16&s=7F28A17C55D1501C,「台北數位企業發展中心」提供之數位轉型資源為何？, 提供6大服務資源，幫你步步到位；更多數位轉型相關訊息，請上「台北數位企業發展中心」網站查詢。1.數位轉型諮商室：問得到專業顧問給你的分析與建議。2.數位交流分享會：聽得到專家及產業前輩的成功之道。3.數位創新工作坊：學得到企業轉型心法與思考。4.數位補給站：找得到產業最實用的解決方案。5.數位轉型導入計畫：做得到自己設定的藍圖目標。6.數位應用博覽會：看的到各項數位應用主題與服務。 ,83.0,112-09-04 14:25,112-12-12 16:17,臺北市政府產業發展局工商服務科
2023-12-17 18:54:15,https://www.doed.gov.taipei/News_Content.aspx?n=246C24A9734A9FCD&sms=87415A8B9CE81B16&s=1AF71E6F91311651,【服務業汰換補助】112年臺北市服務業節能補助受理申請時間為何？申請人資格？補助品項有哪些?要如何申請?, 1.受理申請期間：自112年7月3日起至補助預算額度申請額滿為止。2.申請人資格：設立登記並於本市營業的公司、行號或法人，申請時應提供登記證明文件佐證或其他經產業局認定可以證明在本市從事服務業者。但各級政府機關、公立醫院學校及其出資捐助逾百分之五十以上之法人除外。3.補助品項：無風管空氣調節機、接風管空氣調節機、照明燈具、室內停車場智慧照明、電冰箱、冷凍櫃、冷凍(藏)庫、空氣門簾及電扇。4.受理收件方式：臨櫃：臺北市政府產業發展局「服務業汰換補助櫃台」(臺北市信義區市府路1號1樓北區60號服務櫃台)。5.受理時間：上班日上午8時30分至下午5時30分。6.其他：臺北市服務業節能設備汰換補助服務中心諮詢專線為0800-580-037，相關資訊可於「臺北市服務業節能汰換補助服務中心」查詢下載。 ,251.0,112-07-13 11:26,112-12-12 16:17,臺北市政府產業發展局公用事業科
2023-12-17 18:54:17,https://www.doed.gov.taipei/News_Content.aspx?n=246C24A9734A9FCD&sms=87415A8B9CE81B16&s=CD86BECB8ABFFE37,【服務業汰換補助】只有稅籍登記可以申請補助嗎？, 可以，只要於本市營業，即使只有稅籍登記之商家、服務業者，都可以提出申請。 ,259.0,112-07-13 11:25,112-12-12 16:17,臺北市政府產業發展局公用事業科
2023-12-17 18:54:19,https://www.doed.gov.taipei/News_Content.aspx?n=246C24A9734A9FCD&sms=87415A8B9CE81B16&s=41DBF0A9A4385A78,【服務業汰換補助】汰換分離式、窗型、箱型冷氣得申請補助項目有哪些？補助標準為何？," 無風管空氣調節機：汰舊換新後之設備，應符合經濟部公告之「無風管空氣調節機容許耗用能源基準與能源效率分級標示事項、方法及檢查方式」所規範之一級新品，額定冷氣能力每kW補助新臺幣2,500元，每案補助金額新臺幣150萬元以上者，負擔自籌款應超過補助金額。接風管空氣調節機：汰舊換新後之設備，應符合經濟部公告之「無風管空氣調節機容許耗用能源基準與能源效率分級標示事項、方法及檢查方式」所規範之一級新品，氣冷分離式或水冷式空氣調節機之室外機，搭配其系列型號室內機之新品，每kW補助新臺幣2,500元，每案補助金額新臺幣150萬元以上者，負擔自籌款應超過補助金額。 ",206.0,112-07-13 11:24,112-12-12 16:17,臺北市政府產業發展局公用事業科
2023-12-17 18:54:22,https://www.doed.gov.taipei/News_Content.aspx?n=246C24A9734A9FCD&sms=87415A8B9CE81B16&s=21952F420074F514,【服務業汰換補助】汰換室內停車智慧照明、辦公室及營業場所LED照明燈具得申請補助項目有哪些？補助標準為何？, 照明燈具：汰舊換新後之照明燈具，僅限發光二極體（LED）之各式燈具，且經能源局核准登錄之節能標章、「發光二極體平板燈具」、「天井燈」、「筒燈及嵌燈」、「出口及避難指示燈」、「室內照明燈具」、「辦公室及營業 場所燈具」獲證之新品。每具補助百分之五十費用，照明燈具每具以新臺幣500元為上限，每案補助金額新臺幣150萬元以上者，自籌款應超過補助金額。室內停車場智慧照明：換裝智慧照明之發光效率應達120lm/W以上，且符合CNS 14115(電器照明與類似 設備之射頻干擾限制值與量測方法)及CNS 14335(燈具安全通則)等認證；或符合經濟部公告之「室內停車場智慧照明燈具節能標章能源效率基準與標示方法」， 經能源局核准登錄之節能標章「室內停車場智慧照明燈具」獲證之新品。且至少須部分或全部具備自動開關、調光或時序控制等一項以上智慧照明控制功能。每案補助金額未滿新臺幣150萬元者，每盞補助百分之五十費用，且以新臺幣五百元為上限，每案補助金額新臺幣150萬元以上者，負擔自籌款應超過補助金額。 ,355.0,112-07-13 11:22,112-11-16 14:07,臺北市政府產業發展局公用事業科
2023-12-17 18:54:24,https://www.doed.gov.taipei/News_Content.aspx?n=246C24A9734A9FCD&sms=87415A8B9CE81B16&s=93C45E8D29AC200B,【服務業汰換補助】單換燈管(包含室內停車場智慧照明)也可以申請補助嗎？, 112年燈具補助僅補助「整座燈具」，補助上限為新臺幣500元。 ,138.0,112-07-13 14:29,112-11-16 14:07,臺北市政府產業發展局公用事業科
2023-12-17 18:54:26,https://www.doed.gov.taipei/News_Content.aspx?n=246C24A9734A9FCD&sms=87415A8B9CE81B16&s=1011D4E323CAB85F,【服務業汰換補助】汰換中央空調設備得申請補助項目有哪些？補助標準為何？, 中央空調系統：汰舊換新項目至少須包含冰水主機設備，且冰水主機須符合經濟部能源局公告「蒸氣壓縮式冰水機組容許耗用能源基準與能源效率分級標示事項 方法及檢查方式」依冰水機組製冷能源效率分級基準表，製冷能源效率分級基準性能係數(COP)為1級之機種。汰換中央空調得申請補助項目包含汰舊換新後之設備包含冰水主機及週邊附屬設備，以及安裝前揭設備直接使用之材料零件。工程施作費用包含保險費用、職安衛費用、既有設備拆除清運費用及其他工程施作必要之費用。如非屬工程施作必要之項目(如裝修費用…)不予補助。每案補助百分之三十為原則，搭配冰水機組連鎖控制系統最佳化，最高可補助百分之四十申請單位為中小企業，或用電地址位於內湖區、南港區、松山區、中山區(松江路以東)等四個申請用電受台電公司核供限制之行政區域且契約用電容量超過八百瓩以上者，補助比例提高百分之十。補助金額以新臺幣300萬元為上限，每案補助金額新臺幣150萬元以上者，負擔自籌款應超過補助金額。 ,253.0,112-07-13 11:16,112-09-04 14:36,臺北市政府產業發展局公用事業科
2023-12-17 18:54:28,https://www.doed.gov.taipei/News_Content.aspx?n=246C24A9734A9FCD&sms=87415A8B9CE81B16&s=F6AF98A178BF0907,【服務業汰換補助】汰換電冰箱申請補助項目有哪些？補助標準為何？, 汰舊換新後之設備，應符合經濟部能源局公告之「電冰箱容許耗用能源基準與能源效率分級標示事項、方法及檢查方式」所規範之一級風扇式冷凍冷藏電冰箱、直冷式冷凍冷藏電冰箱或冷藏式電冰箱。每台產品每公升（L）補助新臺幣二十元，且以新臺幣八千元為上限。(以經濟部能源局網站公布為準) ,115.0,112-07-13 11:11,112-09-04 14:36,臺北市政府產業發展局公用事業科
2023-12-17 18:54:31,https://www.doed.gov.taipei/News_Content.aspx?n=246C24A9734A9FCD&sms=87415A8B9CE81B16&s=27C5987E0104188C,【服務業汰換補助】汰換冷凍櫃申請補助項目有哪些？補助標準為何？, 汰舊換新後之設備，應符合經濟部能源局公告之「冷凍櫃（箱）節能標章能源效率基準與標示方法」取得節能標章之廠牌、型號之新品。每台產品每公升（L）補助新臺幣二十元，且以新臺幣八千元為上限。(節能標章產品清單以經濟部能源局網站公布為準) ,148.0,112-07-13 11:10,112-09-04 14:36,臺北市政府產業發展局公用事業科
