Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2023-12-17 21:21:49,https://rdec.gov.taipei/News_Content.aspx?n=9244F59F04B36BF1&sms=87415A8B9CE81B16&s=BAE26358EE407E34,請問研考會有那些管制考核的工作?, 除了為民服務考核、公文考核及本府所屬市營事業機構年度經營績效考核之外，本會亦列管「府管計畫」、「本市執行院頒『道路交通秩序與交通安全改進方案』」、「市政會議市長指裁示事項後續辦理情形」、「災害防救督考」、「臺北市議會市政總質詢、市長施政報告(含專案報告)等議員質詢事項後續辦理情形追蹤列管」及其他臨時交辦之專案查證等。如有任何疑問，可洽詢研考會管制考核組，聯絡電話：(02)27208889轉7782。 ,5100,107-01-03 15:24,112-09-26 16:48,臺北市政府研究發展考核委員會
2023-12-17 21:21:51,https://rdec.gov.taipei/News_Content.aspx?n=9244F59F04B36BF1&sms=87415A8B9CE81B16&s=16EC262DC7A0935C,如何查閱臺北市政府各機關之政府出版品？哪裡可以借閱或購買政府出版品？, 本府各機關之政府出版品依規定寄存於「國家圖書館」、「立法院國會圖書館」、「國立臺灣圖書館」、「臺北市立圖書館」、「國立臺灣大學圖書館」、「國立公共資訊圖書館」、「臺南市立圖書館」、「國立東華大學圖書館」、「高雄市立圖書館（總館）」、「屏東縣立圖書館（總館）」等10處圖書館供民眾借閱，並於「五南文化廣場」及「國家書店」等服務據點進行展售。 另「臺北市資料大平臺」提供民眾便利之本府出版品查詢服務，歡迎多加利用。如有任何疑問，可洽詢研考會公文及圖資管理組，聯絡電話：(02)27208889轉2276。 ,2447,112-11-14 17:19,112-11-14 17:19,臺北市政府研究發展考核委員會
2023-12-17 21:21:54,https://rdec.gov.taipei/News_Content.aspx?n=9244F59F04B36BF1&sms=87415A8B9CE81B16&s=96E8343970482FAE,請問1999視障話務中心之服務內容為何?, 1999目前有12名視障話務人員，服務項目以勞工權益、民政、教育、社會救助與衛生局業務有關的諮詢服務為主，市民撥打1999後，依照語音指示按「2」，即可由視障話務人員，為民眾提供相關的諮詢服務。 ,2138,112-09-06 10:13,112-09-26 16:48,臺北市政府研究發展考核委員會
2023-12-17 21:21:56,https://rdec.gov.taipei/News_Content.aspx?n=9244F59F04B36BF1&sms=87415A8B9CE81B16&s=745BEE5102C120A7,請問哪裏可以下載1999 LOGO檔案？, 請至臺北市政府研究發展考核委員會網頁（https://rdec.gov.taipei/Default.aspx），左側『檔案下載』區就可以下載1999 LOGO圖檔。 ,2052,112-03-10 08:03,112-09-26 16:48,臺北市政府研究發展考核委員會
2023-12-17 21:21:58,https://rdec.gov.taipei/News_Content.aspx?n=9244F59F04B36BF1&sms=87415A8B9CE81B16&s=0431EF16897ABB45,為何撥通1999後，需要聽冗長語音宣告後才能轉接話務人員？, 本府1999市民熱線之第一層進線語音係配合本市各項政策實施、重大活動辦理及災害事件發生等，向民眾宣達即時重大訊息所使用，若民眾已熟悉相關服務選項，則不需等到語音播放結束即可逕行按鍵選擇或直撥本府各機關分機號碼而略過該層語音；惟其中如按「9」接洽1999話務人員前，為確保民眾知悉1999相關電話服務規定，現行系統設計於民眾根據自身服務需求按「1」或「2」進行分流後（選項1反映建議市政問題、選項2詢問市政問題或轉接單位），仍將撥放第二層語音說明提醒而無法略過，並於接通話務人員後始計算10分鐘通話時間。 ,2062,112-02-20 17:13,112-09-26 16:48,臺北市政府研究發展考核委員會
2023-12-17 21:22:00,https://rdec.gov.taipei/News_Content.aspx?n=9244F59F04B36BF1&sms=87415A8B9CE81B16&s=03DF20D86733DB39,使用Skype或LINE軟體時若遭遇問題時如何解決？, 只要通話者雙方都有Skype或LINE的帳號，並使用配有網路攝影機及足夠頻寬的電腦或行動裝置，就能隨時進行免費的Skype或LINE視訊通話，Skype軟體由PChome& Skype公司（連結網址：https://www.pchomeskype.com.tw/ https://www.pchomeskype.com.tw/）提供，而LINE軟體由LINE公司（連結網址：https://line.me/zh-hant/ https://line.me/zh-hant/）提供，於該公司網頁中官網之「客服中心」或「常見問答搜尋」網頁皆可查詢民眾常問的問題，若仍未獲致解決，則可透過「客服信箱」與該公司進一步聯繫。 ,2254,112-02-20 17:11,112-09-26 16:48,臺北市政府研究發展考核委員會
2023-12-17 21:22:03,https://rdec.gov.taipei/News_Content.aspx?n=9244F59F04B36BF1&sms=87415A8B9CE81B16&s=94261FD8C2807D6C,1999檢舉案件提供個人資料是否有洩密之可能?, 本府為保護檢舉人的個人資料，已採取嚴格控管措施，檢舉人資料一經登錄後，話務人員都無權查閱；檢舉人個資將提供給承辦機關調閱聯繫，且有權限查閱者之查閱紀錄亦會由資訊系統完整保留，俾憑查究洩密責任，以確保民眾的權益。 ,5607,108-06-14 09:08,112-09-26 16:48,臺北市政府研究發展考核委員會
2023-12-17 21:22:05,https://rdec.gov.taipei/News_Content.aspx?n=9244F59F04B36BF1&sms=87415A8B9CE81B16&s=8856BF9801DBB1AF,為何使用公用電話無法免費?, 因本市公共電話有多種型式，分布亦較為零散，在免付費設定作業上，較市話及行動電話設定費成本金額高，鑑於「1999臺北市民當家熱線」提供市政諮詢、派工、陳情、轉接等非緊急市政業務之服務，不同於110、119之緊急報案性質，另目前所有縣市之1999都未開放公共電話撥打免費。 ,2712,108-05-16 14:15,112-09-26 16:48,臺北市政府研究發展考核委員會
2023-12-17 21:22:07,https://rdec.gov.taipei/News_Content.aspx?n=9244F59F04B36BF1&sms=87415A8B9CE81B16&s=250C8CE1AAC9CA8F,為何1999話務中心有10分鐘通話/轉接限制？, 一、目前本府1999話務中心平均每月服務約16萬通市民來電，為珍惜社會資源，避免通話時間過長而佔用其他市民即時需要「1999」服務的機會，且根據本府1999話務中心統計，民眾撥打「1999」查詢市政資訊、要求派工或反映陳情案件的平均服務時間約在4分鐘，為考慮若干市民向1999陳情，需要較長的通話時間，且兼顧其他市民需要1999服務的權益，而合理將通話時間的上限設定為10分鐘。二、本會業已於系統進行電話分流設定，若民眾需較長時間與本府各機關同仁洽詢較細項之市政問題，可撥打市政總機02-27208889（使用者付費電話）並直撥分機號碼（不經「9」由話務人員轉接），即可不受前述通話時間限制。 ,3449,112-06-27 12:08,112-09-26 16:48,臺北市政府研究發展考核委員會
2023-12-17 21:22:09,https://rdec.gov.taipei/News_Content.aspx?n=9244F59F04B36BF1&sms=87415A8B9CE81B16&s=F998C9B84EDE9FAD,為何在臺北市以手機撥打1999卻是轉到新北市?, 「1999」簡碼為國家通訊傳播委員會，統一律定用以取代各地方政府原7~8碼便民專線之簡碼以方便民眾記憶及使用，在臺北市撥打1999等同於撥打市政府總機，因此縣市交界民眾使用市話或網路電話撥打1999，由於各縣市1999落地碼不同，並不會產生受話端錯誤之情形；至於使用手機撥打1999，因電信業者縣市交界地區基地臺設置位置，造成有部分通訊信號由新北市或臺北市之基地臺接收，因此會發生在臺北市撥打卻由新北市接收之情形。 建議使用者如在縣市交界處使用手機，請改撥縣市政府總機，如臺北市政府總機為02-27208889、新北市政府總機為02-29603456。另外，本市自111年8月起，您只要使用台北通App撥打1999網路電話，無論發話地區，皆能尋求1999臺北市民當家熱線服務，而且不需支付通話費。 ,10807,112-02-20 17:20,112-09-26 16:48,臺北市政府研究發展考核委員會
