Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2023-12-17 17:17:07,https://dosw.gov.taipei/News_Content.aspx?n=91F35523B74F69AC&sms=87415A8B9CE81B16&s=31E6532E26DF5404,臺北市政府婦女中途之家住戶於假日發生緊急安全事故、肢體暴力、自殺、須緊急送醫, 住戶於假日發生緊急安全事故、肢體暴力請聯繫110或113，自殺、須緊急送醫情形請聯繫119、手機下載視訊119 APP並使用視訊119報案求助。若有其他疑問可於家園內向住戶自治委員會主任委員、副主任委員反應，住戶自治委員會主任委員、副主任委員聯繫方式公布於中途之家一樓公佈欄。 ,1585.0,112-12-15 09:52,112-12-15 09:52,臺北市政府社會局婦女福利及兒童托育科
2023-12-17 17:17:09,https://dosw.gov.taipei/News_Content.aspx?n=91F35523B74F69AC&sms=87415A8B9CE81B16&s=0BA60CE5468EEB9A,臺北市政府婦女中途之家房屋使用費大約多少？," 婦女中途之家房舍共有七層樓，1樓有6戶獨立套房D室(11.5坪)使用費每月新臺幣6,200元；2至7樓每層4戶，每戶三房使用費每月新臺幣9,600元，如僅使用房間分別為A室(4.8坪，分租套房)使用費每月新臺幣4,300元、B室(3.3坪，分租雅房)使用費每月新臺幣3,000元、C室(2.5坪，分租套房)使用費每月新臺幣2,300元，保證金依使用費2倍計算。若有其他疑問可洽詢婦女中途之家社工人員，洽詢電話:02-27208889(台北市內請撥1999)分機1712、1714。 ",4059.0,112-12-15 09:52,112-12-15 09:52,臺北市政府社會局婦女福利及兒童托育科
2023-12-17 17:17:09,https://dosw.gov.taipei/https://service.gov.taipei/Case/ApplyWay/201903120009,臺北市政府婦女中途之家申請流程如何？,[],,112-12-15 09:52,112-12-15 09:52,臺北市政府社會局婦女福利及兒童托育科
2023-12-17 17:17:11,https://dosw.gov.taipei/News_Content.aspx?n=91F35523B74F69AC&sms=87415A8B9CE81B16&s=AD9E3614A0588465,我是臺北市政府婦女中途之家的住戶，遇到緊急狀況該怎麼辦?, (一)發生重大意外狀況，如用火不慎、肢體暴力、自殺、緊急安全事故等，均請先撥打110、119或手機下載使用視訊119 APP求救再通報婦女中途之家工作人員後續處理。(二)電梯故障，請電三菱電梯（02）2733-4463派員修繕，無須付費。(三)公共水電無法正常運作，請電晟功水電（02）2702-4567或電謝老闆：0935078102協助檢查處理。(四)交誼廳大門感應無法開啟，請電中興保全至現場處理，門禁部門電話：0800-043777。(五)住家發生竊案或疑似入侵情事，請先保持現狀，撥打110或電臥龍派出所（02）2733-4439或2737-5413。(六)房門卡死無法開啟，造成住戶無法進出，請先自行找鎖匠處理，若因使用不當而無法開門需自費，若因鎖頭故障而無法開門，則請將收據(抬頭為臺北市政府社會局)交予婦女中途之家管理員，由本局負擔費用。提供以下鎖店供參考:龍傑鎖店(02)2700-5883、德昇鎖店(02)2704-7912建安鎖店(02)2703-6932、國際鎖店(02)2755-1695大內高手0800343434（24小時)(七)其他狀況需聯繫工作人員，請洽住戶自治委員會主委代為聯繫婦女中途之家社工督導，主委聯絡方式公告於家園一樓公布欄。 ,2039.0,112-12-15 09:51,112-12-15 09:51,臺北市政府社會局婦女福利及兒童托育科
2023-12-17 17:17:14,https://dosw.gov.taipei/News_Content.aspx?n=91F35523B74F69AC&sms=87415A8B9CE81B16&s=9BD77D727E8F6083,臺北市政府婦女中途之家可以居住多久?, 居住期間以一年為原則，如有延長居住需求，可申請續約，續約由社會局評估認定，並以一次為限。 ,1769.0,112-12-15 09:51,112-12-15 09:51,臺北市政府社會局婦女福利及兒童托育科
2023-12-17 17:17:16,https://dosw.gov.taipei/News_Content.aspx?n=91F35523B74F69AC&sms=87415A8B9CE81B16&s=40EC24EBDFF42F9C,是否單親婦女就可申請進住臺北市政府婦女中途之家？," 1、單親婦女須為設籍本市之市民，或與本市市民辦理結婚登記之新移民，因離婚、喪偶、夫服刑或失蹤、未婚懷孕或其他家庭變故等因素，獨立照顧共同生活之18歲以下未婚子女，並符合下列條件：（1）申請人及其子女總收入，平均每人每月不超過新臺幣2萬5,844元。（112年標準）（2）申請人及其子女動產平均每人不超過新臺幣57萬396元。（112年標準）（3）不動產全戶不超過新臺幣650萬元。（4）申請人及其子女均無自有住宅。（5）申請人能自理其家庭生活。（6）未成年申請人，須經法定代理人同意後才可申請。2、有意申請進住者，請檢附申請表內所需文件，並經訪視評估符合進住標準，於領收進住同意函後，即可於文到日次日起30日內安排進住，若有疑問請逕洽臺北市政府婦女中途之家，電話:1999(外縣市請撥打02-27208889)分機1712、1714。  ",2897.0,112-12-15 09:50,112-12-15 09:50,臺北市政府社會局婦女福利及兒童托育科
2023-12-17 17:17:18,https://dosw.gov.taipei/News_Content.aspx?n=91F35523B74F69AC&sms=87415A8B9CE81B16&s=DE2E642B4A3691CF,申請進住臺北市政府婦女中途之家的應備文件為何？, 1、臺北市政府婦女中途之家進住申請書。2、國稅局稽徵所開立之最新年度各類所得資料清單及財產歸屬資料清單。(申請人及申請進住之子女)3、3個月內區域級以上醫院一般體格健康檢查證明，檢查項目以申請書載明內容為主。(申請人及申請進住之子女)4、其他證明文件，如(中)低收入戶證明影本、學生證影本、身心障礙證明影本、離婚判決書及確定書影本、警察機關受(處)理案件證明單等。若有其他疑問可洽詢婦女中途之家社工人員，洽詢電話:1999(外縣市請撥打02-27208889)分機1712、1714。 ,1769.0,112-12-15 09:50,112-12-15 09:50,臺北市政府社會局婦女福利及兒童托育科
2023-12-17 17:17:18,https://dosw.gov.taipei/News_Content.aspx?n=91F35523B74F69AC&sms=87415A8B9CE81B16&s=FCA7B84F49F165EC,身心障礙者房屋租金補貼何時發放?, 本補貼每月25日發放，若遇假日提前1日發放。 ,1396.0,112-12-13 13:37,112-12-13 13:37,臺北市政府社會局身心障礙者福利科
2023-12-17 17:17:21,https://dosw.gov.taipei/News_Content.aspx?n=91F35523B74F69AC&sms=87415A8B9CE81B16&s=1968EFF49F48362A,已領取身心障礙者房屋租金補貼，死亡時如何處理?, 請向本局身心障礙者福利科通報註銷本補貼。 ,667.0,112-12-13 13:37,112-12-13 13:37,臺北市政府社會局身心障礙者福利科
2023-12-17 17:17:23,https://dosw.gov.taipei/News_Content.aspx?n=91F35523B74F69AC&sms=87415A8B9CE81B16&s=E39FAC5C3B5A8327,"身心障礙者房屋租金補貼之補助期限未到期,但租賃契約書或身心障礙證明到期,該如何辦理?"," 身心障礙者房屋租金補貼之補助期限為1年，若有下列情形請填妥租金補貼異動申請書並檢附新租賃契約書或新身心障礙證明辦理延長：1.租賃契約書到期者，檢附新租賃契約書影本,註明坪數及租屋現址。2.身心障礙證明到期者，檢附新身心障礙證明正反面影本。 ",926.0,112-12-13 13:35,112-12-13 13:35,臺北市政府社會局身心障礙者福利科
