Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2023-12-16 23:38:31,https://sec.gov.taipei/News_Content.aspx?n=8DE2BED8879F898F&sms=87415A8B9CE81B16&s=9BDC49864D1B8D04,本府各機關學校如何訂購電子報紙共同供應契約？, 本府各機關學校可依業務需求，自行訂購電子報紙共同供應契約，操作方式如下：(一)請具有採購帳號權限的承辦同仁至「政府電子採購網」（https://web.pcc.gov.tw/pis/），輸入帳號及密碼，登入系統。(二)至工具列的「共同供應契約－適用機關／商品查詢／快速查詢」，於查詢內容欄位輸入欲採購項目，例如：「單一據點使用型」或 「帳號登入使用型」。(三)出現查詢結果後，依需求自行選購。(四)如有相關操作問題，歡迎逕洽本府合作廠商「春水堂科技娛樂股份有限公司」（如附檔廠商聯絡窗口），或撥打該公司客服電話0800-007-368。 ,317,112-04-13 17:36,112-11-08 12:00,臺北市政府秘書處
2023-12-16 23:38:34,https://sec.gov.taipei/News_Content.aspx?n=8DE2BED8879F898F&sms=87415A8B9CE81B16&s=84B4B3AF24F9F8D4,如何閱讀本市政大樓之電子報紙及雜誌？, 本市政大樓提供電子報紙及雜誌之場域閱讀服務，閱讀方式如下：(一)開啟您的手機或平板，下載Hami Book的APP，並允許GPS定位，只要位於本市政大樓服務場域內，即可使用該服務。(二)本服務定位於本市政大樓，每次啟用後使用時間為240分鐘，逾時將自動登出，如需再次使用，應重新啟用定位閱讀。(三)如有相關操作問題，歡迎逕洽本府合作廠商「春水堂科技娛樂股份有限公司」（如附檔廠商聯絡窗口），或撥打該公司客服電話0800-007-368。 ,283,112-04-13 17:36,112-11-08 12:00,臺北市政府秘書處
2023-12-16 23:38:36,https://sec.gov.taipei/News_Content.aspx?n=8DE2BED8879F898F&sms=87415A8B9CE81B16&s=DC03FBF68550EA5D,本府112至113年度租用派遣計程車共同供應契約內容？, (一)履約期限：本案履約期限自112年1月1日起至113年12月31日止或至總訂購金額達本案總預算金額新臺幣（下同）790萬元為止，兩者以先屆者為準；各適用機關得自行決定是否利用本共同供應契約辦理採購，並依實際需要斟酌訂購。(二)內容：本案分2項決標，執行上限分別為490萬元及300萬元，契約內容明如下：1.第1項為派遣車隊車輛數達400輛以上之大車隊，得標廠商為「大都會平台科技股份有限公司」，折扣率為92.25%。2.第2項為一般車隊（車輛數不限），得標廠商為「共享車隊股份有限公司」，折扣率為90%。 ,245,112-04-13 17:16,112-11-08 12:00,臺北市政府秘書處
2023-12-16 23:38:38,https://sec.gov.taipei/News_Content.aspx?n=8DE2BED8879F898F&sms=87415A8B9CE81B16&s=68084296D3C6F15E,本府112至113年度租用派遣計程車共同供應契約優惠？," (一)本案優惠為車資之折扣數，按各機關月結總車資計算，如超過4,000元以上，超過部分給予折扣。(二)前述車資，應按乘車當次上車地點交通主管機關公告之計程車費率跳錶計費（含行駛國道高速公路收費路段時之國道計程通行費）。 ",181,112-04-13 17:13,112-11-08 12:00,臺北市政府秘書處
2023-12-16 23:38:40,https://sec.gov.taipei/News_Content.aspx?n=8DE2BED8879F898F&sms=87415A8B9CE81B16&s=63486F6D3C559648,本府112至113年度租用派遣計程車共同供應契約訂購方式？, (一)本案訂購方式採由各機關視需求自行前往政府電子採購網(https://web.pcc.gov.tw/pis/)訂購。(二)電子採購網下訂路徑：共同供應契約（適用機關）－商品查詢－人力資源－公務計程車租用－臺北市政府工務局。 ,201,112-05-05 16:38,112-11-08 12:00,臺北市政府秘書處
2023-12-16 23:38:43,https://sec.gov.taipei/News_Content.aspx?n=2B183BC654F4DB82&sms=87415A8B9CE81B16&s=AC186152766FB5AD,如何得知市長及市府重要新聞？, 可至本府官網上方點選「市政公告」之Banner，並選擇「市長新聞稿專區」及「市府新聞稿」即可查詢相關新聞。 ,103,112-08-08 10:22,112-11-08 12:00,臺北市政府秘書處
2023-12-16 23:38:45,https://sec.gov.taipei/News_Content.aspx?n=2B183BC654F4DB82&sms=87415A8B9CE81B16&s=BC15F8579A2460BC,市長新聞稿專區的文字及照(圖)片是否可以轉載使用？, (一)本府市長新聞稿，乃著作權法第9條第1款之公文，不為著作權之標的。(二)本府市長新聞稿照(圖)片，可作為新聞報導使用，且須註明出處，其他用途之利用請洽媒體事務組。 ,102,112-08-08 10:21,112-11-08 12:00,臺北市政府秘書處
2023-12-16 23:38:47,https://sec.gov.taipei/News_Content.aspx?n=CB1C1C1C749A485A&sms=87415A8B9CE81B16&s=099E61A41CAA0D5A,我想知道案件刊登臺北市政府公報情形，該如何查詢？, 您可至臺北市政府電子公報資訊網，於右上方公報查詢欄位，輸入關鍵字查詢；或可點選「進階查詢」，輸入您所需要的查詢條件進行查詢。 ,226,112-11-01 20:46,112-11-08 12:00,臺北市政府秘書處
2023-12-16 23:38:53,https://sec.gov.taipei/News_Content.aspx?n=CB1C1C1C749A485A&sms=87415A8B9CE81B16&s=65B2EF3A57D822E4,我想要收到臺北市政府公報電子檔，該怎麼做？, 您可至臺北市政府電子公報資訊網電子報訂閱區，輸入您接收電子公報資訊的電子信箱、選擇訂閱內容，並輸入畫面上驗證碼後，按下確認訂閱。再至您剛剛輸入的電子郵件信箱執行驗證，確認訂閱作業，即可定期收到您訂閱的電子公報資訊。 ,191,112-11-01 20:50,112-11-08 12:00,臺北市政府秘書處
2023-12-16 23:38:56,https://sec.gov.taipei/News_Content.aspx?n=CB1C1C1C749A485A&sms=87415A8B9CE81B16&s=C58F8C10F2628BDB,承辦單位遺失已收文編號之公文時，應如何處理？, 承辦單位因故遺失已收文編號之公文，請先洽請原發文機關補發公文後，沿用原收文日期及原收文號。聯繫電話：1999(外縣市02-2720-8889)轉6076 ,13862,112-05-08 14:34,112-11-08 12:00,臺北市政府秘書處
