Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2024-01-11 16:05:17,https://www.feitsui.gov.taipei/News_Content.aspx?n=0060C298117FAD8E&sms=87415A8B9CE81B16&s=FAE1F3D046C80D2E,如果發生強烈地震，大壩會不會潰壩？, 翡翠大壩具有極佳耐震能力，不致於發生潰壩。1.翡翠大壩耐震安全性高，於規劃設計時，即採取「大震不倒，中震可修，小震不壞」之原則，比照核能電廠的耐震標準設計翡翠大壩，可抵抗7級地震。2.大壩遭受地震侵襲時，壩體內設置之警報型強震儀會同步自動啟動大壩安全監測系統，密集自動監測大壩結構變化行為，以利工程師評估大壩安全性，並依據「臺北翡翠水庫管理局地震緊急應變作業程序」之SOP進行相關安全檢查作業，確保地震後大壩安全無虞。3.倘大壩確認有受損情形時，除依據「翡翠水庫緊急洩降計畫」進行洩降庫水，直到確保受損壩體之穩定安全外，並同步通報相關單位協助救災與修復。  ,9515,112-12-07 09:26,113-01-04 14:02,臺北翡翠水庫管理局
2024-01-11 16:05:20,https://www.feitsui.gov.taipei/News_Content.aspx?n=0060C298117FAD8E&sms=87415A8B9CE81B16&s=C31E6FAB0CEBB9C7,臺北水源特定區之建築主管機關為何？, 臺北水源特定區之建築主管機關為經濟部水利署臺北水源特定區管理分署，連絡電話：02-29173282~5)。臺北水源特定區位於大臺北都會區東南隅，面積廣達717平方公里，行政區域包含坪林、烏來全區及部份石碇、雙溪與新店等5區。  ,11261,112-11-29 14:47,113-01-04 14:02,臺北翡翠水庫管理局
2024-01-11 16:05:22,https://www.feitsui.gov.taipei/News_Content.aspx?n=0060C298117FAD8E&sms=87415A8B9CE81B16&s=AE963FC224213EA2,請問欲參訪翡翠水庫要如何申請？ , 一、平日參訪：時間：每週一、二、四、週五上班日，分上下午兩個時段，每個時段以2小時為限，上午時段為09:30~11:30，下午時段為14:00~16:00。對象：以團體為單位，包括政府機關、學校、人民團體或公私營事業單位等。參訪人數：原則為30~150人，若屬公務、學術交流不受以上人數限制，請先洽本局秘書室環境教育股(02-26664997)。申請方式：請至本局環境學習中心網頁-環教參訪報名專區報名。(http://activity.feitsui.gov.tw/)二、假日參訪：除本局於年度內辦理之活動(大臺北水源故鄉巡禮)外，星期例假日則不接受申請。如欲查看活動日期請至本局環境學習中心網頁-環教參訪報名專區查詢。(http://activity.feitsui.gov.tw/)。  ,20188,112-11-21 10:32,113-01-04 14:02,臺北翡翠水庫管理局
2024-01-11 16:05:24,https://www.feitsui.gov.taipei/News_Content.aspx?n=0060C298117FAD8E&sms=87415A8B9CE81B16&s=68A1F5B96A48C4DE,翡翠水庫有哪些宣導項目可供民眾參加？ , 團體參訪：本活動受理政府機關、學校、人民團體或公私營事業單位等報名參訪水庫，參訪人數原則為30~150人，若屬公務、學術交流不受以上人數限制，請先洽本局秘書室環境教育股(02-26664997)。環教課程：本活動受理政府機關、學校、人民團體或公私營事業單位等報名參加本局環境教育課程，並提供上課學員2小時環境教育學習時數，上課人數原則為25~80人，公務、學術交流不受以上人數限制，請先洽本局秘書室環境教育股(02-26664997)。大臺北水源故鄉巡禮：本活動舉辦於周末假日，透過室內多媒體影片欣賞以及戶外健行導覽，沿途並由志工提供解說服務，為民眾介紹翡翠水庫的水利設施及生態環境，充分體驗翡翠之美。學生導覽：翡管局提供專屬課程供國小高年級學童至本局參訪，透過室內課程及戶外學習，強化學童水資源保育觀念，將愛水、惜水、護水理念紮根至學童的日常生活教育中。水資源保育研習營：翡管局於每年度提供免費遊覽車，供臺北市以及新北水源特定區內之國小高年級學童參加本活動，經由互動的活動體驗，讓學生對於水資源保育有一整體概念，體會水之得來不易，進而能夠更加珍惜寶貴水資源。備註：欲報名以上宣導項目，或查詢詳細內容、日期及簡章等，請至本局環境學習中心網頁-環教參訪報名專區查詢。(http://activity.feitsui.gov.tw/) ,10226,112-11-21 10:31,113-01-04 14:02,臺北翡翠水庫管理局
2024-01-11 16:05:26,https://www.feitsui.gov.taipei/News_Content.aspx?n=0060C298117FAD8E&sms=87415A8B9CE81B16&s=D70FAA2FDF6B9A9A,翡翠樹蛙是如何命名的？, 翡翠樹蛙因在翡翠水庫附近發現而得名，為臺灣特有種保育類中大型樹蛙，分布在臺灣北部南、北勢溪流域、宜蘭等低海拔山區，例如新店廣興、烏來娃娃谷、宜蘭福山植物園，宜蘭礁溪等地。背部為翠綠色， 虹膜、過眼線及顳褶皆呈金黃色。繁殖季為每年3-11月，雄蛙5-6公分，雌蛙6-8公分，常在丘陵地的矮密樹叢及水容器、水溝附近出沒。雄蛙通常在水邊的植物體上鳴叫，叫聲是短促的「呱阿」。雌蛙受雄蛙叫聲吸引，主動接近雄蛙並在樹上形成配對及產卵。  ,8072,112-11-21 10:30,113-01-04 14:02,臺北翡翠水庫管理局
2024-01-11 16:05:28,https://www.feitsui.gov.taipei/News_Content.aspx?n=0060C298117FAD8E&sms=87415A8B9CE81B16&s=B7AF7C7059D4D13B,烏來杜鵑有何珍貴之處？, 烏來杜鵑為臺灣特有種，因其葉似柳，又名柳葉杜鵑，牠是臺灣 15種杜鵑屬植物中分布最狹隘、族群數量最少的一支。1922年由英國植物學家Wilson在北勢溪河岸所發現，也就是在鸕鶿潭附近，73年水庫初期蓄水時唯一之生育地被淹沒，原本以為烏來杜鵑從此淹沒在水庫之下，所幸在民國77年8月20日被公告為法定珍貴稀有植物，十多年來在相關單位的努力復育之下，每年3月已可在翡翠水庫辦公區、壩區及上游原生地附近，看到烏來杜鵑壯觀的花海。水庫集水區在三十多年來的人為管制之下，保有豐富而多樣的生態環境，這也是翡翠水庫長期以來得以穩定供應潔淨水源的重要因素之一，相信在水庫開發與生態保育之間可以達成平衡，兩者共存共榮。  ,8368,112-11-21 10:30,113-01-04 14:02,臺北翡翠水庫管理局
2024-01-11 16:05:32,https://www.feitsui.gov.taipei/News_Content.aspx?n=0060C298117FAD8E&sms=87415A8B9CE81B16&s=FCB92074FFAD4ACC,「蕨色翡翠」園區有何特色？, 臺灣是蕨類王國，翡翠水庫也擁有豐富的蕨類資源，經初步調查共有22科45屬110種。於民國96年由錫瑠綠化基金會協助規劃設置之「蕨色翡翠」園區，是臺灣水庫界首座蕨類戶外教室。園區規劃以演化順序為主軸，其中包括3億5千萬年前就有的古老蕨類，如全緣卷柏、松葉蕨等；還有2億多年前出現的中古蕨類，如瓶爾小草、觀音座蓮、粗齒紫萁、筆筒樹等；以及在1億多年前隨著開花植物悄悄現身的現代蕨類，如南洋山蘇花、東方狗脊蕨、過溝菜蕨等，具體而微地呈現臺灣蕨類世界的繽紛樣貌。蕨類植物雖多位於森林下層，仍具有防止土壤沖刷及涵養水源之功能。本局期透過蕨類生態導覽，讓參訪來賓親身體認生態保育與水資源保育之密切相關。  ,8052,112-11-21 10:29,113-01-04 14:02,臺北翡翠水庫管理局
2024-01-11 16:05:34,https://www.feitsui.gov.taipei/News_Content.aspx?n=0060C298117FAD8E&sms=87415A8B9CE81B16&s=6A108423590D5F6F,翡翠水庫是否可以釣魚、捕（撈）魚、行駛船筏浮具、放生或從事任何水上活動等行為?, 基於保護水源，水庫蓄水範圍內，並不受理申請任何使用行為，所以在翡翠水庫蓄水範圍內並不得從事釣魚、捕（撈）魚、行駛船筏浮具、放生或任何水上活動。翡翠水庫為供應大臺北地區600萬居民民生用水之重要水源，水庫水質一直是全國最優良之水庫之一，是一個以供應民生用水為單一目標的水庫。由於目前新水源開發不易，同時水庫也是環境敏感區域，為維持並保護優良水質，經濟部於107年1月8日公告「翡翠水庫管理機關、蓄水範圍及其管理事項」，翡翠水庫係以家用及公共給水為主要目標，基於保護水源，水庫蓄水範圍內，並不受理申請任何使用行為，所以在翡翠水庫蓄水範圍內不得從事釣魚等水上活動。  ,12426,112-11-21 10:28,113-01-04 14:02,臺北翡翠水庫管理局
2024-01-11 16:05:36,https://www.feitsui.gov.taipei/News_Content.aspx?n=0060C298117FAD8E&sms=87415A8B9CE81B16&s=E0699E10B4E44B26,翡翠大壩如何檢查，以確保大壩安全？, 大壩設有自動化監測儀器，每小時即時監測，搭配人工現場檢查，及每五年辦理大壩健康檢查，掌握大壩安全狀態。翡翠大壩在興建時就埋設各種監測儀器，所以現在每小時可利用精密儀器監視大壩的安全狀態，就好像醫生以心電圖、血壓計及斷層掃描機等對人體進行全身健康檢查一樣，並且定期或不定期進行現場目視檢查，及每五年依法規規定委託公正第三單位進行大壩整體安全檢查與評估，並報請中央經水庫安全評估小組邀請各學者專家複核通過，確認大壩耐震與安全，如此就可以完全掌握大壩的安全狀態。  ,7784,112-11-21 10:24,113-01-04 14:02,臺北翡翠水庫管理局
2024-01-11 16:05:38,https://www.feitsui.gov.taipei/News_Content.aspx?n=0060C298117FAD8E&sms=87415A8B9CE81B16&s=52DA2978915D6850,翡翠水庫平時放水廣播及洩洪(或調節性放水)廣播的方式？, 為確保水庫下游河道警戒區安全，當翡翠水庫進行放水(或洩洪)前，均會進行放水廣播，使於河道中活動人員儘速離開，避免發生危險，放水廣播分平時放水及洩洪(調節性放水)2類型，分別說明如下:1.平時放水廣播：翡翠水庫放水前20分鐘開始廣播，廣播範圍從水庫下游至直潭壩上游河床警戒區域。2.洩洪(或調節性放水)廣播：翡翠水庫洩洪(或調節性放水)前2小時開始廣播，並同時發送細胞廣播簡訊，廣播範圍為水庫下游北勢溪及新店溪河床警戒區域。 ,9750,112-12-01 17:20,113-01-04 14:02,臺北翡翠水庫管理局
