Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2024-01-05 17:28:55,,請問辛亥水安停車場位置?費率？開放時間? 可否使用悠遊卡?各有多少停車位?月租服務？身心障礙是否優惠?,辛亥水安停車場位於大安區長興街131號(辛亥路3段與芳蘭路交接處)；採24小時開放營業，現場可使用現金及悠遊卡繳費。營運初期尚無月租服務。辛亥水安停車場 XINHAIXUEIAN Parking Lot (62車格)臨時停車收費方式日期時段計費方式全年00:00~24:00平日每半小時20元(無最高上限)Weekday $20/ 30min(No Limitation)例假日及國定假日每半小時20元(無最高上限)Holiday $20/30min(No Limitation)營業時間：24Hr身心障礙者憑證前4小時免費、第4小時以後停車半價之優惠。如有停車詢問事宜，請電自來水園區管理中心服務電話(02)8369-5104洽詢。,,112-12-08 16:35,112-12-25 16:22,臺北自來水園區
2024-01-05 17:28:58,,如何申請用戶用水設備內線工程檢驗？,請點相關連結。,,112-11-01 16:36,112-12-28 10:18,臺北自來水事業處技術科
2024-01-05 17:29:00,,住家新購洗碗機，自來水硬度如何設定?,臺北自來水的硬度：新店溪為水源之長興、公館及直潭淨水場，出水量佔97.5%，總硬度均低於50mg/L，高地區域除陽明山第三湧泉水源約150mg/L外，其餘均低於100mg/L。一般礦物質的主要成分是碳酸氫鈣，當煮沸時會形成碳酸鈣，即俗稱的水垢，水中礦物質或水垢，並不會對人體健康造成影響，也無確切醫學證據顯示與結石有直接關係。依據世界衛生組織（WHO）所公佈之硬水與軟水的基準(依換算碳酸鈣含量為標準)，飲用水硬度0～60mg/L 為軟水、60～120mg/L 為中等程度的軟水、120～180mg/L 為硬水、大於180mg/L為超硬水。臺北自來水事業處供水硬度之各種硬度單位對照國家供水地區美國ppm(mg/L)德國（ºdH）英國（ºeH）法國（ºfH）其他(mmol/L)市區平地(新店溪及雙溪水源)30~401.7~2.22.1~2.83.0~4.00.3~0.4士林區故宮、東吳大學一帶及陽明山地區(士林水源、泉源、鹿角坑及陽明山區湧泉)55~953.1~5.33.9~6.75.5~9.50.55~0.95北投區中山北路7段附近(陽三水源)140~150 7.8~8.49.8~10.514~151.4~1.5各國硬度單位換算表國家美國德國英國法國其他硬度單位ppmºdHºeH (Clark)ºfHmmol/L毫克/公升10.0560.070.10.01,,112-08-28 20:23,112-12-25 16:22,臺北自來水事業處水質科
2024-01-05 17:29:02,,本市再生水(回收水)使用用途及取水方式,本處配合臺北市淨零排放管理自治條例第43條規定，推廣鼓勵使用再生水，並宣導本市道路與植栽之澆灌及洗灑以使用再生水為原則。 1.用途 再生水可用於公園噴灌、路樹澆灌、路面降溫、景觀用水及工地清洗等用途。 2.取水地點(1)迪化污水處理廠：地址：臺北市大同區酒泉街235號，電話：2596-4695。(2)內湖污水處理廠：地址：臺北市內湖區舊宗路二段2號，電話：8791-1152。 3.取用方式每日24小時免費提供取用，首次取用需填寫取用申請書，詳請至衛工處官網「再生水(回收水)專區」查詢。,,112-06-17 16:26,112-12-26 10:36,臺北自來水事業處業務科
2024-01-05 17:29:03,,如何辨別催繳簡訊真偽？,1.本處自112年11月30日起，發送號碼統一為「111」。112年11月29日前北水處簡訊以0961591999、0911511999、0974251999和0906511999代表號發送，結尾為1999，提醒民眾，收到催繳簡訊請先確認代表號。2.催繳簡訊提供該地址專屬網址，網址首段「https://pay.taipei/」，若網址首段不正確，切勿點擊！3.點擊後將導向臺北市政府智慧支付平台(pay.taipei)，如點擊後非本府智慧支付平台，切勿繳費！如有任何問題，請來電本處24小時客服專線02-87335678詢問。,,112-12-01 14:20,112-12-26 10:36,臺北自來水事業處業務科
2024-01-05 17:29:05,,家中自來水出現異藥味或水有顏色時，如何自行初步檢視是否為自家水池水塔等用水設備問題？,詢問非使用相同水池水塔之隔壁棟大樓或附近直接用水(不經水池水塔) 鄰居住戶是否有相同問題，若隔壁或附近鄰居住戶自來水均正常，初步判斷可能是您自家水池水塔等用水設備造成的問題，可撥打87335678聯絡水處協助現場檢驗，詳細判斷確切原因；亦可請參考水處網站/用戶服務/常見問答/水質類/用戶常見水質問題/相關內容進行自我檢視及研判。,,112-07-03 09:52,112-12-25 16:22,臺北自來水事業處水質科
2024-01-05 17:29:06,,什麼是電子帳單？,為響應節能減碳，減少紙張的耗用，本處提供以電子郵件及手機簡訊等方式發送繳費通知單，統稱為電子帳單。用戶可依自身需求選擇使用「E-Mail」或「手機簡訊」收取帳單，兩者皆享有「e帳單+e繳費，現賺10元」優惠方案。,,112-05-24 14:41,112-12-26 10:36,臺北自來水事業處業務科
2024-01-05 17:29:07,,什麼是簡訊帳單？,為提供更環保、便捷之繳費方式，可選擇以簡訊帳單收取繳費通知。簡訊帳單係透過簡訊發送繳費通知單連結於用戶登記在本處之手機號碼，點擊簡訊內之連結開啟帳單，可在繳費介面中自行選擇「行動支付」、「台灣Pay」、「全國繳費網」或「條碼繳費」繳付水費。若使用金融機構代扣繳水費之用戶，亦可申請簡訊帳單，每期水費扣款成功後發送簡訊通知，點擊簡訊內之連結，通過驗證後即可開啟繳費憑證。,,112-06-02 14:45,112-12-26 10:36,臺北自來水事業處業務科
2024-01-05 17:29:07,,簡訊帳單的發送時間？,帳單計費完妥次日即發送簡訊帳單，立即獲知水費相關訊息。,,112-03-10 12:39,112-12-26 10:36,臺北自來水事業處業務科
2024-01-05 17:29:07,,我已經申請電子帳單，還能申請簡訊帳單嗎？,本處提供電子帳單、簡訊帳單及紙本帳單等3種寄送方式，僅可擇一申請一種帳單寄送方式。如欲變更帳單寄送方式，可至「本處首頁/電子(簡訊)帳單省10元/立即申辦」重新設定。,,112-05-24 14:36,112-12-26 10:36,臺北自來水事業處業務科
