Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2024-01-11 15:14:02,https://health.gov.taipei/News_Content.aspx?n=416BCB37CFFAC913&sms=87415A8B9CE81B16&s=C6E08EC151CEB61F,第二類及第三類外國人逾期報備「定期健康檢查」，該怎麼辦？, 健檢合格者由衛生福利部疾病管制署公告之外國人健檢指定醫院進行上傳，健檢不合格者，若雇主「逾期」送交聘僱許可函影本及再檢查診斷證明書正本備查，將移送本府勞動局依就業服務法第67條規定裁處罰鍰。 ,10002.0,113-01-11 10:30,113-01-11 10:30,臺北市政府衛生局疾病管制科
2024-01-11 15:14:04,https://health.gov.taipei/News_Content.aspx?n=416BCB37CFFAC913&sms=87415A8B9CE81B16&s=CAF00A6D5CE02F6D,第二類及第三類外國人「定期健康檢查」核備資料，需寄送何處單位、地址為何？, 請寄至：臺北市政府衛生局外國人健檢單位（地址：110204臺北市信義區市府路1號東南區2樓） ,10092.0,113-01-11 10:29,113-01-11 10:29,臺北市政府衛生局疾病管制科
2024-01-11 15:14:04,https://health.gov.taipei/News_Content.aspx?n=416BCB37CFFAC913&sms=87415A8B9CE81B16&s=337C31DBE2E6F788,第二類及第三類外國人「定期健康檢查」後，後續處理流程為何？, 自103年3月1日起施行簡化外國人定期健檢備查程序，健康檢查合格者，由指定醫院上傳健檢結果至轄管衛生局；健檢不合格者，雇主須將聘僱許可函影本及再檢查診斷證明書正本送交轄管衛生局備查。 ,9223.0,113-01-11 10:28,113-01-11 10:28,臺北市政府衛生局疾病管制科
2024-01-11 15:14:05,https://health.gov.taipei/News_Content.aspx?n=416BCB37CFFAC913&sms=87415A8B9CE81B16&s=11413D605B17079E,第二類及第三類外國人「定期健康檢查」如發現有不合格項目，應如何處置？, 「定期健康檢查」如發現有不合格項目，須於收受健康檢查證明後，至衛生福利部疾病管制署公告之外國人健檢指定醫院再檢查，並於取得陰性診斷證明書正本之次日起15日內送交至轄管衛生局備查。 ,9097.0,113-01-11 10:27,113-01-11 10:27,臺北市政府衛生局疾病管制科
2024-01-11 15:14:05,https://health.gov.taipei/News_Content.aspx?n=416BCB37CFFAC913&sms=87415A8B9CE81B16&s=90B690A7D0DBAEA0,第二類及第三類外國人「定期健康檢查」項目為何？, 第二類及第三類外國人定期健康檢查應包括：胸部X光肺結核檢查、漢生病檢查、梅毒血清檢查、腸內寄生蟲糞便檢查、身體檢查。 （第三類外國人來自中央衛生主管機關公告之特定國家、地區，得免辦理前項第二款及第四款檢查。） ,27288.0,113-01-11 10:26,113-01-11 10:26,臺北市政府衛生局疾病管制科
2024-01-11 15:14:07,https://health.gov.taipei/News_Content.aspx?n=416BCB37CFFAC913&sms=87415A8B9CE81B16&s=65C9A3493ACCC30B,我被臭蟲（床蝨）叮咬了怎麼辦？, 1.    臭蟲（床蝨）叮咬當下通常無感，可能在被咬後幾小時至隔幾天出現平坦或隆起的疹子並伴隨劇烈搔癢，皮膚症狀通常1-2週會自行痊癒。2.    輕度搔癢可至藥局購買含抗組織胺類或類固醇類的止癢藥膏塗抹於叮咬處以緩解症狀，或至診所就醫，使用經醫師開立之處方用藥。少部分民眾會因抓癢產生傷口，如免疫低下或患有慢性病之民眾易造成傷口感染而產生蜂窩性組織炎，或因叮咬造成過敏發生全身性反應等，故如症狀變嚴重請立即就醫。 ,401.0,112-11-29 19:30,112-12-04 14:51,臺北市政府衛生局疾病管制科
2024-01-11 15:14:09,https://health.gov.taipei/News_Content.aspx?n=416BCB37CFFAC913&sms=87415A8B9CE81B16&s=64E50C1941F7CBFA,被臭蟲（床蝨）叮咬後，一般會有那些症狀？, 臭蟲（床蝨）叮咬部位通常在臉部、頸部及四肢暴露的地方，典型咬痕為3至4顆呈線狀分布的紅疹且有騷癢情形。 ,147.0,112-11-29 19:30,112-12-04 14:51,臺北市政府衛生局疾病管制科
2024-01-11 15:14:11,https://health.gov.taipei/News_Content.aspx?n=416BCB37CFFAC913&sms=87415A8B9CE81B16&s=670D1C897D224239,臭蟲（床蝨）會傳播疾病嗎？, 目前尚無研究證據顯示臭蟲（床蝨）為傳播人類傳染性疾病之媒介，非屬病媒。 ,148.0,112-11-29 19:31,112-12-04 14:51,臺北市政府衛生局疾病管制科
2024-01-11 15:14:12,https://health.gov.taipei/News_Content.aspx?n=416BCB37CFFAC913&sms=87415A8B9CE81B16&s=30F0F41385E2EA04,如何補發COVID-19確診者指定隔離通知書?, 如曾因COVID-19確診，經衛生福利部疾病管制署簡訊通知於臺北市隔離者，自隔離結束日起2年內，可洽本局防疫專線(02-23753782)申請補發。 ,230.0,112-11-09 09:55,112-12-04 14:51,臺北市政府衛生局疾病管制科
2024-01-11 15:14:12,https://health.gov.taipei/News_Content.aspx?n=416BCB37CFFAC913&sms=87415A8B9CE81B16&s=AA32F3FE8E6D5FFB,自112年10月15日起，如何以長照需求等級申請外籍看護工家庭免評多元認定?, 一、適用對象:初次申請外籍看護工且符合長照服務申請對象，經評估長照需求等級2級以上，持續使用居家照顧服務、日間照顧服務或家庭托顧達6個月以上者。二、辦理流程:請檢附相關文件至臺北市政府1樓北區聯合服務中心臨櫃辦理(本人辦理請檢附項目1~5；委託親友辦理請檢附項目1~7-2；委託仲介辦理請檢附項目1~7-3)相關文件:1.申請人身分證正本及正反面影本2.被看護者身份證正本及正反面影本3.傳遞單一張4.求才登記表一張 5. 6個月以上居家照顧服務、日間照顧服務或家庭托顧繳費收據(低收入戶可免)6.受委託人身分證正本及正反面影本7.委託書正本(請事先簽好帶來) (1)申請人親自簽名 (2)受委託人親自簽名 (3)受委託公司營利事業大小章備註 文件3.4.7可至衛生局網站下載 ,805.0,112-11-15 16:32,112-12-04 14:51,臺北市政府衛生局長期照護科
