Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2023-12-16 23:44:30,https://www.tpedoit.gov.taipei/News_Content.aspx?n=E0F9435AE8CF1C0E&sms=87415A8B9CE81B16&s=2C8F9FF3E2A26E26,請問哪裡可以索取臺北市觀光地圖摺頁？, 您可至臺北市各旅遊服務中心索取，或先電洽本局媒體出版科詢問（電話：臺北市民當家熱線1999（外縣市請撥 02-27208889）轉7564），如有庫存，可附回郵信封寄至臺北市信義區市府路1號4樓觀光傳播局媒體出版科，我們將依您所提供地址郵寄。國內郵資：1份-6元，2、3、4份-11元。信封：須比平信信封略大。 ,1378,112-11-28 12:57,112-11-28 12:57,臺北市政府觀光傳播局
2023-12-16 23:44:32,https://www.tpedoit.gov.taipei/News_Content.aspx?n=E0F9435AE8CF1C0E&sms=87415A8B9CE81B16&s=C24C8C6F49C341C1,請問《台北畫刊》及《TAIPEI》英日文季刊何時出刊？, 《台北畫刊》係每月出刊，出刊日為每月5日；《TAIPEI》每逢3、6、9、12月10日出刊。  ,4729,112-03-08 14:20,112-11-27 13:25,臺北市政府觀光傳播局
2023-12-16 23:44:34,https://www.tpedoit.gov.taipei/News_Content.aspx?n=E0F9435AE8CF1C0E&sms=87415A8B9CE81B16&s=5DA39C6A0D808E86,請問何處可得知貴單位出版訊息？, 本局新書上市訊息請鎖定「臺北市政府觀光傳播局」官網最新消息   ,3563,110-11-22 07:46,112-11-27 13:25,臺北市政府觀光傳播局
2023-12-16 23:44:37,https://www.tpedoit.gov.taipei/News_Content.aspx?n=E0F9435AE8CF1C0E&sms=87415A8B9CE81B16&s=DBC3E0B855DA8F05,請問如何索取當期的《台北畫刊》、《TAIPEI》及過期的《台北畫刊》、《TAIPEI》？, 一、當期的《台北畫刊》，您可至臺北市市府大樓1樓市民服務組、臺北捷運各站、臺北市各旅遊服務中心、臺北市各區公所、稅捐處、臺北市立圖書館總館及各分館、中正紀念堂、國父紀念館等地索取，外縣市可至交通部觀光局輔導各地旅遊服務中心及各國家風景區遊客中心索取。二、當期的《TAIPEI》英日文季刊您可至臺北市市府大樓1樓市民服務組、臺北捷運各站、臺北市各旅遊服務中心、臺北市立圖書館總館及各分館、中正紀念堂、國父紀念館等地索取。三、過期的《台北畫刊》與《TAIPEI》英日文季刊，您可先電洽本局媒體出版科，電話：臺北市民當家熱線1999（外縣市請撥 02-27208889）轉2028、7564詢問是否仍有所需期數，如有，您可採附回郵方式索取；或至《台北旅遊網》官方網站，點選影音刊物欄目進入《台北畫刊》之各期畫刊專區即可看到過往刊物。另本局於國家圖書館、立法院國會圖書館、國立臺灣圖書館、國立臺灣大學圖書館、國立公共資訊圖書館、臺南市立圖書館、高雄市立圖書館總館、屏東縣立圖書館總館、 國立東華大學圖書館、臺北市立圖書館等處均寄存有年度合訂本，您亦可至上述圖書館查閱。四、對於不方便至各放置點索閱的市民及讀者，本局亦提供郵政劃撥寄送服務。您可至郵局索取劃撥單劃撥，戶名︰臺北市政府觀光傳播局；帳號︰16630048。台北畫刊（12期）：國內（平寄）新臺幣300元，香港/澳門（航空平寄）新臺幣600元，亞洲（航空平寄）新臺幣780元，歐、美、非洲（航空平寄）新臺幣888元。《TAIPEI》英日文季刊（6期）：國內（平寄）新臺幣180元，香港/澳門（航空平寄）新臺幣540元，亞洲（航空平寄）新臺幣660元，歐、美、非洲 （航空平寄）新臺幣900元。 ,6251,112-11-28 12:58,112-11-28 12:58,臺北市政府觀光傳播局
2023-12-16 23:44:39,https://www.tpedoit.gov.taipei/News_Content.aspx?n=E0F9435AE8CF1C0E&sms=87415A8B9CE81B16&s=0BA9CA44EE278E0A,請問如何購買觀光傳播局所出版的「臺北觀光行銷叢書」？, 您可至政府出版品展售門市洽購：五南文化廣場及其網路書店、國家書店松江門市及其網路書店；另亦可至三民書局、誠品、紅螞蟻、博客來網路等書店洽詢購買。 ,4665,112-08-08 13:19,112-11-27 13:46,臺北市政府觀光傳播局
2023-12-16 23:44:41,https://www.tpedoit.gov.taipei/News_Content.aspx?n=20D462870DD3A837&sms=87415A8B9CE81B16&s=2BE95553973C450F,家中有線電視原本與業者簽訂一定期間的優惠專案，如提前解約費用如何計算？, （1）依國家通訊傳播委員會公告「有線廣播電視服務定型化契約應記載及不得記載事項」規定業者不得收取違約金。（2）惟近來有線電視業者皆推出收視優惠方案供用戶選擇，並要求用戶須收視1年(或半年)，若收視未滿1年(或半年)須依原價補繳差額，針對此一情形，國家通訊傳播委員會解釋說明，此為「附條件契約」，若民眾終止契約，則應返還當初獲得的優惠，業者並無違法。提醒民眾選擇優惠方案前應確認提前終止契約時的處理方式。 ,1331,112-10-31 07:48,112-11-27 13:25,臺北市政府觀光傳播局
2023-12-16 23:44:43,https://www.tpedoit.gov.taipei/News_Content.aspx?n=20D462870DD3A837&sms=87415A8B9CE81B16&s=C2C371591F6A00B4,有線電視收視費用有幾種繳費方式？如何辦理有線電視變更繳費方式？, （1）依國家通訊傳播委員會公告「有線廣播電視服務定型化契約應記載及不得記載事項」第3點規定，有線電視繳費期限分為現付制與預付制，現付制為當月收視後繳納；預付制為收視前預先繳納，尚分成雙月繳、季繳、半年繳與一年繳等方式，有線電視業者並對雙月繳、季繳、半年繳與一年繳等預繳用戶酌予提供優惠。（2）收視戶可選擇自行繳款、郵局劃撥、銀行郵局轉帳、信用卡、便利商店繳款等方式繳交收視費。（3）收視戶可依需求選擇上述繳納期限與方式。如未約定繳費期限、繳費方式，則視同採當月繳，繳款方式依前述方式為之。（4）如須變更繳費方式，可直接與有線電視系統業者聯繫。 ,1415,112-10-31 07:46,112-11-27 13:25,臺北市政府觀光傳播局
2023-12-16 23:44:46,https://www.tpedoit.gov.taipei/News_Content.aspx?n=20D462870DD3A837&sms=87415A8B9CE81B16&s=18858A4DC894B4E5,低收入戶及中低收入戶如何向有線電視業者申請收視費用減免？, （1）凡於臺北市政府社會局登記有案的低收入戶，可攜帶行政處分、總清查核定通知書、各區公所開立之證明文書、已完成線上福利身分開通之台北卡APP系統畫面等福利資格識別證明(正本、影本各1份)及個人國民身份證向當地1家有線電視業者申請，免收裝機費及基本頻道每月收視費。 （2）於臺北市政府社會局登記有案的中低收入戶，可攜帶行政處分、總清查核定通知書、各區公所開立之證明文書、已完成線上福利身分開通之台北卡APP系統畫面等福利資格識別證明（正本、影本各1份）及個人國民身分證正本，向所在地之有線電視業者申請，基本頻道收視費以二分之一月費計價為原則。 （3）如原未申裝有線電視，自申裝當日起即享有前述優惠；如前已申裝但以一般用戶計費，自申裝次月起優惠。 （4）因(中)低收入戶資格係每年重新認定，請於取得新的(中)低收入戶相關福利資格識別證明後儘速向業者重新申請。如未再提出申請，業者將依一般收視戶收費。 ,11418,112-01-06 17:18,112-11-27 13:25,臺北市政府觀光傳播局
2023-12-16 23:44:48,https://www.tpedoit.gov.taipei/News_Content.aspx?n=20D462870DD3A837&sms=87415A8B9CE81B16&s=41A367FEAEA966B4,有線電視如發生斷訊如何處理？有無賠償規定？, （1）國家通訊傳播委員會公告「有線廣播電視服務定型化契約應記載及不得記載事項」第9點第1項及第2項規定：「甲方發生無法收視或收視不良狀況，乙方於接獲甲方維修通知時，應於二十四小時內到府維修。但經雙方同意另行約定者，不在此限。倘因天災等不可抗力因素或不可歸責於乙方之事由所致無法於前項期限內到府維修，乙方應於前述不可抗力因素或不可歸責事由結束後，依前項規定辦理。」（2）第9點3項規定：「乙方違反第一項規定之到府維修時間時，乙方應按日減少日收視費用及機上盒租金；如逾到府維修時間十天以上始行修復時，乙方應免除當月收視費用及機上盒租金。」 ,1008,112-01-06 14:42,112-11-27 13:25,臺北市政府觀光傳播局
2023-12-16 23:44:50,https://www.tpedoit.gov.taipei/News_Content.aspx?n=20D462870DD3A837&sms=87415A8B9CE81B16&s=02728BA34E0E7E83,同一「戶」接裝有線電視於多台電視機，費用如何計算？," （1）本府公告核准112年度本市各有線廣播電視系統經營者之基本頻道收視費用上限為每月每戶200元至530元不等。裝機費為1,200元。單一分機裝機費：於主機裝機時設置：300元；於主機裝機後設置：500元（以上費用不含數位機上盒押金）。（2）數位機上盒費：每戶第1臺免收保證金，第2臺（含）以上每臺得收保證金1,000元。但107年12月31日前已裝設或申請裝設者，前2臺仍免收保證金(含定期免費更換數位機上盒)。（3）舉例如下：A.王先生1月間搬入新家，新家僅有家人居住，王先生計劃在客廳裝接1台有線電視主機，另外在主臥室裝接1台有線電視分機，此時王先生需繳客廳主機裝機費1,200元及第1個月收視費（最多）490元(如選購A組)，分機裝機費300元，及數位機上盒保證金1,000元。以後每個月王先生只需繳收視費（最多）490元。B.王先生3月間決定在1間套房及餐廳各再裝接1台有線電視分機，須另支付2台分機裝機費各500元（合計1,000元），及數位機上盒保證金2,000元（每臺1,000元）。此時王先生家中收視有線電視的電視雖共4台，但每月仍僅需繳付基本頻道收視費（最多）490元。C.如王先生5月間決定將家中套房出租，並且已經出租，因屬營業之租賃行為，王先生應另外與有線電視系統業者依民事規定議定出租套房部分的收視費用。 ",8990,112-01-06 14:38,112-11-27 13:25,臺北市政府觀光傳播局
