Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2024-01-11 14:48:51,https://police.gov.taipei/News_Content.aspx?n=8D43510FCC9EE11C&sms=87415A8B9CE81B16&s=9F5C853375E2D6E6,有關假投資詐騙手法及民眾該如何防範？, 一、詐騙手法與特徵：(一)網路(FB、IG、Y2B)看到投資、輕鬆賺錢貼文，或在交友網站、交友軟體(APP)認識網友，網友慫恿投資，以掌握「平臺漏洞、後臺程式」等話術，宣稱保證獲利、穩賺不賠且利潤豐厚。(二)後續加LINE聯繫或加入LINE群組(如投資體驗群)，有自稱「老師、指導員、分析師、總監」的人教學投注(代操)，且群組內不斷有其他學員獲利貼文。(三)初期帳面顯示獲利(小額獲利有些可以出金)，引誘您加碼投入大筆資金(甚至要您貸款投資)。(四)當您加碼入金後，以各種理由(洗碼量不足、保證金、IP異常等)不讓你出金，或是直接凍結帳號、對方失去聯繫，就是「不出金」。二、該如何防範?(一)內政部警政署刑事警察局與趨勢科技防詐達人合作，將「趨勢科技防詐達人」加為LINE，傳送欲查證的訊息，系統將自動偵測出是否為詐騙資訊，目前可偵測「釣魚簡訊」、「詐騙購物網站」、「詐騙Line ID」、「詐騙投資網站」等。(二)於桌上型與筆記型電腦安裝『趨勢科技防詐達人瀏覽器擴充功能』，民眾於連結詐騙網頁時便會顯示警示視窗。(三)165全民防騙官網及臉書粉絲專頁每週公布投資詐騙網站，並可至投信投顧公會網站(https://reurl.cc/a953KZ)查詢合法投資管道。(四)165全民防騙官網反詐騙宣導分頁之防詐咖啡廳系列影片為本局邀請知名藝人、運動明星等，分享生活經驗及透過理性分析、溫馨提醒、貼心關懷之切入角度，使民眾對反詐議題產生共鳴，營造全民齊心反詐氛圍。(五)刑事警察局官方網站首頁>資訊公開>出版品>早安圖專區 ,63,112-12-27 15:06,112-12-27 15:06,臺北市政府警察局刑事警察大隊
2024-01-11 14:48:54,https://police.gov.taipei/News_Content.aspx?n=8D43510FCC9EE11C&sms=87415A8B9CE81B16&s=FCDB538AF639C373,對違規通知單(紅單)舉發內容不服，如何陳述(申訴)？, （1）申訴的權管單位為紅單上的應到案處所及舉發單位兩者擇一即可。（2）申訴的方式：A：可以郵寄紙本（寄到各分局的交通組或是各裁罰單位的應到案處所）B：可以使用電子郵件方式（路徑：臺北市政府警察局交通警察大隊首頁/申辦服務/第六項的交通違規案件），該處也有表格可供下載及填寫。另，臺北市政府的首頁上，右上角的陳情系統，也可以填寫。 ,887,112-11-14 15:31,112-12-27 13:56,臺北市政府警察局交通警察大隊
2024-01-11 14:48:56,https://police.gov.taipei/News_Content.aspx?n=8D43510FCC9EE11C&sms=87415A8B9CE81B16&s=09088F3E1717B650,障礙物如何分類及警察業管為何？是否有其他相關認定方式？如何檢舉移動式障礙物？, 1、障礙物可分為移動式障礙物（如一般花盆、桌椅……等）及固定障礙物（如附掛牆面、樑柱之冷氣主機（含分離式）、冷凍（藏）空調設備等……）；本局（各分局）業管係【道路範圍內】之移動式障礙物處理。2、如認定及執行上遇有爭議時，由權責機關主動邀集各相關機關協商或辦理現地會勘，解決問題。3、可逕撥110專線報案，由現場警察協助處理，俾利盡速完成。 ,414,112-05-10 14:31,112-12-27 13:56,臺北市政府警察局交通警察大隊
2024-01-11 14:48:58,https://police.gov.taipei/News_Content.aspx?n=8D43510FCC9EE11C&sms=87415A8B9CE81B16&s=15145761DFD2E309,如果發現人口販運案件或您（知道有人）是「人口販運案件被害人」，可以做些什麼呢？, 請撥打防制人口販運通報專線，將有專責人員提供協助：內政部移民署02-23883095內政部警政署110勞工諮詢申訴專線1955 ,235,112-03-30 09:27,112-12-28 16:25,臺北市政府警察局
2024-01-11 14:49:00,https://police.gov.taipei/News_Content.aspx?n=8D43510FCC9EE11C&sms=87415A8B9CE81B16&s=1BDB5EC57AAB8838,人口販運案件構成要件中的「不法手段」是指什麼？, 以下舉例說明：一、遭受性侵害或毆打、虐待，或遇疾病、傷害未受到合理之醫療照護。二、自己或家人受到恐嚇威脅。三、若離開或拒絕工作，會擔心自己或親友的安全。四、不能自由地出入住處或工作場所、門窗有被上鎖，或外出時總是有人陪同。五、無法自由地跟家人或他人交談、打電話時總是有人在旁邊監視。六、工作內容跟當初約定的不一樣、需要另外做約定工作項目以外的工作。七、實際拿到的薪資所得與當初約定的不一樣、被扣各式各樣的款項、有人代領工資或扣留薪資。八、身分證明等重要文件不能自己保管。九、被強迫或被騙服用藥物或施用毒品。 ,238,112-03-30 09:28,112-12-28 16:25,臺北市政府警察局
2024-01-11 14:49:02,https://police.gov.taipei/News_Content.aspx?n=8D43510FCC9EE11C&sms=87415A8B9CE81B16&s=187F356B323E6E76,遭到自稱幫派分子以電話恐嚇，甚至要求付錢了事，我該怎麼辦？, (一)民眾接獲自稱幫派分子恐嚇要錢時，屬假恐嚇真詐財案件，民眾務必保持冷靜立即報警處理，千萬別受騙上當。(二)防制假恐嚇真詐財的基本原則：凡事「勿急躁」、「多思考」、「詳查證」。為避免歹徒以是類手法詐騙得逞，民眾務必先撥打「165」反詐騙專線及「110」查證。(三)民眾如因故遭特定對象以電話恐嚇，可於通話中先設法虛與委蛇、拖延時間，同時使用錄音裝置，將談話內容予以錄音存證，並立即向警察機關報案檢舉。 ,11636,113-01-03 14:15,113-01-03 14:15,臺北市政府警察局刑事警察大隊
2024-01-11 14:49:05,https://police.gov.taipei/News_Content.aspx?n=8D43510FCC9EE11C&sms=87415A8B9CE81B16&s=FB7CECF3050CB134,公務員違法行為之國家賠償責任要件為何？請求國家賠償應向何機關提出？, 一、國家賠償法第2條第2項規定：「公務員於執行職務行使公權力時，因故意或過失不法侵害人民自由或權利者，國家應負損害賠償責任。公務員怠於執行職務，致人民自由或權利遭受損害者亦同。」第4條第1項規定：「受委託行使公權力之團體，其執行職務之人於行使公權力時，視同委託機關之公務員。受委託行使公權力之個人，於執行職務行使公權力時亦同。」是以，公務員違法行為之國家賠償責任要件如下：(一)須為公務員之行為，包括依法令從事於公務之人員、受委託行使公權力之團體之執行職務之人及受委託行使公權力之個人。(二)須為執行職務行使公權力之行為。(三)須行為違法。(四)須行為人有故意或過失。(五)須侵害人民之自由或權利。(六)須違法行為與損害結果之間有因果關係。二、國家賠償法第9條第1項規定：「依第2條第2項請求損害賠償者，以該公務員所屬機關為賠償義務機關。」第10條第1項規定：「依本法請求損害賠償時，應先以書面向賠償義務機關請求之。」故國家賠償之請求，應以書面向執行職務公務員所屬之機關提出。 ,10511,112-12-28 09:31,112-12-28 09:31,臺北市政府警察局
2024-01-11 14:49:07,https://police.gov.taipei/News_Content.aspx?n=8D43510FCC9EE11C&sms=87415A8B9CE81B16&s=D7604B2A75DF1CB9,什麼是行政救濟？行政訴訟是否即為行政救濟？, 一、人民因其權益受有公行政之公法上違法或不當行為之侵害，向有權之國家機關請求法律救濟之制度，即為行政救濟。依學者見解，行政救濟範圍除訴願、行政訴訟外，尚包含訴願之先行程序如所得稅法之複查、商標法及專利法上之異議、評定、再審查，以及教師法與公務人員保障法之申訴等均屬行政救濟範疇。二、行政訴訟法第2條規定：「公法上之爭議，除法律別有規定外，得依本法提起行政訴訟。」另依行政訴訟法第3條規定：「前條所稱之行政訴訟係指撤銷訴訟、確認訴訟及給付訴訟」。三、綜上，行政救濟涵括多種救濟途徑，除有得向司法機關提起者外，亦有應向行政機關為之者，故行政訴訟並非等同行政救濟，行政訴訟僅為行政救濟眾多方式中之一種。 ,972,112-12-28 09:32,112-12-28 09:32,臺北市政府警察局
2024-01-11 14:49:07,https://police.gov.taipei/News_Content.aspx?n=8D43510FCC9EE11C&sms=87415A8B9CE81B16&s=598355A03E8790C9,如有家屬失蹤，應如何報案？警察單位處理程序如何？, 一、民眾報案程序：（一）如有家屬失蹤時，其直系血親尊親屬、法定代理人、監護人、配偶、直系血親卑親屬及民法第一千一百二十三條家長、家屬或親屬，均可立即檢具相關證明文件，向警察機關報案請求協尋。（二）失蹤人有下列特殊情形時，警察機關亦得依特定單位、人員之報案實施查尋及遵循相關規定事項：1、在臺無親屬者，依相關權責單位人員或居住地之村（里）、鄰長之報案辦理。2、緊急案件（如山難或其他意外災難）依其同行人員之報案辦理；事後應與其家長（法定代理人）、家屬或親屬聯繫確認。3、社政機關或其委託公、私立社福安置機構所安置之保護個案（含法院裁定管束收容），依該管機關（構）之報案辦理，並視個案性質由權責單位依相關規定處理。4、家屬委由公、私立社福安置機構照顧之個案，依家屬或安置機構之報案辦理。安置機構報案時，應檢附家屬聯繫資料。（三）報案人如能提供失蹤人之照片，由警察單位上網張貼，將更有利於協尋。（四）報案人於報案後，可至內政部警政署全球資訊網/便民服務/查尋失蹤人口、身分不明者資料網頁查閱。 二、警察單位處理程序：（一）應即核對報案人及失蹤人身分證明文件，並至受理報案輸入軟體輸登失蹤人之基本資料、發生經過及其他有關線索，於訪談筆錄製作完成後，列印受（處）理案件證明單（以下簡稱證明單）二份。一份連同訪談筆錄陳送分局防治（戶口業務）單位，一份交報案人收執。（二）員警應主動徵詢報案人意願並載明於筆錄之事項如下：1、是否同意相片建檔，同意者，可使用其所提供之相片；無相片可提供時，可使用經刪除個人基本資料之國民身分證相片影像檔；未依相關規定辦理者，依警察機關加強戶政資訊稽核實施計畫規定懲處。2、是否同意警察機關提供媒體網路公開協尋。3、是否同意提供衛生福利部及其所屬擇定之失蹤協尋單位公開協尋。（三）受理完成後，調閱相關資料或以查訪民眾等方式查尋失蹤人行蹤。（四）失蹤人口查尋案件涉及刑事案件時，應立即陳（通）報刑事單位處理。（五）經查明失蹤者確已出境，惟未滿二年且設籍在臺時，應委婉告知報案人；報案人堅持報案時，仍應受理，並視失蹤者實際出境地區，陳報警察局函請外交部、大陸委員會或內政部移民署，透過相關管道協尋。（六）未滿十八歲之失蹤人有兒童及少年福利與權益保障法第五十三條第一項各款及第五十四條第一項情事者，應依各該條文規定，通報其戶籍地直轄市、縣（市）主管機關；隨父（母）或親屬離家案件，依衛生福利部所定未成年子女遭父母（或親屬）擅帶離家失蹤案件協尋作業流程辦理。 ,50309,112-01-07 16:17,112-12-27 17:52,臺北市政府警察局
2024-01-11 14:49:10,https://police.gov.taipei/News_Content.aspx?n=8D43510FCC9EE11C&sms=87415A8B9CE81B16&s=BE2A70F6693EE239,臨時停車接送未滿七歲之兒童上、下車執法原則, 查據道路交通管理處罰條例第3條第10款規定：「臨時停車：指車輛因上、下人、客，裝卸物品，其停止時間未滿三分鐘，保持立即行駛之狀態。」，暨同條例第55條第2項規定：「汽車駕駛人，臨時停車接送未滿七歲之兒童、行動不便之人上、下車者，臨時停車不受三分鐘之限制。」，另依交通部109年11月13日交路字第1095014465號函釋，對於接送未滿七歲兒童之執法認定原則比照既有接送行動不便之人上下車之執法，相關認定如下:1、僅限於接送期間，不包含等待時間。2、不得在禁止臨時停車(紅)線臨時停車，在禁止停車(黃) 線臨時停車才有不受3分鐘時間限制。3、如果在禁止臨時停車(紅)線臨時停車接送上下車，但是沒有妨礙其他人、車通行之情形，則可視個案具體事實依違反道路交通管理事件統一裁罰基準表及處理細則第12條第1項第5款規定處理；爰如民眾因臨時停車接送未滿七歲之兒童上、下車，其過程中因駕駛人協助其兒(幼)童，拆缷（解除）幼童用座椅之束縛（定位），亦或穿著衣裝、整理學習文具用品等行為，得不受三分鐘之限制，惟前述接送過程期間並不包含等待時間，車輛駕駛人仍需保持立即行駛狀態外，且停放之處所仍有其範圍與限制，倘遵依前揭規定辦理，則無違反道路交通管理事件之虞。 ,1448,110-11-29 09:18,112-12-27 13:56,臺北市政府警察局交通警察大隊
