Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2023-12-17 21:15:00,https://dof.gov.taipei/News_Content.aspx?n=39A258CB8C1B2779&sms=87415A8B9CE81B16&s=1F3A3673076555D8,「除外案件」之案件範圍如何認定？, 1.除外案件範圍如下：(1)所得稅法第11條所稱執行業務者。(2)符合「統一發票使用辦法」第二章第4條規定得免用或免開統一發票者。(3)代徵費用(如：代徵下水道費、水源保育與回饋費、代徵娛樂稅等)。2.各機關如對其中「所得稅法」第11條所稱執行業務者，以及符合「統一發票使用辦法」第二章第4條規定得免用或免開統一發票者等2種案件有認定疑義可洽請權責機關財政部臺北國稅局暨所屬各分局、稽徵所協處。3.財政局前業將「除外案件」之案件範圍於TAIPEION入口網/行政作業/請購核銷（機關）/常見問答/公告區公告（公告日期112年2月22日），請各機關詳閱並於電子核銷系統確實點選除外案件理由。 ,2817.0,112-03-22 11:55,112-11-20 10:08,臺北市政府財政局支付科
2023-12-17 21:15:02,https://dof.gov.taipei/News_Content.aspx?n=39A258CB8C1B2779&sms=87415A8B9CE81B16&s=073F8F4888323CFD,採購案件如何認定？, 1.依「臺北市政府電子化核銷作業推動計畫」規定，核銷案件是否為採購案件係由各機關依政府採購法及其施行細則暨相關子法，本於採購專業認定。 2.各機關如有採購案件認定疑義可洽請本府採購業務權責機關工務局協處。 3.財政局前業將非採購案件參考資料放置於TAIPEION入口網/行政作業/請購核銷（機關）/常見問答/公告區（公告日期109年1月13日），各機關如有需要可參考利用。 ,1279.0,111-01-20 18:04,112-11-20 10:08,臺北市政府財政局支付科
2023-12-17 21:15:02,https://dof.gov.taipei/News_Content.aspx?n=39A258CB8C1B2779&sms=87415A8B9CE81B16&s=221446B6ACA40E98,各機關如何快速查詢電子發票商家資料？, 1.各機關可至財政部「稅務行業標準分類」網頁以「行業別關鍵字」查得該行業別之「分類編號」，再至財政部電子發票整合服務平台以該「分類編號」查得所需行業別之商家資料。 2.上開查詢方式（含範例）並已放置於TAIPEION入口網/行政作業/請購核銷（機關）/常見問答/公告區（公告日期110年5月7日）供各機關參考。 ,1323.0,111-01-20 18:06,112-11-20 10:08,臺北市政府財政局支付科
2023-12-17 21:15:04,https://dof.gov.taipei/News_Content.aspx?n=39A258CB8C1B2779&sms=87415A8B9CE81B16&s=D9D38618459D1A05,機關業務往來商家如何免費開立電子發票？, 商家可至財政部電子發票整合服務平台免費開立B2G電子發票，申請作業程序可洽請權責機關財政部臺北國稅局暨所屬各分局、稽徵所電子發票服務窗口協處。(聯絡資訊網頁路徑：財政部臺北國稅局→分稅導覽→營業稅→主題專區→電子發票專區→電子發票服務窗口) ,745.0,110-08-03 15:02,112-11-20 10:08,臺北市政府財政局支付科
2023-12-17 21:15:07,https://dof.gov.taipei/News_Content.aspx?n=39A258CB8C1B2779&sms=87415A8B9CE81B16&s=A037E5BEEF622ACD,民間可以自行提出規劃參與公共建設嗎？, 民間可依促進民間參與公共建設法第46條規定提出規劃構想書，經主辦機關納入政策需求考量後辦理政策公告，並向民間徵求可行性評估報告。其土地取得方式包含民間自行備具私有土地，或由主辦機關依促進民間參與公共建設法相關規定提供土地、設施。 ,182.0,112-06-20 16:24,112-11-20 15:28,臺北市政府財政局金融管理科
2023-12-17 21:15:09,https://dof.gov.taipei/News_Content.aspx?n=39A258CB8C1B2779&sms=87415A8B9CE81B16&s=46077A4FCB5F166F,本府各機關經管市有土地如何參與危老重建？, 市有土地倘位於擬辦理危老基地範圍內，除另有利用計畫外，倘符合本市市有財產管理自治條例規定，得辦理出售；未能辦理出售且危老基地面積達500平方公尺以上，則依都市更新條例及其相關法令規定辦理。未能依前開方式辦理者，於不編列預算及危老基地內市有土地面積比例未達50%前提下，得以合建方式參與危老重建。 ,1304.0,111-10-07 15:16,112-11-20 09:08,臺北市政府財政局非公用財產開發科
2023-12-17 21:15:11,https://dof.gov.taipei/News_Content.aspx?n=39A258CB8C1B2779&sms=87415A8B9CE81B16&s=4C85AA538514A224,民眾如何得知財政局標租市有非公用不動產資訊?, (一)可逕至財政局網站-公告資訊-招標資訊-公告中案件查詢（https://dof.gov.taipei/Content_List.aspx?n=6CFF5C8DD91F51D0）。(二)如有疑義，請洽財政局非公用財產管理科查詢，電話1999(外縣市02-27208889)轉6281。 ,404.0,112-09-07 18:05,112-11-21 13:51,臺北市政府財政局非公用財產管理科
2023-12-17 21:15:13,https://dof.gov.taipei/News_Content.aspx?n=39A258CB8C1B2779&sms=87415A8B9CE81B16&s=6B692A7D3749B39F,市有土地參與都更分回住宅標租訊息從何查詢? , 可自財政局官網公告資訊內招標資訊查詢（https://dof.gov.taipei/Content_List.aspx?n=6CFF5C8DD91F51D0)。 ,595.0,110-01-12 17:16,112-11-20 09:08,臺北市政府財政局非公用財產開發科
2023-12-17 21:15:14,https://dof.gov.taipei/https://www-ws.gov.taipei/Download.ashx?u=LzAwMS9VcGxvYWQvMzA0L3JlbGZpbGUvMzE4MjAvODEzMzExOC9kNWQyNzA2My04ZWUwLTQzZjItODdmNC1mNGM0ODIyODZjODEucGRm&n=6Kit5a6a5Zyw5LiK5qyK6IiH5L%2bD6YCy5rCR6ZaT5Y%2bD6IiH5YWs5YWx5bu66Kit5LmLQk9U5qGI5Lu25beu55Ww5q%2bU6LyD6KGoMTEyLjA2LjIw5L%2bu6KiC54mILnBkZg%3d%3d&icon=.pdf,設定地上權與促進民間參與公共建設之BOT案件有何差異？,[],,110-01-12 17:16,112-11-20 09:08,臺北市政府財政局非公用財產開發科
2023-12-17 21:15:16,https://dof.gov.taipei/News_Content.aspx?n=39A258CB8C1B2779&sms=87415A8B9CE81B16&s=790D260CAB633C19,與市政府往來之廠商，有時因為案件多，常常無法知道款項是否已經匯入帳戶，也分不清是哪個機關給的款項，請問該如何作才可以明確快速知道相關訊息?, 可申請入戶通知服務或透過入戶通知查詢網站查詢對帳資料。 1.您可以向往來的機關學校申請「電連存帳入戶通知」服務，或至財政局網頁下載申請書填妥後傳真或郵寄給我們，申請這項服務後，以後如有款項匯入您指定之金融機構帳戶，您就可收到入戶通知單，方便您對帳。 2.另外財政局網頁/便民服務/廠商款項入戶通知查詢，提供您以工商憑證或自然人憑證，查詢對帳資料。   ,3427.0,111-01-04 10:07,112-11-20 10:08,臺北市政府財政局支付科
