Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2023-12-17 12:27:27,https://doit.gov.taipei/News_Content.aspx?n=735B1D5E99693381&sms=87415A8B9CE81B16&s=49B64E3689993525,1999網路電話無法使用, Q1.網頁電話支援那些瀏覽器?Ans：目前支援個人電腦或筆電上的Google Chrome、Mozilla Firefox及Microsoft Edge三款瀏覽器。如果市民朋友使用上述三款瀏覽器卻無法執行網頁電話，最常見的原因是瀏覽器版本太舊，請更新至最新版本後再繼續使用。 Q2.為什麼點擊了網頁電話的小圖示卻未出現要求「使用你的麥克風」權限的提示訊息? Ans：此訊息只會在您所使用的個人電腦或筆電從未訪問過網頁電話的網址時，才會出現。若是曾經訪問過網頁電話的網址，且按過「允許」或「封鎖」存取麥克風的按鈕，您的瀏覽器就會將此設定儲存在瀏覽器裡面了。以Google Chrome瀏覽器為例，遇到此問題時，請參考以下畫面按左上角的「小鎖」圖示，允許「麥克風」使用權限後，再按一次左上角「小鎖」圖示以關閉功能選單，然後再按「F5」按鍵重新載入網頁，即可開始使用網頁電話。Q3. 網頁電話於通話時的聲音斷斷續續。Ans：可能是個人電腦或筆電的網路品質及頻寬不足所造成，在通話時請試著關閉其他應用程式並避免下載資料或大型檔案。 Q4. 網頁電話訊息提示已經連接上(connected)，但聽不到對方的聲音。Ans：請先確認是否已經開啟音效卡的喇叭及麥克風功能。若喇叭及麥克風皆已打開卻仍聽不到聲音，那麼很可能是您所處的網路環境中有防火牆，防火牆關閉了網頁電話服務所需要的通訊埠，才會發生沒有聲音的問題，此時請您試著更換連網的方式後再使用網頁電話（例如改用手機的無線熱點分享等方式連網）。 Q5. 網頁電話無法使用音效卡。Ans：因為網頁電話需要進行語音通話，所以個人電腦或筆電之音效卡必須支援全雙工(full duplex)才能與對端進行語音通話。 Q6. 網頁電話通話時，對方可以聽到我的聲音，但我聽不到對方的聲音（或是我可以聽到對方的聲音，但對方聽不到我的聲音）。Ans：請先確認是否已經開啟音效卡的喇叭及麥克風功能。若喇叭及麥克風皆已打開卻仍聽不到聲音，那麼很可能是您所處的網路環境中有防火牆，防火牆關閉了網頁電話服務所需要的通訊埠，才會發生沒有聲音的問題，此時請您試著更換連網的方式後再使用網頁電話（例如改用手機的無線熱點分享等）。 Q7. 網頁電話如何移除程式？Ans：網頁電話透過Google Chrome、Mozilla Firefox或Microsoft Edge三款瀏覽器內建的網頁通話元件搭配專屬伺服器達成語音通話功能，並整合本府網路電話系統及各機關單位的電話交換機系統協同運作。您只要透過個人電腦或筆電裡面的瀏覽器，即可使用網頁電話功能，使用時無需安裝任何程式，使用後亦不需移除任何程式。 Q8. 網頁電話出現登入失敗的訊息時如何處理？Ans：當網頁電話顯示登入失敗的訊息時，多數的狀況是在您欲使用此功能的當下，用戶數超過系統所允許的連接數量，也就是系統處於繁忙的狀態中。發生此狀況時，請您先暫時關閉網頁電話頁面，等候5~10分鐘後系統不再繁忙時，再開啟使用網頁電話功能。有少部份出現登入失敗的原因是您所處的網路環境中的防火牆關閉了網頁電話服務所需要的通訊埠，也有可能導致發生無法登入的情形，此時請您試著更換連網的方式後，再開啟使用網頁電話功能（例如改用手機的無線熱點分享等方式連網）。Q9. 為何Microsoft Internet Explorer無法使用網頁電話？Ans：微軟宣布自2022年6月15日開始，將正式終止Internet Explorer支援服務，在瀏覽器市場上畫下句點。目前微軟推行的Edge瀏覽器改採與Chrome相同的Chromium引擎技術，經本府測試能夠支援目前的網頁電話功能。提醒市民朋友們勿再使用Microsoft Internet Explorer執行網頁電話，改以Google Chrome、Mozilla Firefox或Microsoft Edge三款瀏覽器進行網頁電話功能操作。 ,5716,111-11-15 14:34,112-10-27 16:14,臺北市政府資訊局
2023-12-17 12:27:30,https://doit.gov.taipei/News_Content.aspx?n=735B1D5E99693381&sms=87415A8B9CE81B16&s=073E1F392BD19689,如何使用網頁電話？, 如何使用網頁電話？臺北市政府為提供民眾更為多元之聯繫管道，提供不受地點限制之網頁電話服務，如欲使用本項服務之市民朋友請先確認網路功能正常並接妥耳機及麥克風後方可正常使用，有關本項服務使用說明如下：連線至臺北市政府官方網站（www.gov.taipei），並點選首頁上方之「市府團隊」─「組織架構」（如下圖） 開啟頁面後，市民朋友可依對應之機關名稱點擊右側之耳機圖示，若是第一次使用，將會跳出以下頁面，請按下「允許」將會開啟撥號頁面。 按下「允許」後，網頁電話才能使用您個人電腦或筆電的麥克風發送聲音。頁面將出現以下圖示，並以紅色旋轉動畫呈現與該機關單位的網路電話系統連接中，此時您可按點擊紅色動畫，以中斷或取消連接。當完成與該機關單位的網路電話系統連接後，頁面將出現以下圖示。此時個人電腦或筆電可聽到電話交換機自動總機系統所提供的語音宣告，此時於數字鍵盤按下您要轉接的分機號碼，並等候該分機接聽後，即可與對方進行通話。若是由真人直接接聽時，您就不需再按數字鍵盤輸入分機號碼，可直接與對方進行通話。完成通話後請按下紅色圖示即可掛斷，此時頁面將出現以下內容。  ,4430,111-11-15 14:33,112-10-27 16:14,臺北市政府資訊局
2023-12-17 12:27:32,https://doit.gov.taipei/News_Content.aspx?n=DE7A2FF7A9B5D76E&sms=87415A8B9CE81B16&s=D077D0A1FEEBFF8A,「臺北公眾區免費無線上網」的相關資訊，可以在何處查詢?, 有關「臺北公眾區免費無線上網」的相關資訊及最新進度，可以隨時在服務網站(https://wifi.taipei)查詢，期盼所有市民多加支持與利用。        ,7042,111-09-14 10:00,112-10-27 16:14,臺北市政府資訊局
2023-12-17 12:27:34,https://doit.gov.taipei/News_Content.aspx?n=DE7A2FF7A9B5D76E&sms=87415A8B9CE81B16&s=81752A20DFF576D4,臺北公眾區免費無線上網對影音網站有限制嗎?, 「臺北公眾區免費無線上網」開放多媒體影音網站(不含即時轉播(real-time streaming)類型)瀏覽服務，僅對線上遊戲等高頻寬使用量之網站或應用程式，以及色情等不當內容網站採取連線管控措施；兼顧使用者需求、網路品質優化、以及本案公共服務性質；對於大部分民眾的主要網路使用行為應已足夠。至於有更高上網頻寬或網路資源需求之民眾，宜自行向相關電信業者申請相關付費上網服務，以維有限資源之公平運用。   ,6140,111-09-14 10:04,112-10-27 16:14,臺北市政府資訊局
2023-12-17 12:27:36,https://doit.gov.taipei/News_Content.aspx?n=DE7A2FF7A9B5D76E&sms=87415A8B9CE81B16&s=68A893ECFAA6D352,我用「臺北公眾區免費無線上網」有遇到問題，可以向誰詢問？, 您在使用「臺北公眾區免費無線上網」過程中，可以撥打24小時市話免付費客服專線，市話請打0800-080-382，手機直撥(02)8979-6240讓客服中心為您處理：（一）熱點查詢。 （二）TaipeiFree官網資訊查詢。 （三）網路訊號障礙與連線問題。   ,5326,112-10-04 17:25,112-10-27 16:14,臺北市政府資訊局
2023-12-17 12:27:39,https://doit.gov.taipei/News_Content.aspx?n=DE7A2FF7A9B5D76E&sms=87415A8B9CE81B16&s=350F3A597DBA56CD,捷運車站有「臺北公眾區免費無線上網」，那捷運列車呢?, 捷運全線目前為車站的詢問處提供無線上網服務，Taipei Free服務名稱(SSID)為「TPE-Free」。 ,4295,112-08-23 14:41,112-10-27 16:14,臺北市政府資訊局
2023-12-17 12:27:41,https://doit.gov.taipei/News_Content.aspx?n=DE7A2FF7A9B5D76E&sms=87415A8B9CE81B16&s=771274C4C9C0AEF8,為什麼我在家裡收不到「臺北公眾區免費無線上網」的網路訊號?, 市府的便民措施，是針對民眾的基本需求提供免費服務，並非要取代商業性服務。基於本案公共服務性質及Wi-Fi無線網路訊號之穿透力因素，室外公共場所之Taipei Free熱點之最佳化服務範圍，以「熱點周邊，未受建築物及其他人工設施遮蔽阻隔之公共場域」為主；不會特別保證家戶、辦公室、民間營業場所及巷弄、山區等區域之網路訊號品質，敬請理解體諒。 ,4316,111-09-14 10:08,112-10-27 16:14,臺北市政府資訊局
2023-12-17 12:27:43,https://doit.gov.taipei/News_Content.aspx?n=DE7A2FF7A9B5D76E&sms=87415A8B9CE81B16&s=D299339728A9498C,我用智慧型手機上網，感覺比用筆記型電腦或平板電腦要慢?, 在頻寬相同的狀況下，基於智慧型手機的硬體功能因素，在讀取含大量圖形資料的網頁時，需要比筆記型電腦或平板電腦較多的處理時間，可能直接影響網頁顯示速度，讓使用者認為「上網比較慢」。 ,4163,111-09-14 10:08,112-10-27 16:14,臺北市政府資訊局
2023-12-17 12:27:45,https://doit.gov.taipei/News_Content.aspx?n=DE7A2FF7A9B5D76E&sms=87415A8B9CE81B16&s=20EFB9FFBD6B612C,為什麼我用「臺北公眾區免費無線上網」服務，一段時間未使用就會斷線？, 基於整體網路系統的優化以及提升頻寬資源分配效率考量，Taipei Free服務參考現行政府機關學校及民間無線網路系統規劃，若上網連線裝置持續2小時即會自動斷線，避免長時間占用公共頻寬，影響其他使用者權益。 ,3976,112-08-23 14:42,112-10-27 16:14,臺北市政府資訊局
2023-12-17 12:27:47,https://doit.gov.taipei/News_Content.aspx?n=DE7A2FF7A9B5D76E&sms=87415A8B9CE81B16&s=210B7CF9930099D8,無線上網的電磁波會不會很強?會不會影響人體健康?, Wi-Fi無線網路的電磁波強度很小，小於日光燈、行動電話、吹風機、微波爐等各種電器用品；Wi-Fi 無線接取器(AP)電源在開啟及關閉時的電磁波功率密度更幾乎沒有差距。世界衛生組織（WHO）相關報告也表示：「至今沒有可靠的科學證據顯示，無線網路產生的微弱射頻訊號會對健康造成負面影響」，對於環境中的無線廣播、無線電視電臺以及無線網路訊號，WHO的報告也維持「無可靠科學證據顯示有致癌關聯性」的結論。 ,2699,111-09-14 10:09,112-10-27 16:14,臺北市政府資訊局
