Time,Url,Question,Answer,點閱數,資料更新,資料檢視,資料維護
2023-12-17 19:17:20,https://sports.gov.taipei/News_Content.aspx?n=30346D17ED329AC1&sms=87415A8B9CE81B16&s=C8F612E7E8AE50C6,2025雙北世壯運STRONG WIN暖身訓練營, Q1：如何報名？A1：只要於今(2023)年滿28歲者即可免費線上報名參加，各種類課程名額有限，請參閱報名網址資訊，額滿為止。報名網址：https://www.wmg2025warmup.org.tw/index.phpQ2：非本國人可以報名嗎？A2：可以，只要有具備基本的中文語言溝通能力也歡迎您的加入。Q3：暖身訓練營會開設什麼種類的課程？A3：依據2025雙北世壯運辦理的35種運動種類辦理初階和進階的課程，2023年度規劃29種運動種類，總計104堂訓練營課程，詳細課程資訊請參閱網址：https://www.wmg2025warmup.org.tw/index.php ,70,112-12-15 17:55,112-12-15 17:55,臺北市政府體育局
2023-12-17 19:17:22,https://sports.gov.taipei/News_Content.aspx?n=30346D17ED329AC1&sms=87415A8B9CE81B16&s=76C1BB07A7496A45,大巨蛋預備賽及亞錦賽期間停車場是否開放?," 棒球賽期間，開放部分停車位供持觀賽票民眾，憑票根入場停車一次。停車場出入口：忠孝東路、逸仙路口停車位：汽車969部、機車1,116部，車位數量有限，停滿即關閉入口。開放入場時間：10:00~15:00開放出場時間：10:00~22:00 ",4,112-12-13 14:51,112-12-13 14:51,臺北市政府體育局
2023-12-17 19:17:25,https://sports.gov.taipei/News_Content.aspx?n=30346D17ED329AC1&sms=87415A8B9CE81B16&s=B10A75C9024FCFF5,體育局如何受理捐款?, 詢問有關捐款事宜，聯絡方式如下：1.全民運動發展相關，專線：02-2570-2330轉分機6168；2.競技運動發展相關，專線：02-2570-2330轉分機6604；將有專人細心為您服務。※相關規定請參酌「臺北市政府體育局捐款收支管理運用要點」。 ,255,112-12-08 08:33,112-12-08 08:33,臺北市政府體育局
2023-12-17 19:17:27,https://sports.gov.taipei/News_Content.aspx?n=30346D17ED329AC1&sms=87415A8B9CE81B16&s=DD2B419FB7AA504C,2025雙北世界壯年運動會，有帕拉運動種類(ParaSports)嗎?, 有的。2025雙北世界壯年運動會35種運動種類中，其中9種同時設有帕拉運動，包含：射箭、田徑、羽球、籃球、射擊、桌球、網球、水上運動及柔道。※備註:參賽障別及競賽科目，待總會核定後公告。2025雙北世壯運官方網站：https://wmg2025.tw/zh-tw/home ,238,112-11-23 11:35,112-11-23 11:35,臺北市政府體育局
2023-12-17 19:17:29,https://sports.gov.taipei/News_Content.aspx?n=30346D17ED329AC1&sms=87415A8B9CE81B16&s=E8138DD83054FCA8,2025雙北世界壯年運動會什麼時候開始報名、如何報名?, 開放報名時間為2024年2月於2025雙北世壯運官方網站開放報名。2025雙北世壯運官方網站：https://wmg2025.tw/zh-tw/home ,2294,112-11-20 16:45,112-11-20 16:45,臺北市政府體育局
2023-12-17 19:17:31,https://sports.gov.taipei/News_Content.aspx?n=30346D17ED329AC1&sms=87415A8B9CE81B16&s=0CAC8FB309B82DE5,2025雙北世界壯年運動會各運動種類年齡組別為何？, 1.預計於2023年12月公告技術手冊含各運動種類年齡組別。2.2025雙北世壯運官方網站：https://wmg2025.tw/zh-tw/home    ,271,112-11-20 16:44,112-11-20 16:44,臺北市政府體育局
2023-12-17 19:17:34,https://sports.gov.taipei/News_Content.aspx?n=30346D17ED329AC1&sms=87415A8B9CE81B16&s=81D1923CB18E867F,2025雙北世界壯年運動會志工什麼時候開放報名?, 1.預計於2024年1月開放報名志工，相關資訊敬請關注2025雙北世界壯年運動會官網最新消息。2.2025雙北世壯運官方網站：https://wmg2025.tw/zh-tw/home ,917,112-11-20 16:42,112-11-20 16:42,臺北市政府體育局
2023-12-17 19:17:36,https://sports.gov.taipei/News_Content.aspx?n=30346D17ED329AC1&sms=87415A8B9CE81B16&s=4FCB973EB7883372,大巨蛋園區周邊有什麼好逛的？, 大巨蛋北邊有松山文創園區、南邊有國父紀念館，東邊有信義計畫區的百貨公司、西邊有東區商圈。配合大巨蛋首場比賽，11月18日及19日松山文創園區特別舉辦「水水市集」活動。 ,88,112-11-17 09:58,112-11-17 09:58,臺北市政府體育局
2023-12-17 19:17:38,https://sports.gov.taipei/News_Content.aspx?n=30346D17ED329AC1&sms=87415A8B9CE81B16&s=29AACD08CC1EB9B2,11月18日民眾散場路線, 賽事結束後民眾可由體育館Gate2、Gate 3及 Gate 4離開館內，向上至平面層前往忠孝東路、光復南路及逸仙路等等，亦可向下至地下二層經忠孝東路四段地下連通道通廊至國父紀念館側至平面層離開大巨蛋園區。 ,47,112-11-17 09:57,112-11-17 09:57,臺北市政府體育局
2023-12-17 19:17:40,https://sports.gov.taipei/News_Content.aspx?n=30346D17ED329AC1&sms=87415A8B9CE81B16&s=CEFC59E69ABFA621,11月18日「Home Run臺北大巨蛋預備賽」館內是否可以飲食及是否有販賣舖？, 活動期間館內開放飲食，另有２間販賣鋪，販賣簡食及飲料。 ,95,112-11-17 09:56,112-11-17 09:56,臺北市政府體育局
2023-12-17 19:17:42,https://sports.gov.taipei/News_Content.aspx?n=30346D17ED329AC1&sms=87415A8B9CE81B16&s=51FBE7D1B014DBC6,11月18日沒有門票可以進場看比賽嗎？是否可以現場索票進場？, 11月18日「Home Run臺北大巨蛋預備賽」憑票入場、對號入座，現場沒有入場券。票券限當日有效，逾期作廢，遺失破損不補發。 ,48,112-11-17 09:55,112-11-17 09:55,臺北市政府體育局
2023-12-17 19:17:45,https://sports.gov.taipei/News_Content.aspx?n=30346D17ED329AC1&sms=87415A8B9CE81B16&s=25C364508F5B5493,11月18日「Home Run臺北大巨蛋預備賽」救護站位置, 救護站位設置於體育館「Gate 2」處。 ,41,112-11-17 09:54,112-11-17 09:54,臺北市政府體育局
2023-12-17 19:17:47,https://sports.gov.taipei/News_Content.aspx?n=30346D17ED329AC1&sms=87415A8B9CE81B16&s=624F2B5CB345305C,11月18日「Home Run臺北大巨蛋預備賽」進場時間及賽事時間, 11月18日將於11:00開放民眾進場，賽事於13:00開打。 ,76,112-11-17 09:53,112-11-17 09:53,臺北市政府體育局
2023-12-17 19:17:49,https://sports.gov.taipei/News_Content.aspx?n=30346D17ED329AC1&sms=87415A8B9CE81B16&s=4086A28987612391,11月18日「Home Run臺北大巨蛋預備賽」期間是否有園區排班計程車？, 欲搭乘計程車民眾，可前往松菸文創或市府轉運站計程車排班區搭乘。 ,45,112-11-17 09:51,112-11-17 09:51,臺北市政府體育局
2023-12-17 19:17:51,https://sports.gov.taipei/News_Content.aspx?n=30346D17ED329AC1&sms=87415A8B9CE81B16&s=A05E8227FC6AF611,賽事期間忠孝東路四段地下通廊開放時間, 112年11月18日「Home Run臺北大巨蛋預備賽」期間：10:00至19:00開放通行12月3日至10日「亞洲棒球錦標賽」期間：10:00至23:00開放通行。 ,42,112-11-17 09:44,112-11-17 09:44,臺北市政府體育局
2023-12-17 19:17:54,https://sports.gov.taipei/News_Content.aspx?n=30346D17ED329AC1&sms=87415A8B9CE81B16&s=A5DBB98868C33CF0,大巨蛋大眾運輸交通資訊, 搭捷運：板南線國父紀念館站4號出口、5號出口。坐公車（共16線）：202、204、212、212 直、254、270、278、282、288、299、600、672、919、忠孝幹線、承德幹線、仁愛幹線。不開車（６線免費接駁車）：松山車站線、臺北101/世貿線、松山機場線、捷運忠孝復興線、捷運公館線、臺北車站線。（班次依活動結束時間調整，並視現場疏散人潮調整發車班距，客滿即發車。），詳細資訊請詳遠雄巨蛋官方網頁。 ,54,112-11-17 09:42,112-11-17 09:42,臺北市政府體育局
